FI,FD,Cluster,Instance_Type,Max,Mean
aws-prod11-useast1,foundation,sam-logging-monitoring1,r5a.24xlarge,1755,1741
aws-esvc1-useast2,monitoring,sam-processing1,m5.12xlarge,1664,1648
aws-prod5-uswest2,foundation,sam-logging-monitoring1,r5a.24xlarge,1207,1037
aws-prod21-useast2,foundation,sam-logging-monitoring1,r5.24xlarge,449,421
aws-prod3-eucentral1,foundation,sam-logging-monitoring1,r5a.24xlarge,425,383
aws-esvc1-useast2,foundation,sam-logging-monitoring1,r5a.24xlarge,362,336
aws-esvc1-useast2,ast,sam-processing1,m5.12xlarge,347,344
aws-prod2-apsouth1,foundation,sam-logging-monitoring1,r5a.24xlarge,335,223
aws-esvc1-useast2,ast-s,sam-processing1,m5.12xlarge,329,195
aws-dev2-uswest2,devx,sam-processing1,c5.2xlarge,300,216
aws-dev4-uswest2,tableau,sam-processing1,m5.8xlarge,280,235
aws-esvc1-useast2,controltelemetry,sam-processing1,m5.12xlarge,259,249
aws-prod5-uswest2,foundation,sam-logging-monitoring2,r5.24xlarge,256,256
aws-esvc1-useast2,monitoring-s,sam-processing1,m5.12xlarge,235,233
aws-prod13-euwest2,foundation,sam-logging-monitoring1,r5a.24xlarge,231,198
aws-prod9-apnortheast1,foundation,sam-log-mon1,r5a.24xlarge,217,187
test1-uswest2,tableau,sam-processing1,m5.8xlarge,197,177
aws-prod4-apsoutheast2,core1,sam-restricted2,m5.4xlarge,168,168
aws-prod5-uswest2,core1,sam-restricted1,m5.4xlarge,168,168
aws-prod5-uswest2,einstein,sam-processing1,c5.9xlarge,168,162
aws-stage1-useast2,tableau,sam-processing1,m5.12xlarge,162,159
aws-prod8-cacentral1,foundation,sam-logging-monitoring1,r5a.24xlarge,158,158
aws-prod12-uswest3,foundation,sam-logging-monitoring1,r5a.24xlarge,146,126
aws-prod11-useast1,tableau,sam-processing1,m5.12xlarge,140,137
aws-prod11-useast1,einstein,sam-processing1,c5.9xlarge,139,136
aws-prod5-uswest2,aplg,sam-restricted1,r5.2xlarge,133,133
aws-prod4-apsoutheast2,foundation,sam-log-mon1,r5a.24xlarge,131,126
aws-prod21-useast2,core1,sam-restricted4,m5.4xlarge,120,120
aws-prod3-eucentral1,einstein,sam-processing1,c5.9xlarge,120,117
aws-prod5-uswest2,tableau,sam-processing1,m5.12xlarge,117,116
aws-prod16-sunorth1,foundation,sam-logging-monitoring1,r5.24xlarge,116,99
aws-prod21-useast2,core1,sam-restricted1,m5.4xlarge,116,116
perf2-uswest2,einstein,sam-processing1,c5.9xlarge,116,96
aws-prod21-useast2,core1,sam-restricted7,m5.4xlarge,114,114
perf1-useast2,tableau,sam-processing1,m5.8xlarge,110,102
aws-prod11-useast1,core1,sam-restricted12,m5.4xlarge,108,108
aws-prod11-useast1,core1,sam-restricted6,m5.4xlarge,108,108
aws-prod11-useast1,core1,sam-restricted8,m5.4xlarge,108,108
aws-esvc1-useast2,monitoring,sam-logging-monitoring2,m5.4xlarge,106,107
aws-prod11-useast1,ultraapi1,sam-processing1,m5.12xlarge,106,106
aws-prod3-eucentral1,tableau,sam-processing1,m5.12xlarge,105,101
aws-prod3-eucentral1,core1,sam-restricted1,m5.4xlarge,102,102
aws-prod11-useast1,core1,sam-restricted4,m5.4xlarge,96,96
aws-prod21-useast2,core1,sam-restricted2,m5.4xlarge,96,96
aws-prod3-eucentral1,core1,sam-restricted2,m5.4xlarge,96,96
aws-prod21-useast2,core1,sam-restricted13,m5.4xlarge,90,90
aws-prod21-useast2,core1,sam-restricted15,m5.4xlarge,90,90
aws-prod4-apsoutheast2,core1,sam-restricted4,m5.4xlarge,90,90
aws-prod5-uswest2,core2,sam-restricted2,m5.4xlarge,90,90
aws-prod5-uswest2,tableau,sam-processing8,r5.8xlarge,90,90
aws-prod4-apsoutheast2,einstein,sam-processing1,c5.9xlarge,87,85
aws-prod3-eucentral1,core1,sam-restricted4,m5.4xlarge,86,86
aws-prod5-uswest2,core1,sam-restricted7,m5.4xlarge,84,84
aws-prod8-cacentral1,einstein,sam-processing1,c5.9xlarge,83,81
aws-prod2-apsouth1,einstein,sam-processing1,c5.9xlarge,81,80
aws-prod10-apsoutheast1,tableau,sam-processing1,m5.12xlarge,80,80
aws-prod13-euwest2,tableau,sam-processing1,m5.12xlarge,80,80
aws-prod11-useast1,monitoring-regional,sam-log-mon1,m5.12xlarge,79,73
aws-dev4-uswest2,tableau,sam-processing2,m5.8xlarge,78,70
aws-prod11-useast1,core1,sam-restricted1,m5.4xlarge,78,78
aws-prod11-useast1,core1,sam-restricted27,m5.4xlarge,78,78
aws-prod12-uswest3,core1,sam-restricted3,m5.4xlarge,78,78
aws-prod13-euwest2,core1,sam-restricted5,m5.4xlarge,78,78
aws-prod2-apsouth1,core1,sam-restricted1,m5.4xlarge,78,78
aws-prod21-useast2,core1,sam-restricted10,m5.4xlarge,78,78
aws-prod3-eucentral1,core1,sam-restricted3,m5.4xlarge,78,78
aws-prod4-apsoutheast2,core1,sam-restricted3,m5.4xlarge,78,78
aws-prod5-uswest2,core2,sam-restricted10,m5.4xlarge,78,78
aws-prod5-uswest2,core2,sam-restricted7,m5.4xlarge,78,78
aws-prod9-apnortheast1,tableau,sam-processing1,m5.12xlarge,78,78
aws-prod4-apsoutheast2,tableau,sam-processing1,m5.12xlarge,76,76
aws-prod9-apnortheast1,einstein,sam-processing1,c5.9xlarge,75,71
aws-prod9-apnortheast1,foundation,sam-log-mon1,r5.24xlarge,75,70
perf2-uswest2,unified-engagement1,sam-processing1,m5.8xlarge,74,62
aws-prod21-useast2,core1,sam-restricted9,m5.4xlarge,73,72
aws-prod8-cacentral1,tableau,sam-processing1,m5.12xlarge,73,73
aws-prod11-useast1,core1,sam-restricted7,m5.4xlarge,72,72
aws-prod12-uswest3,core1,sam-restricted1,m5.4xlarge,72,72
aws-prod13-euwest2,core1,sam-restricted2,m5.4xlarge,72,72
aws-prod14-apnortheast2,core1,sam-restricted1,m5.4xlarge,72,72
aws-prod15-eucentral2,core1,sam-restricted1,m5.4xlarge,72,72
aws-prod16-sunorth1,core1,sam-restricted2,m5.4xlarge,72,72
aws-prod16-sunorth1,core1,sam-restricted5,m5.4xlarge,72,72
aws-prod17-apsoutheast3,tableau,sam-processing1,m5.12xlarge,72,72
aws-prod5-uswest2,core1,sam-restricted6,m5.4xlarge,72,72
aws-prod5-uswest2,core2,sam-restricted8,m5.4xlarge,72,72
aws-prod5-uswest2,coretip1,sam-restricted1,m5.4xlarge,72,72
aws-prod5-uswest2,einstein2,sam-processing1,c5.9xlarge,72,68
aws-stage1-useast2,aplg,sam-restricted1,r5.2xlarge,72,72
aws-stage1-useast2,einstein,sam-processing1,c5.9xlarge,72,69
aws-prod19-eusouth1,foundation,sam-logging-monitoring1,r5.24xlarge,71,64
aws-prod21-useast2,einstein,sam-processing1,c5.9xlarge,71,71
aws-prod21-useast2,einstein2,sam-processing1,c5.9xlarge,71,71
aws-dev2-uswest2,controltelemetry,sam-processing1,m5.8xlarge,70,62
aws-prod22-apnortheast3,foundation,sam-log-mon1,r5.24xlarge,69,59
aws-prod11-useast1,core1,sam-restricted9,m5.4xlarge,68,68
aws-esvc1-useast2,monitoring,sam-logging-monitoring6,m5.4xlarge,67,66
aws-prod12-uswest3,core1,sam-restricted2,m5.4xlarge,66,66
aws-prod13-euwest2,core1,sam-restricted1,m5.4xlarge,66,66
aws-prod13-euwest2,einstein,sam-processing1,c5.9xlarge,66,61
aws-prod16-sunorth1,core1,sam-restricted1,m5.4xlarge,66,66
aws-prod16-sunorth1,core1,sam-restricted6,m5.4xlarge,66,66
aws-prod19-eusouth1,core1,sam-restricted1,m5.4xlarge,66,66
aws-prod3-eucentral1,core1,sam-restricted6,m5.4xlarge,66,66
aws-prod4-apsoutheast2,core1,sam-restricted1,m5.4xlarge,66,66
aws-prod5-uswest2,core1,sam-restricted2,m5.4xlarge,66,66
aws-prod5-uswest2,core1,sam-restricted3,m5.4xlarge,66,66
aws-prod5-uswest2,core1,sam-restricted4,m5.4xlarge,66,66
aws-prod5-uswest2,core1,sam-restricted5,m5.4xlarge,66,66
aws-prod5-uswest2,core2,sam-restricted1,m5.4xlarge,66,66
aws-prod5-uswest2,core2,sam-restricted3,m5.4xlarge,66,66
aws-prod5-uswest2,core2,sam-restricted5,m5.4xlarge,66,66
aws-prod5-uswest2,core2,sam-restricted9,m5.4xlarge,66,66
aws-prod8-cacentral1,core1,sam-restricted1,m5.4xlarge,66,66
aws-prod9-apnortheast1,core1,sam-restricted2,m5.4xlarge,66,66
aws-prod13-euwest2,core1,sam-restricted4,m5.4xlarge,60,60
aws-prod16-sunorth1,core1,sam-restricted3,m5.4xlarge,60,60
aws-prod16-sunorth1,core1,sam-restricted4,m5.4xlarge,60,60
aws-prod19-eusouth1,core1,sam-restricted2,m5.4xlarge,60,60
aws-prod2-apsouth1,core1,sam-restricted4,m5.4xlarge,60,60
aws-prod20-llcentral1,core1,sam-restricted1,m5.4xlarge,60,60
aws-prod3-eucentral1,monitoring-regional,sam-log-mon1,m5.12xlarge,60,59
