report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-04-30,test,test1-uswest2,apiq,sam-processing1,Karpenter_Enabled,3.4992443299317957
2025-04-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,4.451106064478156
2025-04-30,esvc,aws-esvc1-useast2,monitoring,sam-processing2,Karpenter_Disabled,4.929354381494698
2025-04-30,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,6.195951808913869
2025-04-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,6.644671200760727
2025-04-30,dev,dev1-uswest2,core002,sam-processing-sc1,Karpenter_Enabled,10.148399985733434
2025-04-30,test,perf1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,12.15871651105549
2025-04-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.718098258386965
2025-04-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,12.970250109680226
2025-04-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,13.090105796852052
2025-04-30,prod,aws-prod5-uswest2,tableau,sam-processing8,Karpenter_Disabled,15.515122774399956
2025-04-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,15.529328266853248
2025-04-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,16.584768082807642
2025-04-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,16.863018786260465
2025-04-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,17.404295167068216
2025-04-30,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,17.88930807064607
2025-04-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Disabled,18.3180350640087
2025-04-30,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,18.682863384007753
2025-04-30,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Disabled,19.99878118257533
2025-04-30,dev,dev1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,20.685692860868922
2025-04-30,prod,aws-prod4-apsoutheast2,diffeo,sam-processing1,Karpenter_Disabled,20.812269479950366
2025-04-30,esvc,aws-esvc3-uswest2,netsec,sam-processing1,Karpenter_Disabled,21.201528221605233
2025-04-30,esvc,aws-esvc2-uswest2,netsec,sam-processing1,Karpenter_Disabled,22.039707277606077
2025-04-30,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,22.55842637267013
2025-04-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,22.703286667706237
2025-04-30,dev,dev1-uswest2,core002,sam-restricted9,Karpenter_Disabled,24.129909084134415
2025-04-30,esvc,aws-esvc1-useast2,controltelemetry,sam-processing2,Karpenter_Disabled,25.48752246546904
2025-04-30,prod,aws-prod16-eunorth1,ecom1,sam-restricted1,Karpenter_Disabled,25.81898412340187
2025-04-30,prod,aws-prod4-apsoutheast2,ecom1,sam-restricted1,Karpenter_Disabled,25.825172486056008
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-stampy-webhook,Karpenter_Disabled,26.132126141054705
2025-04-30,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,26.139884753390547
2025-04-30,prod,aws-prod1-useast1,ecom1,sam-restricted1,Karpenter_Disabled,26.20579216914292
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-moncloud,Karpenter_Disabled,26.34779486404967
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-mars,Karpenter_Disabled,26.394379760451177
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-madkub,Karpenter_Disabled,26.394594162451302
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-pingmesh-agent,Karpenter_Disabled,26.39494665387523
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-kaas-webhook,Karpenter_Disabled,26.39565890458747
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-cipherforce,Karpenter_Disabled,26.39593508343509
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-external-dns,Karpenter_Disabled,26.396422030350593
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-vault-webhook,Karpenter_Disabled,26.429821501250082
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-stride,Karpenter_Disabled,26.456505465434034
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-knative,Karpenter_Disabled,26.502332984475842
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-seccomp,Karpenter_Disabled,26.523489737775463
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-fkp,Karpenter_Disabled,26.526244258387123
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-hypercomputeapi,Karpenter_Disabled,26.589674545031684
2025-04-30,dev,aws-dev4-uswest2,scratchpad1,sam-ma-test1,Karpenter_Enabled,26.652894453577957
2025-04-30,prod,aws-prod0-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,26.84749674638038
2025-04-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring3,Karpenter_Disabled,26.922748805069492
2025-04-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,26.922773013549055
2025-04-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,26.927471879430183
2025-04-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring2,Karpenter_Disabled,26.927631655395206
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-netsec-fps,Karpenter_Disabled,26.93118785975929
2025-04-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,26.95351294088486
2025-04-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,26.999893966859595
2025-04-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,27.003469559289506
2025-04-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,27.28994544377053
2025-04-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,27.309675354605833
2025-04-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,27.312682047766295
2025-04-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,27.312779365854084
2025-04-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,27.33234901655477
2025-04-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,27.35655749610732
2025-04-30,prod,aws-prod1-useast1,dp-services,sam-processing1,Karpenter_Disabled,27.484507598069396
2025-04-30,prod,aws-prod21-useast2,core1,sam-restricted15,Karpenter_Disabled,27.557836817718616
2025-04-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon6,Karpenter_Disabled,27.576849818339603
2025-04-30,prod,aws-prod0-uswest2,dp-services,sam-processing1,Karpenter_Disabled,27.741370645378744
2025-04-30,test,perf2-uswest2,cdp1,sam-restricted1,Karpenter_Disabled,28.242439733250436
2025-04-30,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Disabled,28.850109553867625
2025-04-30,prod,aws-prod21-useast2,einstein2,sam-restricted1,Karpenter_Disabled,29.842010008099013
2025-04-30,prod,aws-prod5-uswest2,einstein2,sam-restricted1,Karpenter_Disabled,30.231034343321234
2025-04-30,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,30.67449228082585
2025-04-30,prod,aws-prod12-euwest3,core1,sam-restricted4,Karpenter_Disabled,30.697596710764604
2025-04-30,stage,aws-stage1-useast2,fieldservice,sam-processing1,Karpenter_Disabled,30.986367917170774
2025-04-30,prod,aws-prod3-eucentral1,core1,sam-restricted7,Karpenter_Disabled,31.536207039998835
2025-04-30,prod,aws-prod2-apsouth1,core1,sam-restricted9,Karpenter_Disabled,31.708292885464335
2025-04-30,dev,dev1-uswest2,core002,sam-bigdata3,Karpenter_Disabled,32.2606062367967
