report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-08-31,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,5.369218736095181
2025-08-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,8.498343955485922
2025-08-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,11.891045370233586
2025-08-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.129646728276528
2025-08-31,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,12.468661760688486
2025-08-31,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,12.514569582028361
2025-08-31,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,12.951569901687732
2025-08-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,13.018793464760384
2025-08-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,13.39165792963625
2025-08-31,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,13.645170564357526
2025-08-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,14.159948851852327
2025-08-31,esvc,aws-esvc1-useast2,security-preprod,sam-mgmt-truth1,Karpenter_Disabled,15.001252365579443
2025-08-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.88923064576839
2025-08-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,17.09841767948467
2025-08-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.129867614177325
2025-08-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,17.388360543553855
2025-08-31,esvc,aws-esvc2-uswest2,devx-s,sam-processing1,Karpenter_Disabled,17.924898865233676
2025-08-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,18.632423180801933
2025-08-31,stage,aws-stage1-useast2,tableau,sam-processing2,Karpenter_Disabled,19.30151248834148
2025-08-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,21.555234034706096
