report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-07-31,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,5.4060329443086905
2025-07-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,7.522266843085612
2025-07-31,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,10.220134508223062
2025-07-31,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,10.238358796500165
2025-07-31,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,10.397071420690521
2025-07-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.197335141686237
2025-07-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.254439492676308
2025-07-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.385448470149859
2025-07-31,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,12.785890592389457
2025-07-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.80267088806395
2025-07-31,prod,aws-prod0-uswest2,core1,sam-processing-sc1,Karpenter_Enabled,12.956920207871683
2025-07-31,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,13.379682578900281
2025-07-31,test,perf2-uswest2,foundation,sam-processing5,Karpenter_Disabled,13.518806135949005
2025-07-31,dev,gcp-dev0-useast4,security,sam-restricted1,Karpenter_Disabled,14.147139380401647
2025-07-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,15.155743205181322
2025-07-31,dev,aws-dev4-uswest2,tableau,sam-processing1,Karpenter_Disabled,17.251467250950707
2025-07-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.30946154612479
2025-07-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.397857585619146
2025-07-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,17.417669799207513
2025-07-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.51727048327473
2025-07-31,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,17.581500784459035
2025-07-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,17.71890859942176
2025-07-31,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,18.52257672671085
2025-07-31,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,19.53455080841272
