report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-03-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,4.300014692456547
2025-03-31,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,5.073288713220937
2025-03-31,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,6.199242336535944
2025-03-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,6.926517849582529
2025-03-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring3,Karpenter_Disabled,7.5524780246595755
2025-03-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,12.544615243304069
2025-03-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,12.558520022261588
2025-03-31,test,perf1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,12.887617182974932
2025-03-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,13.39090830196119
2025-03-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,15.458198109731356
2025-03-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,16.457500442763358
2025-03-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,16.82082293381488
2025-03-31,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,17.081274685147914
2025-03-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,17.222936951199642
2025-03-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Disabled,18.080786750259673
2025-03-31,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,18.604939824129954
2025-03-31,dev,dev1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,19.43106788881435
2025-03-31,prod,aws-prod4-apsoutheast2,diffeo,sam-processing1,Karpenter_Disabled,19.974437582654218
2025-03-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Disabled,20.18439798214264
2025-03-31,esvc,aws-esvc3-uswest2,netsec,sam-processing1,Karpenter_Disabled,20.571669766182954
2025-03-31,esvc,aws-esvc2-uswest2,netsec,sam-processing1,Karpenter_Disabled,21.45325259965134
2025-03-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,22.274864681308557
2025-03-31,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,22.279730826904107
2025-03-31,prod,aws-prod21-useast2,einstein2,sam-restricted1,Karpenter_Disabled,23.723830753151727
2025-03-31,dev,fdev1-uswest2,foundation,sam-test-moncloud,Karpenter_Disabled,23.80935664864235
2025-03-31,dev,fdev1-uswest2,foundation,sam-test-external-dns,Karpenter_Disabled,24.002038635967182
2025-03-31,dev,fdev1-uswest2,foundation,sam-test-netsec-fps,Karpenter_Disabled,24.00243110064538
2025-03-31,dev,fdev1-uswest2,foundation,sam-test-knative,Karpenter_Disabled,24.063561108203952
