report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-05-31,test,aws-test2-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,0.0
2025-05-31,dev,aws-dev4-uswest2,tableau,sam-processing1,Karpenter_Disabled,2.2048602813406397
2025-05-31,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,3.9233901823092805
2025-05-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,4.395922499120167
2025-05-31,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,6.446923005957355
2025-05-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,6.740019080124332
2025-05-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,10.598168599070105
2025-05-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,12.783255006921863
2025-05-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.906118891346457
2025-05-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,15.516605895867276
2025-05-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.342997996502245
2025-05-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.513536062960814
2025-05-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.538678023510734
2025-05-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,16.56328554378567
2025-05-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,16.895843362158853
2025-05-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,17.495491961725122
2025-05-31,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,18.458039906103203
2025-05-31,dev,dev1-uswest2,core002,sam-highscale-restricted1,Karpenter_Disabled,18.921706162903305
2025-05-31,test,test1-uswest2,core4,sam-bigdata2,Karpenter_Disabled,19.058995971532656
2025-05-31,test,test1-uswest2,core4,sam-bigdata1,Karpenter_Disabled,19.206545870918077
2025-05-31,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,19.255314293166347
2025-05-31,dev,dev1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,20.66006921156567
2025-05-31,esvc,aws-esvc3-uswest2,netsec,sam-processing1,Karpenter_Disabled,20.833968152106326
2025-05-31,prod,aws-prod4-apsoutheast2,diffeo,sam-processing1,Karpenter_Disabled,20.956009798555485
2025-05-31,dev,dev1-uswest2,core002,sam-restricted9,Karpenter_Disabled,21.306417206945316
2025-05-31,esvc,aws-esvc2-uswest2,netsec,sam-processing1,Karpenter_Disabled,21.620161189399433
2025-05-31,prod,aws-prod17-apsoutheast3,bigdata,sam-processing1,Karpenter_Disabled,22.71522069931373
2025-05-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,22.93807331762994
2025-05-31,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,23.090996453239423
2025-05-31,test,perf2-uswest2,foundation,sam-processing5,Karpenter_Disabled,23.643740188383045
2025-05-31,test,perf2-uswest2,foundation,sam-processing3,Karpenter_Disabled,23.798629280772097
2025-05-31,test,perf2-uswest2,foundation,sam-processing4,Karpenter_Disabled,23.79949415663698
2025-05-31,test,test1-uswest2,tableau,sam-processing2,Karpenter_Disabled,25.20255538112679
2025-05-31,prod,aws-prod4-apsoutheast2,ecom1,sam-restricted1,Karpenter_Disabled,25.37393472396852
2025-05-31,esvc,aws-esvc1-useast2,controltelemetry,sam-processing2,Karpenter_Disabled,25.526669997753487
2025-05-31,prod,aws-prod16-eunorth1,ecom1,sam-restricted1,Karpenter_Disabled,25.545921501828715
2025-05-31,prod,aws-prod1-useast1,ecom1,sam-restricted1,Karpenter_Disabled,25.736483666663023
