report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-11-30,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,6.1539806766830685
2025-11-30,dev,gcp-dev0-useast4,network-services,sam-v2-test3,Karpenter_Disabled,10.896574655503233
2025-11-30,esvc,aws-esvc1-useast2,crypto,sam-mgmt-truth2,Karpenter_Disabled,13.103154268051838
2025-11-30,prod,aws-prod19-eusouth1,crypto,sam-mgmt-truth2,Karpenter_Disabled,13.106612852830562
2025-11-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,13.31922911795923
2025-11-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,13.489402087676424
2025-11-30,prod,aws-prod27-useast1,core1,sam-processing-sc1,Karpenter_Disabled,13.644196835981411
2025-11-30,esvc,aws-esvc3-uswest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,14.983422033202473
2025-11-30,esvc,aws-esvc2-uswest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,14.986126927317796
2025-11-30,prod,aws-prod5-uswest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.048609013042919
2025-11-30,prod,aws-prod20-ilcentral1,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.099735707959297
2025-11-30,prod,aws-prod2-apsouth1,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.10032478096173
2025-11-30,prod,aws-prod14-apnortheast2,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.104186840399713
2025-11-30,prod,aws-prod9-apnortheast1,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.105921781434287
2025-11-30,prod,aws-prod24-apsouth2,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.849617570579081
2025-11-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.289341421677225
2025-11-30,dev,aws-dev4-uswest2,fire48,sam-processing1,Karpenter_Disabled,16.630807935218403
2025-11-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.89065470001362
2025-11-30,prod,aws-prod24-apsouth2,einstein,sam-restricted1,Karpenter_Disabled,18.50682488358852
2025-11-30,prod,aws-prod3-eucentral1,einstein2,sam-restricted1,Karpenter_Disabled,18.52166403827188
2025-11-30,prod,aws-prod2-apsouth1,einstein2,sam-restricted1,Karpenter_Disabled,18.623687357887807
2025-11-30,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,18.811155254293695
2025-11-30,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,18.819782695070327
2025-11-30,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,18.856204471050724
2025-11-30,esvc,aws-esvc1-useast2,crypto,sam-hub1,Karpenter_Disabled,18.987240678767062
2025-11-30,prod,aws-prod19-eusouth1,crypto,sam-hub1,Karpenter_Disabled,19.02369138642936
2025-11-30,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,19.05588444948788
2025-11-30,prod,aws-prod21-useast2,crypto,sam-mgmt-truth2,Karpenter_Disabled,19.911020174366644
2025-11-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,20.059958608165942
2025-11-30,prod,aws-prod27-useast1,core1,sam-processing1,Karpenter_Disabled,20.321627599833718
2025-11-30,prod,aws-prod3-eucentral1,crypto,sam-mgmt-truth2,Karpenter_Disabled,21.36095391738394
2025-11-30,prod,aws-prod4-apsoutheast2,crypto,sam-mgmt-truth2,Karpenter_Disabled,21.361944851146973
2025-11-30,dev,gcp-dev0-useast4,bigdata,sam-bigdata3,Karpenter_Disabled,21.377129484272352
2025-11-30,dev,fdev1-uswest2,foundation,sam-processing4,Karpenter_Disabled,21.439998000415684
2025-11-30,stage,aws-stage1-useast2,einstein,sam-processing1,Karpenter_Disabled,21.515509069487376
2025-11-30,prod,aws-prod18-mecentral1,crypto,sam-mgmt-truth2,Karpenter_Disabled,21.53164145111447
2025-11-30,esvc,aws-esvc2-uswest2,crypto,sam-hub1,Karpenter_Disabled,21.70906669805786
2025-11-30,esvc,aws-esvc3-uswest2,crypto,sam-hub1,Karpenter_Disabled,21.7288485672454
2025-11-30,prod,aws-prod5-uswest2,crypto,sam-hub1,Karpenter_Disabled,21.827062368790084
2025-11-30,prod,aws-prod3-eucentral1,crypto,sam-hub1,Karpenter_Disabled,21.89680699838099
2025-11-30,prod,aws-prod20-ilcentral1,crypto,sam-hub1,Karpenter_Disabled,21.903832299147155
2025-11-30,prod,aws-prod18-mecentral1,crypto,sam-hub1,Karpenter_Disabled,21.905454267277193
2025-11-30,prod,aws-prod2-apsouth1,crypto,sam-hub1,Karpenter_Disabled,21.906071583505735
2025-11-30,prod,aws-prod24-apsouth2,crypto,sam-hub1,Karpenter_Disabled,21.907574930085968
2025-11-30,prod,aws-prod14-apnortheast2,crypto,sam-hub1,Karpenter_Disabled,21.91845228411852
2025-11-30,prod,aws-prod4-apsoutheast2,crypto,sam-hub1,Karpenter_Disabled,21.95311108012435
2025-11-30,prod,aws-prod9-apnortheast1,crypto,sam-hub1,Karpenter_Disabled,21.959598952644395
2025-11-30,prod,aws-prod22-apnortheast3,crypto,sam-mgmt-truth2,Karpenter_Disabled,22.384563640542247
2025-11-30,esvc,aws-esvc2-uswest2,devx-s,sam-processing1,Karpenter_Enabled,22.62463820706913
2025-11-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,22.720014574388138
2025-11-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,23.161328456650743
2025-11-30,esvc,aws-esvc1-useast2,devx-stage,sam-processing1,Karpenter_Enabled,23.163673008416886
2025-11-30,stage,aws-stage1-useast2,tableau,sam-processing2,Karpenter_Disabled,23.31078200752936
2025-11-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,23.5068771237499
2025-11-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,23.81784223247636
2025-11-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,23.82014927238502
2025-11-30,prod,aws-prod5-uswest2,einstein2,sam-restricted1,Karpenter_Disabled,23.923409898938996
2025-11-30,prod,aws-prod21-useast2,einstein2,sam-restricted1,Karpenter_Disabled,23.998883522697955
2025-11-30,dev,gcp-dev0-useast4,network-services,sam-v2-test4,Karpenter_Disabled,24.13739170882033
2025-11-30,prod,aws-prod21-useast2,edge,sam-processing1,Karpenter_Disabled,24.177965571761263
2025-11-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,25.075793848235595
2025-11-30,esvc,aws-esvc1-useast2,security-preprod,sam-mgmt-truth1,Karpenter_Disabled,25.67774100201861
2025-11-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,26.31313069661458
2025-11-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,26.466757961051147
2025-11-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,26.468944246806846
2025-11-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,26.46917111028437
2025-11-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,26.469418964688757
2025-11-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,26.470429758546228
2025-11-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring12,Karpenter_Disabled,26.470879448784775
2025-11-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,26.472334281477384
