report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-10-31,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,6.635538465676037
2025-10-31,dev,gcp-dev0-useast4,network-services,sam-v2-test3,Karpenter_Disabled,8.969104969104963
2025-10-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,13.510381164976032
2025-10-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,14.341329700191691
2025-10-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.179097672155894
2025-10-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.286404729075375
2025-10-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.380775580943624
2025-10-31,prod,aws-prod24-apsouth2,einstein,sam-restricted1,Karpenter_Disabled,18.419191636416798
2025-10-31,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,18.522009400401394
2025-10-31,dev,,,sam-v2-test2,Karpenter_Disabled,18.636055043248785
2025-10-31,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,18.70306928784256
2025-10-31,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,18.7126782975078
2025-10-31,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,18.732892958073393
2025-10-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,19.871474980627298
2025-10-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Enabled,20.391227751780754
2025-10-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,20.56465893649036
2025-10-31,prod,aws-prod20-ilcentral1,foundation,sam-log-mon2,Karpenter_Disabled,21.365779474308063
2025-10-31,prod,aws-prod22-apnortheast3,crypto,sam-mgmt-truth2,Karpenter_Disabled,21.416744779360737
