report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,5.719367584341207
2025-09-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,7.840281438822427
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring9,Karpenter_Disabled,12.134486607142847
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,12.134885434751144
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,12.13529637250951
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,12.151319715711809
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.193708176709734
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,12.22606171496847
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,12.227452523900489
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring9,Karpenter_Disabled,12.227756396255545
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,12.230919327007406
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,12.231657819500276
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring11,Karpenter_Disabled,12.235826603319277
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,12.259624016978751
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,12.260447507182121
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,12.261237088965354
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring12,Karpenter_Disabled,12.326567139793616
2025-09-30,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,12.481401250958417
2025-09-30,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,12.603056955520453
2025-09-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.873597534089026
2025-09-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,13.084071982587247
2025-09-30,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,13.106699004902293
2025-09-30,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,13.359041401559102
2025-09-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,13.37090544656127
2025-09-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,14.164382709949574
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.211993591020864
2025-09-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,18.743242069026643
2025-09-30,test,test1-uswest2,core4,sam-bigdata5,Karpenter_Disabled,19.07102116013643
2025-09-30,test,test1-uswest2,core4,sam-bigdata4,Karpenter_Disabled,19.073454944875607
2025-09-30,stage,aws-stage1-useast2,tableau,sam-processing2,Karpenter_Disabled,19.65781671345754
2025-09-30,prod,aws-prod22-apnortheast3,crypto,sam-mgmt-truth2,Karpenter_Disabled,20.07188744497016
2025-09-30,prod,aws-prod8-cacentral1,crypto,sam-mgmt-truth2,Karpenter_Disabled,20.676750950909135
2025-09-30,stage,aws-stage1-useast2,einstein,sam-processing1,Karpenter_Disabled,22.119571256881127
2025-09-30,prod,aws-prod0-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,22.34491836363008
2025-09-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,22.66903449475186
2025-09-30,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,22.77448123915271
2025-09-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,22.984105057318637
2025-09-30,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,23.449724648068223
2025-09-30,prod,aws-prod2-apsouth1,einstein2,sam-restricted1,Karpenter_Disabled,23.68894498047348
2025-09-30,prod,aws-prod24-apsouth2,einstein,sam-restricted1,Karpenter_Disabled,23.908129438332224
2025-09-30,prod,aws-prod3-eucentral1,einstein2,sam-restricted1,Karpenter_Disabled,23.998922980257426
2025-09-30,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,24.09902676639909
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,24.503059149761693
2025-09-30,prod,aws-prod1-useast1,ecom1,sam-restricted1,Karpenter_Disabled,25.20206257858592
2025-09-30,test,test1-uswest2,core4,sam-bigdata6,Karpenter_Disabled,25.996878452235585
2025-09-30,prod,aws-prod4-apsoutheast2,ecom1,sam-restricted1,Karpenter_Disabled,26.144890078200824
2025-09-30,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,26.280242700972778
2025-09-30,esvc,aws-esvc1-useast2,security-preprod,sam-mgmt-truth1,Karpenter_Disabled,26.893830905145666
2025-09-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Enabled,27.05792943551731
2025-09-30,prod,aws-prod1-useast1,foundation,sam-logging-monitoring2,Karpenter_Disabled,27.105979881785235
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,27.71335417199258
2025-09-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon6,Karpenter_Disabled,27.82175538590256
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,27.922551748045944
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,27.929608035665915
2025-09-30,dev,aws-dev2-uswest2,apiq,sam-restricted2,Karpenter_Disabled,28.282466902271157
2025-09-30,prod,aws-prod21-useast2,einstein2,sam-restricted1,Karpenter_Disabled,28.66425439390045
2025-09-30,prod,aws-prod16-eunorth1,ecom1,sam-restricted1,Karpenter_Disabled,28.714361701842005
2025-09-30,test,test1-uswest2,core4,sam-bigdata3,Karpenter_Disabled,28.878077984658063
2025-09-30,prod,aws-prod21-useast2,edge,sam-processing1,Karpenter_Disabled,29.00377673787398
2025-09-30,esvc,aws-esvc1-useast2,devx-prod,sam-processing2,Karpenter_Disabled,29.03721800787374
2025-09-30,esvc,aws-esvc2-uswest2,devx-preprod,sam-processing2,Karpenter_Disabled,29.069229957315702
2025-09-30,prod,aws-prod18-mecentral1,gid,sam-restricted1,Karpenter_Disabled,29.09310261756098
2025-09-30,prod,aws-prod5-uswest2,einstein2,sam-restricted1,Karpenter_Disabled,29.299937944999616
2025-09-30,prod,aws-prod3-eucentral1,foundation,sam-log-mon2,Karpenter_Disabled,29.429832206186614
2025-09-30,prod,aws-prod22-apnortheast3,crypto,sam-hub1,Karpenter_Disabled,29.466380716106254
2025-09-30,prod,aws-prod24-apsouth2,foundation,sam-log-mon2,Karpenter_Disabled,29.534081181683714
2025-09-30,prod,aws-prod2-apsouth1,core1,sam-restricted9,Karpenter_Disabled,29.542713035989017
2025-09-30,prod,aws-prod10-apsoutheast1,foundation,sam-log-mon2,Karpenter_Disabled,29.565563341002637
2025-09-30,prod,aws-prod15-eucentral2,foundation,sam-log-mon2,Karpenter_Disabled,29.589012642636476
2025-09-30,prod,aws-prod11-saeast1,foundation,sam-log-mon2,Karpenter_Disabled,29.652692056555075
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,29.671265793612132
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,29.671631341653367
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,29.6799396918358
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon6,Karpenter_Disabled,29.712507359377867
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,30.008906299627427
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring3,Karpenter_Disabled,30.136901372717688
2025-09-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,30.14618188196615
2025-09-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,30.177961859056325
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,30.180310966001368
2025-09-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,30.21361029770629
2025-09-30,prod,aws-prod8-cacentral1,crypto,sam-hub1,Karpenter_Disabled,30.273439842498473
2025-09-30,dev,dev1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,30.356866867962662
2025-09-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,30.50800277919589
2025-09-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,30.50893970732929
2025-09-30,prod,aws-prod4-apsoutheast2,diffeo,sam-processing1,Karpenter_Disabled,30.691652267548214
2025-09-30,dev,dev1-uswest2,core002,sam-restricted9,Karpenter_Disabled,30.693567116196483
2025-09-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,30.715947669576437
2025-09-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,30.921081809167518
2025-09-30,prod,aws-prod0-uswest2,foundation,sam-logging-monitoring1,Karpenter_Disabled,30.928608015924546
2025-09-30,prod,aws-prod24-apsouth2,core1,sam-restricted3,Karpenter_Disabled,31.189065170081975
2025-09-30,prod,aws-prod2-apsouth1,core1,sam-restricted7,Karpenter_Disabled,31.497652920255675
2025-09-30,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,31.687731195418774
2025-09-30,prod,aws-prod0-uswest2,einstein,sam-restricted1,Karpenter_Disabled,31.79792115748895
2025-09-30,prod,aws-prod0-uswest2,cdp1,sam-restricted1,Karpenter_Disabled,32.131097738240506
2025-09-30,prod,aws-prod0-uswest2,core1,sam-restricted4,Karpenter_Disabled,32.60201589381777
2025-09-30,esvc,aws-esvc3-uswest2,foundation,sam-logging-monitoring1,Karpenter_Disabled,32.72499345275067
2025-09-30,prod,aws-prod1-useast1,edge,sam-processing1,Karpenter_Disabled,32.75091400900634
2025-09-30,prod,aws-prod12-euwest3,core1,sam-restricted4,Karpenter_Disabled,32.84863632649103
2025-09-30,prod,aws-prod5-uswest2,core2,sam-restricted12,Karpenter_Disabled,33.253257077125035
2025-09-30,prod,aws-prod1-useast1,core1,sam-restricted10,Karpenter_Disabled,33.814985438867254
2025-09-30,prod,aws-prod9-apnortheast1,core1,sam-restricted1,Karpenter_Disabled,33.97959239638156
2025-09-30,prod,aws-prod1-useast1,tableau,sam-processing4,Karpenter_Disabled,34.08543532416821
2025-09-30,prod,aws-prod21-useast2,core1,sam-restricted5,Karpenter_Disabled,34.349165533813405
2025-09-30,prod,aws-prod1-useast1,core1,sam-restricted7,Karpenter_Disabled,34.351376214087864
2025-09-30,prod,aws-prod5-uswest2,core2,sam-restricted13,Karpenter_Disabled,34.36785674685307
2025-09-30,prod,aws-prod24-apsouth2,einstein,sam-processing1,Karpenter_Disabled,34.3847500671407
2025-09-30,prod,aws-prod22-apnortheast3,core1,sam-restricted1,Karpenter_Disabled,34.44080994149639
2025-09-30,prod,aws-prod2-apsouth1,core1,sam-restricted3,Karpenter_Disabled,34.44628470160998
2025-09-30,prod,aws-prod2-apsouth1,core1,sam-restricted8,Karpenter_Disabled,34.45575082461605
2025-09-30,prod,aws-prod21-useast2,core1,sam-restricted1,Karpenter_Disabled,34.59135174503005
2025-09-30,prod,aws-prod3-eucentral1,core1,sam-restricted7,Karpenter_Disabled,34.704800817862065
2025-09-30,prod,aws-prod5-uswest2,core2,sam-restricted11,Karpenter_Disabled,34.7627971662723
2025-09-30,prod,aws-prod19-eusouth1,core1,sam-restricted1,Karpenter_Disabled,34.84427388064445
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring2,Karpenter_Disabled,34.87036368980825
2025-09-30,prod,aws-prod1-useast1,core1,sam-restricted4,Karpenter_Disabled,35.005387588443185
2025-09-30,prod,aws-prod21-useast2,core1,sam-restricted15,Karpenter_Disabled,35.04356736037249
2025-09-30,prod,aws-prod21-useast2,core1,sam-restricted3,Karpenter_Disabled,35.156013363324085
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,35.19154956056511
2025-09-30,prod,aws-prod21-useast2,core1,sam-restricted4,Karpenter_Disabled,35.229074609572834
2025-09-30,stage,aws-stage1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,35.35393772893778
2025-09-30,prod,aws-prod21-useast2,core1,sam-restricted7,Karpenter_Disabled,35.37042633478269
2025-09-30,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,35.446976350609276
2025-09-30,prod,aws-prod2-apsouth1,edge,sam-processing1,Karpenter_Disabled,35.51038660373219
2025-09-30,esvc,aws-esvc2-uswest2,ast-preprod,sam-processing1,Karpenter_Disabled,35.580408540086076
2025-09-30,prod,aws-prod1-useast1,core1,sam-restricted3,Karpenter_Disabled,35.59967443202647
2025-09-30,esvc,aws-esvc1-useast2,ast-preprod,sam-processing1,Karpenter_Disabled,35.63345827974168
2025-09-30,dev,dev1-uswest2,core002,sam-bigdata6,Karpenter_Disabled,35.66339377886435
2025-09-30,prod,aws-prod1-useast1,core1,sam-restricted9,Karpenter_Disabled,35.764728652573254
