report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2026-01-31,dev,fdev1-uswest2,foundation,sam-processing4,Karpenter_Disabled,5.999486307473155
2026-01-31,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,6.7794243546211455
2026-01-31,stage,aws-stage1-useast2,core1,sam-processing3,Karpenter_Disabled,7.285749498632617
2026-01-31,prod,aws-prod0-uswest2,core1,sam-processing2,Karpenter_Disabled,8.83334339488001
2026-01-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,12.51796215180525
2026-01-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,12.529643729832973
2026-01-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.620798076461911
2026-01-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,13.407636445142076
2026-01-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring9,Karpenter_Disabled,13.429135984387289
2026-01-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring11,Karpenter_Disabled,13.430092742628169
2026-01-31,prod,aws-prod19-eusouth1,crypto,sam-mgmt-truth2,Karpenter_Disabled,14.016068943167578
2026-01-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,14.344766776868504
2026-01-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,14.358809941484205
2026-01-31,dev,gcp-dev0-useast4,bigdata,sam-bigdata2,Karpenter_Disabled,14.581475066346842
2026-01-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,15.19805896348116
2026-01-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,15.206298959516799
2026-01-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,15.632226733616653
