report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-04-30,test,test1-uswest2,apiq,sam-processing1,Karpenter_Enabled,3.4992443299317966
2025-04-30,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,6.195951808913875
2025-04-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,6.644671200760725
2025-04-30,dev,dev1-uswest2,core002,sam-processing-sc1,Karpenter_Enabled,10.148399985733434
2025-04-30,test,perf1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,12.158716511055486
2025-04-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.718098258386965
2025-04-30,dev,aws-dev4-uswest2,scratchpad1,sam-ma-test1,Karpenter_Enabled,26.652894453577954
2025-04-30,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,30.674492280825866
2025-04-30,dev,aws-dev4-uswest2,fire48,sam-processing1,Karpenter_Enabled,33.62979664313438
2025-04-30,dev,fdev1-uswest2,dnr,sam-processing1,Karpenter_Enabled,43.19098347044853
2025-04-30,test,perf1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,46.469316840696955
2025-04-30,dev,aws-dev5-apsouth1,security,sam-mgmt-truth1,Karpenter_Enabled,47.38426738135574
2025-04-30,dev,dev1-uswest2,dnr,sam-processing1,Karpenter_Enabled,47.69490013406146
2025-04-30,dev,fdev1-uswest2,foundation,sam-control3,Karpenter_Enabled,47.96304208139971
2025-04-30,test,perf2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,48.634466372728404
2025-04-30,dev,aws-dev2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,49.11367245652858
2025-04-30,test,test1-uswest2,core4,sam-processing-sc1,Karpenter_Enabled,49.337538862170426
2025-04-30,dev,aws-dev4-uswest2,mobilebuild1,sam-processing1,Karpenter_Enabled,49.73163248110145
2025-04-30,dev,aws-dev2-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,49.958106905137804
2025-04-30,dev,aws-dev4-uswest2,mulesoft-regional1,sam-processing1,Karpenter_Enabled,50.013122824778854
2025-04-30,dev,aws-dev4-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,50.02941961412878
2025-04-30,test,test1-uswest2,foundation,sam-control1,Karpenter_Enabled,50.16029129434042
2025-04-30,dev,aws-dev4-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,50.67357276829776
2025-04-30,dev,fdev1-uswest2,foundation,sam-hub1,Karpenter_Enabled,50.835325399065155
2025-04-30,dev,aws-dev4-uswest2,foundation,sam-control2,Karpenter_Enabled,51.574734188536944
2025-04-30,dev,dev1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,51.68555358916852
2025-04-30,stage,aws-stage1-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,51.85444983911178
2025-04-30,dev,aws-dev5-apsouth1,devx,sam-processing1,Karpenter_Enabled,52.336190321587296
2025-04-30,dev,aws-dev5-apsouth1,foundation,sam-control1,Karpenter_Enabled,52.33767076613566
2025-04-30,dev,dev1-uswest2,crypto,sam-mgmt-truth2,Karpenter_Enabled,52.608443110304734
2025-04-30,dev,aws-dev2-uswest2,dp-services,sam-processing1,Karpenter_Enabled,53.28191602601075
2025-04-30,test,test1-uswest2,core3,sam-processing-sc1,Karpenter_Enabled,53.3758933983667
2025-04-30,stage,aws-stage1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,54.08226872408548
2025-04-30,stage,aws-stage1-useast2,coretip1,sam-processing1,Karpenter_Enabled,54.52841024863952
2025-04-30,test,perf2-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,54.95484221916658
2025-04-30,dev,fdev1-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,55.89585944617749
2025-04-30,dev,dev1-uswest2,core002,sam-processing00001,Karpenter_Enabled,55.99734306101802
2025-04-30,stage,aws-stage1-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,56.552019404855734
2025-04-30,test,perf1-useast2,core1,sam-processing1,Karpenter_Enabled,56.60518605764294
2025-04-30,test,perf1-useast2,foundation,sam-control1,Karpenter_Enabled,57.31571584000712
2025-04-30,dev,aws-dev2-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,57.37426985822028
2025-04-30,dev,aws-dev2-uswest2,foundation,sam-control1,Karpenter_Enabled,58.62922782082391
2025-04-30,dev,aws-dev5-apsouth1,crypto,sam-mgmt-truth1,Karpenter_Enabled,58.86405934000785
2025-04-30,test,test1-uswest2,core4,sam-processing2,Karpenter_Enabled,58.99479483269424
2025-04-30,dev,fdev1-uswest2,monitoring,sam-logging-monitoring2,Karpenter_Enabled,59.00163404849644
2025-04-30,dev,dev1-uswest2,monitoring-regional,sam-processing1,Karpenter_Enabled,59.659381971701194
2025-04-30,dev,dev1-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,59.68146651823558
2025-04-30,dev,aws-dev2-uswest2,seas,sam-processing1,Karpenter_Enabled,59.70614369313808
2025-04-30,dev,dev1-uswest2,tvm,sam-processing1,Karpenter_Enabled,60.49072692483023
2025-04-30,dev,fdev1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,61.67372869937957
2025-04-30,dev,aws-dev4-uswest2,airesearch,sam-processing1,Karpenter_Enabled,61.96727692294151
2025-04-30,dev,dev1-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,61.96778254150034
2025-04-30,dev,dev1-uswest2,dbaas,sam-processing1,Karpenter_Enabled,63.391262422808936
2025-04-30,dev,fdev1-uswest2,foundation,sam-control1,Karpenter_Enabled,63.39842322028149
2025-04-30,dev,fdev1-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,63.61329013427061
2025-04-30,test,test1-uswest2,seas1,sam-processing1,Karpenter_Enabled,64.11036804190628
2025-04-30,dev,aws-dev4-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,64.55836719111777
2025-04-30,dev,dev1-uswest2,seas,sam-processing1,Karpenter_Enabled,64.75890546644018
2025-04-30,test,perf1-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,66.48474898043929
2025-04-30,test,test1-uswest2,diffeo,sam-processing1,Karpenter_Enabled,66.67013355582476
2025-04-30,dev,aws-dev4-uswest2,scratchpad5,sam-processing4,Karpenter_Enabled,66.67338271181752
2025-04-30,test,perf1-useast2,seas,sam-processing1,Karpenter_Enabled,66.9143123393802
2025-04-30,test,perf2-uswest2,foundation,sam-control1,Karpenter_Enabled,66.99326157895462
2025-04-30,dev,aws-dev2-uswest2,tvm,sam-processing1,Karpenter_Enabled,67.5052033355877
2025-04-30,dev,fdev1-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,67.63249448694316
2025-04-30,test,test1-uswest2,core4,sam-processing3,Karpenter_Enabled,67.72543798631689
2025-04-30,test,test1-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,68.627922731769
2025-04-30,dev,aws-dev2-uswest2,mulesoft-cp,sam-processing1,Karpenter_Enabled,69.00304307799874
2025-04-30,dev,aws-dev2-uswest2,dp-services,sam-processing2,Karpenter_Enabled,69.64985677282607
2025-04-30,stage,aws-stage1-useast2,foundation,sam-processing1,Karpenter_Enabled,69.69368881104498
2025-04-30,dev,fdev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,69.70188703489063
2025-04-30,stage,aws-stage1-useast2,foundation,sam-control1,Karpenter_Enabled,71.16254482793182
2025-04-30,test,perf2-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,71.49026795976474
2025-04-30,dev,aws-dev2-uswest2,cdp1,sam-processing1,Karpenter_Enabled,71.4974020044726
2025-04-30,dev,dev1-uswest2,netsec,sam-processing1,Karpenter_Enabled,71.99103359479174
2025-04-30,dev,aws-dev5-apsouth1,foundation,sam-processing1,Karpenter_Enabled,72.07611589620895
2025-04-30,dev,aws-dev5-apsouth1,sfw-dataplane,sam-processing1,Karpenter_Enabled,72.75193486049292
2025-04-30,dev,aws-dev4-uswest2,scratchpad1,sam-processing3,Karpenter_Enabled,72.77747237457258
2025-04-30,dev,dev1-uswest2,einstein,sam-processing1,Karpenter_Enabled,72.89608379159137
2025-04-30,dev,aws-dev4-uswest2,foundation,sam-control1,Karpenter_Enabled,72.9122360214271
2025-04-30,dev,aws-dev4-uswest2,commerceecom,sam-processing1,Karpenter_Enabled,73.77240331457394
2025-04-30,dev,aws-dev5-apsouth1,foundation,sam-log-mon1,Karpenter_Enabled,74.20420317982041
2025-04-30,dev,dev1-uswest2,cdp001,sam-processing1,Karpenter_Enabled,74.37146820164826
2025-04-30,dev,aws-dev2-uswest2,messagingjourneys1,sam-processing2,Karpenter_Enabled,75.9412386807654
2025-04-30,test,perf2-uswest2,seas,sam-processing1,Karpenter_Enabled,76.43730802258885
2025-04-30,dev,dev1-uswest2,buildndeliver,sam-processing1,Karpenter_Enabled,76.57098625105456
2025-04-30,dev,aws-dev4-uswest2,einstein,sam-processing1,Karpenter_Enabled,76.67990146825173
2025-04-30,dev,dev1-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Enabled,77.45769724502452
2025-04-30,dev,aws-dev4-uswest2,scratchpad5,sam-processing3,Karpenter_Enabled,77.69901161341748
2025-04-30,dev,aws-dev4-uswest2,scratchpad1,sam-processing1,Karpenter_Enabled,77.7299984065137
2025-04-30,test,test1-uswest2,core3,sam-processing00001,Karpenter_Enabled,77.77197868646356
2025-04-30,test,test1-uswest2,cdp001,sam-processing1,Karpenter_Enabled,77.87895464455819
2025-04-30,test,test1-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,78.06439529710657
2025-04-30,dev,dev1-uswest2,cdp002,sam-processing1,Karpenter_Enabled,78.09982431543774
2025-04-30,dev,dev1-uswest2,crypto,sam-mgmt-truth1,Karpenter_Enabled,78.3899850472037
2025-04-30,dev,aws-dev2-uswest2,apiq,sam-processing1,Karpenter_Enabled,78.46525541790761
