report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-08-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,8.498343955485907
2025-08-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,13.391657929636267
2025-08-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,26.09771490028046
2025-08-31,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,35.047554258910665
2025-08-31,prod,aws-prod0-uswest2,core1,sam-processing-sc1,Karpenter_Enabled,35.97253421511074
2025-08-31,stage,aws-stage1-useast2,core1,sam-highscale-processing1,Karpenter_Enabled,37.694460574421846
2025-08-31,stage,aws-stage1-useast2,coretip1,sam-processing1,Karpenter_Enabled,40.62274533179638
2025-08-31,dev,dev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,41.976475086700006
2025-08-31,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,42.47682454449261
2025-08-31,stage,aws-stage1-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,42.58991411518435
2025-08-31,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,42.70304757314097
2025-08-31,dev,aws-dev4-uswest2,mobilebuild1,sam-processing1,Karpenter_Enabled,45.988936390650835
2025-08-31,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,48.67842804128376
2025-08-31,test,test1-uswest2,regrello,sam-processing1,Karpenter_Enabled,49.26340800953713
2025-08-31,dev,dev1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,49.28407438005822
2025-08-31,dev,aws-dev4-uswest2,foundation,sam-control2,Karpenter_Enabled,49.31927899782917
2025-08-31,stage,aws-stage1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,52.505692898459365
2025-08-31,dev,aws-dev4-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,52.93924155507559
2025-08-31,test,perf1-useast2,gid,sam-processing1,Karpenter_Enabled,54.49980194588233
2025-08-31,test,perf1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,54.59942844096777
2025-08-31,prod,aws-prod17-apsoutheast3,core1,sam-processing1,Karpenter_Enabled,54.79861031189597
2025-08-31,dev,aws-dev4-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,55.383145456603756
2025-08-31,dev,dev1-uswest2,mulesoft-cp,sam-processing1,Karpenter_Enabled,55.84151604244323
2025-08-31,stage,aws-stage1-useast2,foundation,sam-processing1,Karpenter_Enabled,56.401874131521765
2025-08-31,test,test1-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,56.440382926027276
2025-08-31,dev,aws-dev5-apsouth1,security,sam-mgmt-truth1,Karpenter_Enabled,56.491250652709546
2025-08-31,test,perf2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,56.599446946173074
2025-08-31,test,perf2-uswest2,foundation,sam-processing3,Karpenter_Enabled,56.641918179746
2025-08-31,dev,aws-dev5-apsouth1,crypto,sam-mgmt-truth1,Karpenter_Enabled,57.36794133941269
2025-08-31,dev,dev1-uswest2,uip001,sam-processing1,Karpenter_Enabled,58.051425480435896
2025-08-31,dev,fdev1-uswest2,foundation,sam-test-moncloud,Karpenter_Enabled,58.06698966302671
2025-08-31,test,test1-uswest2,diffeo,sam-processing1,Karpenter_Enabled,59.03713992594915
2025-08-31,stage,aws-stage1-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,59.04177041137394
2025-08-31,dev,fdev1-uswest2,foundation,sam-test-hypercomputeapi,Karpenter_Enabled,59.51456017621033
2025-08-31,test,perf1-useast2,foundation,sam-control1,Karpenter_Enabled,59.66259578986192
2025-08-31,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,59.67283985095071
2025-08-31,stage,aws-stage1-useast2,core1,sam-processing1,Karpenter_Enabled,59.78543822097022
2025-08-31,test,perf1-useast2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,60.1292657725925
2025-08-31,dev,fdev1-uswest2,foundation,sam-test-kaas-webhook,Karpenter_Enabled,60.158531592023124
2025-08-31,test,perf1-useast2,diffeo,sam-processing1,Karpenter_Enabled,60.18478470714768
2025-08-31,dev,fdev1-uswest2,foundation,sam-test-netsec-fps,Karpenter_Enabled,60.26853511933877
2025-08-31,prod,aws-prod0-uswest2,core1,sam-processing1,Karpenter_Enabled,60.3250474291727
