report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-12-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,23.544326802741583
2025-12-31,esvc,aws-esvc3-uswest2,foundation,sam-processing1,Karpenter_Enabled,26.647422927660276
2025-12-31,esvc,aws-esvc2-uswest2,devx-s,sam-processing1,Karpenter_Enabled,27.443735017620895
2025-12-31,esvc,aws-esvc1-useast2,devx-stage,sam-processing1,Karpenter_Enabled,34.78284541189902
2025-12-31,esvc,aws-esvc3-uswest2,crypto,sam-mgmt-truth2,Karpenter_Enabled,34.94118469197788
2025-12-31,dev,dev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,42.30118710570775
2025-12-31,dev,fdev1-uswest2,dnr,sam-processing1,Karpenter_Enabled,42.535736294519126
2025-12-31,stage,aws-stage1-useast2,fieldservice,sam-processing1,Karpenter_Enabled,44.30112433458272
2025-12-31,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,45.86467684915365
2025-12-31,esvc,aws-esvc2-uswest2,devx-prod,sam-processing1,Karpenter_Enabled,45.88365059970002
2025-12-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,47.38171758617393
2025-12-31,esvc,aws-esvc2-uswest2,devx-preprod,sam-processing1,Karpenter_Enabled,47.76432812946157
2025-12-31,prod,aws-prod18-mecentral1,security,sam-mgmt-truth1,Karpenter_Enabled,48.15264488040724
2025-12-31,prod,aws-prod17-apsoutheast3,security,sam-mgmt-truth1,Karpenter_Enabled,49.1033883656918
2025-12-31,test,perf1-useast2,gid,sam-processing1,Karpenter_Enabled,49.20190433959588
2025-12-31,prod,aws-prod16-eunorth1,core1,sam-processing2,Karpenter_Enabled,50.000508358184135
2025-12-31,dev,aws-dev2-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,50.30954970769705
2025-12-31,test,test1-uswest2,core4,sam-processing1,Karpenter_Enabled,51.30343722559437
2025-12-31,stage,aws-stage1-useast2,crypto,sam-mgmt-truth2,Karpenter_Enabled,51.44615666022353
2025-12-31,dev,aws-dev2-uswest2,dp-services,sam-processing1,Karpenter_Enabled,53.507958083145205
2025-12-31,prod,aws-prod24-apsouth2,core1,sam-processing-sc4,Karpenter_Enabled,53.58216737742869
2025-12-31,esvc,aws-esvc3-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,53.733710813885146
2025-12-31,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,54.533551586336294
