report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2026-02-27,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring9,Karpenter_Enabled,14.828398815660442
2026-02-27,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring11,Karpenter_Enabled,14.83032428980432
2026-02-27,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring8,Karpenter_Enabled,15.87481901635476
2026-02-27,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring6,Karpenter_Enabled,17.081148925441507
2026-02-27,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring4,Karpenter_Enabled,17.095863304866032
2026-02-27,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring7,Karpenter_Enabled,17.857114665688588
2026-02-27,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring8,Karpenter_Enabled,20.049845580549533
2026-02-27,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring7,Karpenter_Enabled,20.960510507449477
2026-02-27,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,25.578641660158645
2026-02-27,prod,aws-prod0-uswest2,foundation,sam-processing1,Karpenter_Enabled,26.93575973802142
2026-02-27,esvc,aws-esvc3-uswest2,foundation,sam-processing1,Karpenter_Enabled,27.156444620827386
2026-02-27,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring10,Karpenter_Enabled,31.023632612566228
2026-02-27,test,perf2-uswest2,foundation,sam-processing3,Karpenter_Enabled,34.15473747830084
2026-02-27,dev,dev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,39.36159609168149
2026-02-27,esvc,aws-esvc2-uswest2,devx-s,sam-processing1,Karpenter_Enabled,42.75764612096438
2026-02-27,dev,dev1-uswest2,core002,sam-processing-sc1,Karpenter_Enabled,44.624823439444974
2026-02-27,stage,aws-stage1-useast2,fieldservice,sam-processing1,Karpenter_Enabled,45.605126336646116
2026-02-27,esvc,aws-esvc2-uswest2,devx-prod,sam-processing1,Karpenter_Enabled,46.009073429675794
2026-02-27,dev,aws-dev2-uswest2,dp-services,sam-processing1,Karpenter_Enabled,47.25052128919313
2026-02-27,dev,dev1-uswest2,core002,sam-bigdata2,Karpenter_Enabled,47.90666694629758
2026-02-27,esvc,aws-esvc2-uswest2,security-preprod,sam-mgmt-truth1,Karpenter_Enabled,49.331636825308514
2026-02-27,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,50.490333304172864
2026-02-27,stage,aws-stage1-useast2,crypto,sam-hub1,Karpenter_Enabled,50.56037383856173
2026-02-27,prod,aws-prod17-apsoutheast3,crypto,sam-mgmt-truth2,Karpenter_Enabled,50.98238531805121
2026-02-27,dev,aws-dev2-uswest2,ast,sam-processing1,Karpenter_Enabled,51.437502489598465
2026-02-27,prod,aws-prod18-mecentral1,security,sam-mgmt-truth1,Karpenter_Enabled,51.47742585765626
2026-02-27,stage,aws-stage1-useast2,crypto,sam-mgmt-truth2,Karpenter_Enabled,51.5211408388308
2026-02-27,prod,aws-prod18-mecentral1,crypto,sam-hub1,Karpenter_Enabled,51.92182488968196
2026-02-27,prod,aws-prod17-apsoutheast3,security,sam-mgmt-truth1,Karpenter_Enabled,52.09405456139034
2026-02-27,prod,aws-prod20-ilcentral1,crypto,sam-hub1,Karpenter_Enabled,52.10486521628632
2026-02-27,prod,aws-prod18-mecentral1,crypto,sam-mgmt-truth2,Karpenter_Enabled,52.898220814173946
