report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2026-01-31,esvc,aws-esvc3-uswest2,foundation,sam-processing1,Karpenter_Enabled,24.627991079661644
2026-01-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,26.385225965059007
2026-01-31,esvc,aws-esvc2-uswest2,devx-s,sam-processing1,Karpenter_Enabled,33.07049650669781
2026-01-31,test,test1-uswest2,bigdata,sam-processing1,Karpenter_Enabled,33.55808788896288
2026-01-31,dev,dev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,41.0163929684878
2026-01-31,esvc,aws-esvc2-uswest2,devx-preprod,sam-processing1,Karpenter_Enabled,41.98807623790053
2026-01-31,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,42.30523891714734
2026-01-31,esvc,aws-esvc1-useast2,devx-stage,sam-processing1,Karpenter_Enabled,42.94604213131311
2026-01-31,esvc,aws-esvc3-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,43.21402839308757
2026-01-31,test,perf2-uswest2,foundation,sam-processing4,Karpenter_Enabled,43.67217845376259
2026-01-31,esvc,aws-esvc2-uswest2,devx-prod,sam-processing1,Karpenter_Enabled,46.922433999534505
2026-01-31,stage,aws-stage1-useast2,fieldservice,sam-processing1,Karpenter_Enabled,47.43839660722833
2026-01-31,esvc,aws-esvc2-uswest2,security-preprod,sam-mgmt-truth1,Karpenter_Enabled,48.229050755707334
2026-01-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,49.19982655792934
2026-01-31,prod,aws-prod18-mecentral1,security,sam-mgmt-truth1,Karpenter_Enabled,49.41113956534812
2026-01-31,prod,aws-prod17-apsoutheast3,security,sam-mgmt-truth1,Karpenter_Enabled,49.72087424866122
2026-01-31,stage,aws-stage1-useast2,crypto,sam-hub1,Karpenter_Enabled,50.82731607629442
2026-01-31,prod,aws-prod17-apsoutheast3,crypto,sam-mgmt-truth2,Karpenter_Enabled,51.14060304540556
2026-01-31,dev,aws-dev2-uswest2,dp-services,sam-processing1,Karpenter_Enabled,52.09901747157231
2026-01-31,stage,aws-stage1-useast2,crypto,sam-mgmt-truth2,Karpenter_Enabled,52.41904455545471
2026-01-31,prod,aws-prod18-mecentral1,crypto,sam-mgmt-truth2,Karpenter_Enabled,52.87605187979858
2026-01-31,prod,aws-prod20-ilcentral1,crypto,sam-mgmt-truth2,Karpenter_Enabled,52.89735390127078
2026-01-31,prod,aws-prod14-apnortheast2,crypto,sam-mgmt-truth2,Karpenter_Enabled,52.9934034327769
2026-01-31,dev,dev1-uswest2,unified-engagement,sam-processing1,Karpenter_Enabled,53.143486025059595
2026-01-31,prod,aws-prod24-apsouth2,core1,sam-processing-sc4,Karpenter_Enabled,53.40689090952766
2026-01-31,dev,dev1-uswest2,monitoring-regional,sam-processing1,Karpenter_Enabled,54.11770351452307
2026-01-31,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,54.686844687066404
2026-01-31,esvc,aws-esvc3-uswest2,buildndeliver-s,sam-processing1,Karpenter_Enabled,55.24992448520333
2026-01-31,esvc,aws-esvc1-useast2,ast-s,sam-processing1,Karpenter_Enabled,55.3822226755763
2026-01-31,esvc,aws-esvc1-useast2,uip-public,sam-processing1,Karpenter_Enabled,55.49683668622362
