report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-07-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,7.522266843085607
2025-07-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.802670888063943
2025-07-31,prod,aws-prod0-uswest2,core1,sam-processing-sc1,Karpenter_Enabled,12.956920207871686
2025-07-31,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,13.379682578900272
2025-07-31,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,23.645212888357456
2025-07-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,25.272989106952494
2025-07-31,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,28.24149340717629
2025-07-31,test,test1-uswest2,apiq,sam-processing1,Karpenter_Enabled,28.870367124876996
2025-07-31,stage,aws-stage1-useast2,core1,sam-highscale-processing1,Karpenter_Enabled,37.68755137140462
2025-07-31,dev,dev1-uswest2,crypto,sam-hub1,Karpenter_Enabled,38.72937748489528
2025-07-31,dev,dev1-uswest2,crypto,sam-mgmt-truth2,Karpenter_Enabled,40.493692539591585
2025-07-31,stage,aws-stage1-useast2,coretip1,sam-processing1,Karpenter_Enabled,41.719814912879386
2025-07-31,dev,aws-dev4-uswest2,mobilebuild1,sam-processing1,Karpenter_Enabled,42.347828120563655
2025-07-31,stage,aws-stage1-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,44.16168644578759
2025-07-31,dev,dev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,44.202934476599914
2025-07-31,dev,aws-dev4-uswest2,foundation,sam-control2,Karpenter_Enabled,45.216942566528076
2025-07-31,dev,dev1-uswest2,seas,sam-processing1,Karpenter_Enabled,45.97935880838478
2025-07-31,stage,aws-stage1-useast2,foundation,sam-processing1,Karpenter_Enabled,46.00299187812161
2025-07-31,dev,dev1-uswest2,diffeo,sam-processing1,Karpenter_Enabled,47.831760353019924
2025-07-31,dev,aws-dev4-uswest2,scratchpad1,sam-processing2,Karpenter_Enabled,49.53384202445398
2025-07-31,dev,aws-dev2-uswest2,dp-services,sam-processing1,Karpenter_Enabled,50.18802362778314
2025-07-31,dev,aws-dev4-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,50.49368063183384
2025-07-31,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,50.92552794851299
2025-07-31,test,perf1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,50.93850947708272
2025-07-31,dev,fdev1-uswest2,foundation,sam-control1,Karpenter_Enabled,51.69532686911362
2025-07-31,test,perf2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,52.10716148552701
2025-07-31,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,52.409024911579635
