report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-06-30,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,4.810510193179886
2025-06-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,7.407639854644053
2025-06-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,11.882540533854936
2025-06-30,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,19.603736293915915
2025-06-30,test,test1-uswest2,apiq,sam-processing1,Karpenter_Enabled,20.236234342894075
2025-06-30,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,22.140494883663283
2025-06-30,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,24.545291521306652
2025-06-30,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,26.67940956806678
2025-06-30,dev,dev1-uswest2,crypto,sam-hub1,Karpenter_Enabled,38.682697111643975
2025-06-30,dev,dev1-uswest2,crypto,sam-mgmt-truth2,Karpenter_Enabled,41.44945556106826
2025-06-30,dev,aws-dev4-uswest2,mobilebuild1,sam-processing1,Karpenter_Enabled,42.31986062750081
2025-06-30,dev,dev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,42.75419255600176
2025-06-30,dev,aws-dev4-uswest2,scratchpad1,sam-ma-test2,Karpenter_Enabled,44.42655620819135
2025-06-30,dev,aws-dev4-uswest2,foundation,sam-control2,Karpenter_Enabled,45.01406858907852
2025-06-30,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,45.02397258816116
2025-06-30,stage,aws-stage1-useast2,core1,sam-highscale-processing1,Karpenter_Enabled,45.60402947754442
2025-06-30,stage,aws-stage1-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,46.4211674175004
2025-06-30,test,aws-test2-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,46.76701183722122
2025-06-30,dev,aws-dev5-apsouth1,security,sam-mgmt-truth1,Karpenter_Enabled,47.258559716887866
2025-06-30,dev,dev1-uswest2,seas,sam-processing1,Karpenter_Enabled,47.78550408185619
2025-06-30,dev,fdev1-uswest2,foundation,sam-hub1,Karpenter_Enabled,48.06304084724563
2025-06-30,dev,aws-dev5-apsouth1,devx,sam-processing1,Karpenter_Enabled,49.07570606562196
2025-06-30,test,test1-uswest2,core3,sam-processing-sc1,Karpenter_Enabled,50.71424273837687
