report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-05-31,test,aws-test2-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,0.0
2025-05-31,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,3.923390182309279
2025-05-31,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,6.44692300595734
2025-05-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,6.740019080124333
2025-05-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.90611889134648
2025-05-31,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,27.59476368770874
2025-05-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,31.909916605313743
2025-05-31,dev,aws-dev2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,42.28408152987396
2025-05-31,dev,aws-dev2-uswest2,seas,sam-processing1,Karpenter_Enabled,43.802805505985695
2025-05-31,dev,aws-dev4-uswest2,mobilebuild1,sam-processing1,Karpenter_Enabled,43.811462162383954
2025-05-31,dev,fdev1-uswest2,foundation,sam-control1,Karpenter_Enabled,44.296593496118305
2025-05-31,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,45.29017075984088
2025-05-31,dev,aws-dev4-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,45.36451300477683
2025-05-31,dev,aws-dev4-uswest2,scratchpad1,sam-processing1,Karpenter_Enabled,45.9475734782779
2025-05-31,test,perf1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,47.30520395146252
2025-05-31,test,perf2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,48.74299408147112
2025-05-31,dev,aws-dev5-apsouth1,security,sam-mgmt-truth1,Karpenter_Enabled,48.84185761025623
2025-05-31,dev,fdev1-uswest2,foundation,sam-control3,Karpenter_Enabled,50.104511527108585
2025-05-31,stage,aws-stage1-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,50.32884198840194
2025-05-31,dev,aws-dev2-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,50.374658300608
2025-05-31,dev,dev1-uswest2,crypto,sam-mgmt-truth2,Karpenter_Enabled,50.65038778886528
2025-05-31,dev,aws-dev4-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,51.07955528054092
2025-05-31,dev,aws-dev4-uswest2,foundation,sam-control2,Karpenter_Enabled,51.11788620566241
2025-05-31,dev,aws-dev2-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,51.46491177386851
2025-05-31,dev,dev1-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,52.62120102000966
2025-05-31,dev,aws-dev2-uswest2,dp-services,sam-processing1,Karpenter_Enabled,52.76518415747984
2025-05-31,dev,aws-dev4-uswest2,scratchpad1,sam-ma-test1,Karpenter_Enabled,52.79197005965748
2025-05-31,test,test1-uswest2,core4,sam-processing-sc1,Karpenter_Enabled,52.81284569471117
2025-05-31,dev,fdev1-uswest2,dnr,sam-processing1,Karpenter_Enabled,52.849609205501565
2025-05-31,dev,aws-dev4-uswest2,mulesoft-regional1,sam-processing1,Karpenter_Enabled,53.725308024540574
2025-05-31,test,test1-uswest2,core3,sam-processing-sc1,Karpenter_Enabled,54.35364529105987
2025-05-31,test,aws-test2-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,54.956430226848475
2025-05-31,stage,aws-stage1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,55.46926435829233
2025-05-31,test,test1-uswest2,diffeo,sam-processing1,Karpenter_Enabled,55.590732775172924
2025-05-31,dev,fdev1-uswest2,foundation,sam-hub1,Karpenter_Enabled,55.891053089780925
2025-05-31,dev,dev1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,56.013296378625235
2025-05-31,stage,aws-stage1-useast2,coretip1,sam-processing1,Karpenter_Enabled,56.37011404257256
2025-05-31,dev,aws-dev4-uswest2,airesearch,sam-processing1,Karpenter_Enabled,56.96854269709895
2025-05-31,dev,aws-dev5-apsouth1,crypto,sam-mgmt-truth1,Karpenter_Enabled,57.32535735472515
2025-05-31,dev,aws-dev2-uswest2,tvm,sam-processing1,Karpenter_Enabled,57.61213549162887
2025-05-31,dev,dev1-uswest2,dnr,sam-processing1,Karpenter_Enabled,57.83729328838694
2025-05-31,dev,dev1-uswest2,core002,sam-processing00001,Karpenter_Enabled,57.930701427656864
2025-05-31,stage,aws-stage1-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,58.08364433531559
2025-05-31,test,test1-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,58.15784906998191
2025-05-31,dev,dev1-uswest2,tvm,sam-processing1,Karpenter_Enabled,58.8668775490898
2025-05-31,stage,aws-stage1-useast2,foundation,sam-processing1,Karpenter_Enabled,59.10464180104594
