report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-11-30,esvc,aws-esvc2-uswest2,devx-s,sam-processing1,Karpenter_Enabled,22.62463820706912
2025-11-30,esvc,aws-esvc1-useast2,devx-stage,sam-processing1,Karpenter_Enabled,23.16367300841694
2025-11-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,23.506877123749874
2025-11-30,esvc,aws-esvc2-uswest2,devx-prod,sam-processing1,Karpenter_Enabled,31.18575397721347
2025-11-30,test,test1-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,39.25547350309313
2025-11-30,dev,dev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,43.22848303865168
2025-11-30,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,43.559972344011854
2025-11-30,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,45.01483431383579
2025-11-30,stage,aws-stage1-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,45.377105273293566
2025-11-30,prod,aws-prod24-apsouth2,core1,sam-processing-sc4,Karpenter_Enabled,45.82189170344335
2025-11-30,prod,aws-prod17-apsoutheast3,security,sam-mgmt-truth1,Karpenter_Enabled,47.030241326573275
2025-11-30,stage,aws-stage1-useast2,fieldservice,sam-processing1,Karpenter_Enabled,47.05619036413631
2025-11-30,test,test1-uswest2,core4,sam-processing4,Karpenter_Enabled,47.171453282167555
2025-11-30,dev,aws-dev2-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,47.30488487111577
2025-11-30,dev,dev1-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,47.78763476279288
2025-11-30,dev,dev1-uswest2,unified-engagement,sam-processing1,Karpenter_Enabled,48.831122334224105
2025-11-30,dev,aws-dev4-uswest2,fire98,sam-processing1,Karpenter_Enabled,48.88738653156027
2025-11-30,dev,aws-dev4-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,49.21522559341183
2025-11-30,prod,aws-prod18-mecentral1,security,sam-mgmt-truth1,Karpenter_Enabled,50.01725689759322
2025-11-30,dev,dev1-uswest2,core002,sam-processing-sc1,Karpenter_Enabled,50.14328492032043
2025-11-30,dev,aws-dev2-uswest2,dp-services,sam-processing1,Karpenter_Enabled,50.866734551792284
2025-11-30,dev,aws-dev5-apsouth1,foundation,sam-log-mon1,Karpenter_Enabled,51.003737089095715
2025-11-30,stage,aws-stage1-useast2,coretip1,sam-processing1,Karpenter_Enabled,51.864216872161094
2025-11-30,prod,aws-prod13-euwest2,core1,sam-processing2,Karpenter_Enabled,52.32089089722469
2025-11-30,esvc,aws-esvc2-uswest2,security-preprod,sam-mgmt-truth1,Karpenter_Enabled,52.389940583068665
2025-11-30,esvc,aws-esvc3-uswest2,buildndeliver-s,sam-processing1,Karpenter_Enabled,52.932252531852576
2025-11-30,prod,aws-prod24-apsouth2,core1,sam-processing-sc3,Karpenter_Enabled,53.81440583405572
2025-11-30,test,perf1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,54.214830868103036
2025-11-30,dev,dev1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,54.51632234208286
2025-11-30,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,54.869279555068786
2025-11-30,test,test1-uswest2,diffeo,sam-processing1,Karpenter_Enabled,55.314590313472515
2025-11-30,prod,aws-prod22-apnortheast3,core1,sam-processing-sc3,Karpenter_Enabled,55.738063706372074
2025-11-30,prod,aws-prod3-eucentral1,core1,sam-processing2,Karpenter_Enabled,56.13354905214945
2025-11-30,prod,aws-prod16-eunorth1,core1,sam-processing2,Karpenter_Enabled,56.18338437191712
2025-11-30,dev,dev1-uswest2,cdp002,sam-processing1,Karpenter_Enabled,56.9443886450411
2025-11-30,stage,aws-stage1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,57.552595513643425
2025-11-30,test,perf1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,57.908722059278695
2025-11-30,dev,fdev1-uswest2,dnr,sam-processing1,Karpenter_Enabled,58.65320867630317
2025-11-30,prod,aws-prod24-apsouth2,core1,sam-processing-sc1,Karpenter_Enabled,59.03350482308084
2025-11-30,esvc,aws-esvc2-uswest2,devx-preprod,sam-processing1,Karpenter_Enabled,60.02391204831267
2025-11-30,test,test1-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,60.12335879037799
2025-11-30,test,perf1-useast2,diffeo,sam-processing1,Karpenter_Enabled,60.64721657292145
2025-11-30,prod,aws-prod22-apnortheast3,core1,sam-processing-sc2,Karpenter_Enabled,60.68770921697115
2025-11-30,dev,aws-dev4-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,60.707964347792576
2025-11-30,dev,dev1-uswest2,diffeo,sam-processing1,Karpenter_Enabled,60.75585928076086
2025-11-30,prod,aws-prod0-uswest2,core1,sam-processing-sc1,Karpenter_Enabled,60.99730028435146
2025-11-30,test,perf2-uswest2,einstein,sam-processing1,Karpenter_Enabled,61.12790386980244
2025-11-30,test,perf1-useast2,airesearch,sam-processing1,Karpenter_Enabled,61.34164498554122
2025-11-30,dev,aws-dev2-uswest2,cdp1,sam-processing1,Karpenter_Enabled,61.37450116091034
2025-11-30,dev,aws-dev2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,61.52596912480547
2025-11-30,test,test1-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Enabled,61.63328974561518
2025-11-30,prod,aws-prod22-apnortheast3,core1,sam-processing-sc1,Karpenter_Enabled,61.69236311911983
2025-11-30,stage,aws-stage1-useast2,fire,sam-processing1,Karpenter_Enabled,61.729328436866524
2025-11-30,dev,aws-dev4-uswest2,scratchpad12,sam-processing2,Karpenter_Enabled,62.27619276558251
2025-11-30,dev,fdev1-uswest2,foundation,sam-control1,Karpenter_Enabled,62.64450385155035
2025-11-30,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,62.71252376593402
2025-11-30,dev,dev1-uswest2,monitoring,sam-logging-monitoring2,Karpenter_Enabled,62.735871326008954
2025-11-30,dev,fdev1-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,62.77549149137911
2025-11-30,test,perf1-useast2,gid,sam-processing1,Karpenter_Enabled,62.805384208671065
2025-11-30,test,perf2-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,63.08509160815979
2025-11-30,test,perf2-uswest2,security,sam-mgmt-truth1,Karpenter_Enabled,63.34599832356712
2025-11-30,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,63.392241128054394
2025-11-30,dev,aws-dev2-uswest2,ast,sam-processing1,Karpenter_Enabled,63.42244748741857
2025-11-30,test,perf1-useast2,unified-engagement1,sam-processing1,Karpenter_Enabled,63.66991322215604
2025-11-30,dev,dev1-uswest2,cdp001,sam-processing1,Karpenter_Enabled,64.01253028641769
2025-11-30,dev,aws-dev4-uswest2,commerceecom,sam-processing1,Karpenter_Enabled,64.0307813399058
2025-11-30,test,perf1-useast2,core1,sam-processing1,Karpenter_Enabled,64.07435304401157
2025-11-30,dev,dev1-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,64.19533265955585
2025-11-30,dev,aws-dev2-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,64.93339621903448
2025-11-30,stage,aws-stage1-useast2,foundation,sam-control1,Karpenter_Enabled,64.94595823657755
2025-11-30,esvc,aws-esvc1-useast2,ast-s,sam-processing1,Karpenter_Enabled,65.50627422931625
2025-11-30,prod,aws-prod22-apnortheast3,core1,sam-processing-sc5,Karpenter_Enabled,66.15466019622612
2025-11-30,dev,aws-dev5-apsouth1,security,sam-mgmt-truth1,Karpenter_Enabled,66.66894300390854
2025-11-30,prod,aws-prod2-apsouth1,core1,sam-processing2,Karpenter_Enabled,67.21866727749364
2025-11-30,dev,dev1-uswest2,seas,sam-processing1,Karpenter_Enabled,67.22341557017532
2025-11-30,stage,aws-stage1-useast2,crypto,sam-mgmt-truth2,Karpenter_Enabled,67.66510830811836
2025-11-30,prod,aws-prod20-ilcentral1,security,sam-mgmt-truth1,Karpenter_Enabled,67.70230339563106
2025-11-30,dev,aws-dev4-uswest2,airesearch,sam-processing1,Karpenter_Enabled,67.82346757589535
2025-11-30,prod,aws-prod11-saeast1,core1,sam-processing1,Karpenter_Enabled,68.15458651202772
2025-11-30,test,test1-uswest2,seas1,sam-processing1,Karpenter_Enabled,68.41150187783445
2025-11-30,dev,aws-dev2-uswest2,tvm,sam-processing1,Karpenter_Enabled,68.49877007942678
2025-11-30,test,perf2-uswest2,foundation,sam-processing4,Karpenter_Enabled,68.5263140201369
2025-11-30,test,test1-uswest2,industries,sam-processing1,Karpenter_Enabled,68.58038605839943
2025-11-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,69.0021726704099
2025-11-30,test,test1-uswest2,unified-engagement,sam-processing1,Karpenter_Enabled,69.03120163224243
2025-11-30,prod,aws-prod10-apsoutheast1,edge,sam-processing1,Karpenter_Enabled,69.32483136541887
2025-11-30,dev,fdev1-uswest2,foundation,sam-processing5,Karpenter_Enabled,69.6259963230171
2025-11-30,dev,aws-dev2-uswest2,apiq,sam-processing1,Karpenter_Enabled,69.66834778112329
2025-11-30,stage,aws-stage1-useast2,foundation,sam-processing1,Karpenter_Enabled,69.6708173252836
2025-11-30,test,test1-uswest2,ms-regional-migrate,sam-processing1,Karpenter_Enabled,70.07752426657969
2025-11-30,prod,aws-prod18-mecentral1,crypto,sam-mgmt-truth1,Karpenter_Enabled,70.17601797233958
