report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-10-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,13.51038116497605
2025-10-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,19.871474980627298
2025-10-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Enabled,20.391227751780754
2025-10-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,20.5646589364904
2025-10-31,esvc,aws-esvc2-uswest2,devx-s,sam-processing1,Karpenter_Enabled,27.589523167332935
2025-10-31,test,perf2-uswest2,foundation,sam-meshscale1,Karpenter_Enabled,27.63733412936014
2025-10-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Enabled,31.63962361836609
2025-10-31,stage,aws-stage1-useast2,fieldservice,sam-processing1,Karpenter_Enabled,35.10542512882219
2025-10-31,test,perf2-uswest2,foundation,sam-processing4,Karpenter_Enabled,38.71109337781773
2025-10-31,stage,aws-stage1-useast2,coretip1,sam-processing1,Karpenter_Enabled,40.235159800220316
2025-10-31,prod,aws-prod16-eunorth1,core1,sam-processing2,Karpenter_Enabled,40.56420374973078
2025-10-31,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,43.62156626966127
2025-10-31,prod,aws-prod13-euwest2,core1,sam-processing2,Karpenter_Enabled,44.720560606363385
2025-10-31,dev,aws-dev2-uswest2,foundation,sam-logging-monitoring1,Karpenter_Enabled,45.100705404167535
2025-10-31,dev,aws-dev2-uswest2,dp-services,sam-processing1,Karpenter_Enabled,47.164087020040604
2025-10-31,test,aws-test3-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,47.9034414940646
2025-10-31,dev,aws-dev4-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,47.9088421734093
2025-10-31,test,aws-test3-useast2,foundation,sam-logging-monitoring1,Karpenter_Enabled,49.62882208731028
2025-10-31,stage,aws-stage1-useast2,security,sam-mgmt-truth1,Karpenter_Enabled,51.29480254982881
2025-10-31,esvc,aws-esvc2-uswest2,security-preprod,sam-mgmt-truth1,Karpenter_Enabled,51.876931641025536
2025-10-31,test,test1-uswest2,diffeo,sam-processing1,Karpenter_Enabled,52.329193640175106
2025-10-31,prod,aws-prod0-uswest2,core1,sam-processing-sc1,Karpenter_Enabled,52.51682340789983
2025-10-31,dev,aws-dev5-apsouth1,devx,sam-processing1,Karpenter_Enabled,53.269266483208085
2025-10-31,test,perf1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,53.757648647224165
2025-10-31,stage,aws-stage1-useast2,diffeo,sam-processing1,Karpenter_Enabled,54.49145492088019
2025-10-31,esvc,aws-esvc1-useast2,ast-s,sam-processing1,Karpenter_Enabled,55.061752874839556
2025-10-31,stage,aws-stage1-useast2,fire,sam-processing1,Karpenter_Enabled,56.64360333996182
2025-10-31,test,perf2-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,56.74192515590823
2025-10-31,test,perf1-useast2,gid,sam-processing1,Karpenter_Enabled,57.24916956144946
