report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cluster_packing_percent
2025-09-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,7.840281438822437
2025-09-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,13.37090544656127
2025-09-30,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,24.099026766399138
2025-09-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Enabled,27.05792943551733
2025-09-30,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,31.687731195418813
2025-09-30,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,35.44697635060927
2025-09-30,prod,aws-prod16-eunorth1,core1,sam-processing2,Karpenter_Enabled,35.87937751976125
2025-09-30,prod,aws-prod0-uswest2,core1,sam-processing-sc1,Karpenter_Enabled,37.66795971161137
2025-09-30,stage,aws-stage1-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,39.348273786663924
2025-09-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Enabled,39.397654997184986
2025-09-30,stage,aws-stage1-useast2,coretip1,sam-processing1,Karpenter_Enabled,39.84829884202904
2025-09-30,prod,aws-prod13-euwest2,core1,sam-processing2,Karpenter_Enabled,40.09495769926985
2025-09-30,dev,dev1-uswest2,monitoring,sam-processing1,Karpenter_Enabled,40.36363505928666
2025-09-30,test,test1-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,43.34012272857214
2025-09-30,dev,aws-dev4-uswest2,mulesoft-regional1,sam-processing1,Karpenter_Enabled,43.409335658578556
2025-09-30,dev,aws-dev2-uswest2,mulesoft-regional,sam-processing1,Karpenter_Enabled,43.690819771820536
2025-09-30,stage,aws-stage1-useast2,foundation,sam-control1,Karpenter_Enabled,44.233989007112875
2025-09-30,stage,aws-stage1-useast2,foundation,sam-processing1,Karpenter_Enabled,45.02287958275274
2025-09-30,dev,aws-dev4-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,45.15499679335161
2025-09-30,test,test1-uswest2,fieldservice,sam-processing1,Karpenter_Enabled,45.34489815327153
