Initiative,Estimates,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Jan,Total FY26 Savings,Difference FY26,,FY26 Forecasted,,Difference
Improve Bin Packing with Karpenter- Platform, Original Estimate , $ -   , $ -   , $ -   , $ -   ," $ 20,000.00 "," $ 20,000.00 "," $ 25,000.00 "," $ 25,000.00 "," $ 25,000.00 "," $ 25,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 200,000.00 ",,,Original Estimate," $ 8,170,000.00 ",
, Revised Estimate ,,,,," $ 20,000.00 "," $ 20,000.00 "," $ 25,000.00 "," $ 45,303.56 "," $ 45,303.56 "," $ 45,303.56 "," $ 45,303.56 "," $ 45,303.56 "," $ 291,517.80 "," $ 91,517.80 ",,Revised Estimate," $ 5,508,939.84 "," $ (2,661,060.16)"
, Actuals , $ -   , $ -   ," $ 13,428.00 "," $ 37,283.20 "," $ 45,303.56 "," $ 45,303.56 "," $ 45,303.56 "," $ 45,303.56 "," $ 45,303.56 "," $ 45,303.56 "," $ 45,303.56 "," $ 45,303.56 "," $ 413,139.68 "," $ 121,621.88 ",,Realized Savings," $ 4,386,939.84 ",
Improve Bin Packing with Karpenter- Tenant, Original Estimate , $ -   , $ -   , $ -   , $ -   ," $ 180,000.00 "," $ 180,000.00 "," $ 225,000.00 "," $ 225,000.00 "," $ 225,000.00 "," $ 225,000.00 "," $ 270,000.00 "," $ 270,000.00 "," $ 1,800,000.00 ",,,,,
, Revised Estimate ,,,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ," $ (1,800,000.00)",,,,
, Actuals , $ -   , $ -   ,$0.00, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,,Karpenter/M5," $ (3,026,860.32)",
"
M5 Upgrades to M6- Platform", Original Estimate , $ -   , $ -   , $ -   , $ -   ," $ 14,000.00 "," $ 14,000.00 "," $ 16,000.00 "," $ 16,000.00 "," $ 20,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 170,000.00 ",,,Right-sizing," $ (1,098,241.24)",
, Revised Estimate ,,,,,,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ," $ (170,000.00)",,Mesh/IG," $ 78,517.20 ",
, Actuals , $ -   , $ -   ,,,,,,,,,,, $ -   ,,,Reduce Storage," $ 299,000.00 ",
"
M5 Upgrades to M6- Tenant", Original Estimate , $ -   , $ -   , $ -   , $ -   ," $ 126,000.00 "," $ 126,000.00 "," $ 144,000.00 "," $ 144,000.00 "," $ 180,000.00 "," $ 180,000.00 "," $ 180,000.00 "," $ 190,000.00 "," $ 1,270,000.00 ",,,Decomm," $ 127,023.80 ",
, Revised Estimate ,,,,,,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ," $ (1,270,000.00)",,Total," $ (3,620,560.56)",
, Actuals , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,,,,,
"
Rightsizing of HCP AddOns- Platform", Original Estimate , $ -   , $ -   , $ -   , $ -   ," $ 340,000.00 "," $ 350,000.00 "," $ 400,000.00 "," $ 450,000.00 "," $ 450,000.00 "," $ 450,000.00 "," $ 480,000.00 "," $ 480,000.00 "," $ 3,400,000.00 ",,,,,
, Revised Estimate ,,," $ 15,796.38 ","$24,796.4"," $ 64,949.00 "," $ 114,385.00 "," $ 149,472.00 "," $ 149,472.00 "," $ 149,472.00 "," $ 544,472.00 "," $ 544,472.00 "," $ 544,472.00 "," $ 2,301,758.76 "," $ (1,098,241.24)",,,,
, Actuals , $ -   , $ -   ," $ 15,796.38 ","$24,796.4"," $ 64,949.00 "," $ 114,385.00 "," $ 149,472.00 "," $ 149,472.00 "," $ 149,472.00 "," $ 149,472.00 "," $ 149,472.00 "," $ 149,472.00 "," $ 1,116,758.76 ",,,,,
"
Reduce Storage Waste-non-sam(gp2-gp3)- Tenant", Original Estimate , $ -   , $ -   , $ -   , $ -   ," $ 30,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 50,000.00 "," $ 50,000.00 "," $ 50,000.00 "," $ 300,000.00 ",,,,,
, Revised Estimate ,,,,," $ 30,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 101,800.00 "," $ 101,800.00 "," $ 101,800.00 "," $ 101,800.00 "," $ 101,800.00 "," $ 599,000.00 "," $ 299,000.00 ",,,,
, Actuals , $ -   , $ -   ," $ 37,200.00 "," $ 37,200.00 "," $ 37,200.00 "," $ 71,600.00 "," $ 71,600.00 "," $ 101,800.00 "," $ 101,800.00 "," $ 101,800.00 "," $ 101,800.00 "," $ 101,800.00 "," $ 763,800.00 ",,,,,
Mesh / IG- Platform, Original Estimate , $ -   , $ -   , $ -   , $ -   ," $ 90,000.00 "," $ 90,000.00 "," $ 90,000.00 "," $ 90,000.00 "," $ 90,000.00 "," $ 90,000.00 "," $ 90,000.00 "," $ 100,000.00 "," $ 730,000.00 ",,,,,
, Revised Estimate ,,,,," $ 90,000.00 "," $ 90,000.00 "," $ 90,000.00 "," $ 107,703.44 "," $ 107,703.44 "," $ 107,703.44 "," $ 107,703.44 "," $ 107,703.44 "," $ 808,517.20 "," $ 78,517.20 ",,,,
, Actuals , $ -   , $ -   , $ -   , $ -   ," $ 38,595.30 "," $ 38,595.30 "," $ 102,228.60 "," $ 125,819.60 "," $ 125,819.60 "," $ 125,819.60 "," $ 125,819.60 "," $ 125,819.60 "," $ 808,517.20 ",,,,,
"
Decom of Redundant Compute- Tenant", Original Estimate , $ -   , $ -   , $ -   , $ -   ," $ 30,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 30,000.00 "," $ 50,000.00 "," $ 50,000.00 "," $ 50,000.00 "," $ 300,000.00 ",,,,,
, Revised Estimate ,,,,,,,," $ 42,291.65 "," $ 42,291.65 "," $ 42,291.65 "," $ 42,291.65 "," $ 42,291.65 "," $ 300,000.00 "," $ 127,023.80 ",,,,
, Actuals ," $ 25,675.65 "," $ 26,047.65 "," $ 26,047.65 "," $ 26,047.65 "," $ 33,859.65 "," $ 35,595.65 "," $ 42,291.65 "," $ 42,291.65 "," $ 42,291.65 "," $ 42,291.65 "," $ 42,291.65 "," $ 42,291.65 "," $ 427,023.80 ",,,,,
Right-sizing Supercell Clusters, Original Estimate ,,,,," $ 10,000.00 "," $ 81,000.00 "," $ 252,000.00 "," $ 215,000.00 "," $ 220,000.00 "," $ 306,000.00 "," $ 306,000.00 "," $ 306,000.00 "," $ 1,696,000.00 ",,,,,
, Revised Estimate ,,,,," $ 10,000.00 "," $ 81,000.00 "," $ 127,783.40 "," $ 127,783.40 "," $ 127,783.40 "," $ 127,783.40 "," $ 127,783.40 "," $ 127,783.40 "," $ 857,700.40 "," $ (838,299.60)",,,,
, Actuals ,,,,," $ 10,000.00 "," $ 18,000.00 "," $ 127,783.40 "," $ 127,783.40 "," $ 127,783.40 "," $ 127,783.40 "," $ 127,783.40 "," $ 127,783.40 "," $ 794,700.40 ",,,,,
,,,,,,,,,,,,,,,"-$4,458,860.16",,,,
,,ec2_cost (Sum),saving_opportunity (Sum),,,,,,,,,,,,,,," $ 538,517.20 ","$107,703.44"
,,"$97,235.32","$46,761.69",,,,,,,,,,,,,,,,
