report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-04-30,test,test1-uswest2,apiq,sam-processing1,Karpenter_Enabled,3.4992443299318
2025-04-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,4.45110606447815
2025-04-30,esvc,aws-esvc1-useast2,monitoring,sam-processing2,Karpenter_Disabled,4.9293543814947
2025-04-30,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,6.19595180891387
2025-04-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,6.64467120076073
2025-04-30,dev,dev1-uswest2,core002,sam-processing-sc1,Karpenter_Enabled,10.1483999857334
2025-04-30,test,perf1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,12.1587165110555
2025-04-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.718098258387
2025-04-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,12.970250109680201
2025-04-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,13.0901057968521
2025-04-30,prod,aws-prod5-uswest2,tableau,sam-processing8,Karpenter_Disabled,15.5151227744
2025-04-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,15.5293282668532
2025-04-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,16.5847680828077
2025-04-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,16.8630187862605
2025-04-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,17.404295167068202
2025-04-30,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,17.889308070646102
2025-04-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring1,Karpenter_Disabled,18.3180350640087
2025-04-30,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,18.6828633840078
2025-04-30,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Disabled,19.9987811825753
2025-04-30,dev,dev1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,20.6856928608689
2025-04-30,prod,aws-prod4-apsoutheast2,diffeo,sam-processing1,Karpenter_Disabled,20.8122694799504
2025-04-30,esvc,aws-esvc3-uswest2,netsec,sam-processing1,Karpenter_Disabled,21.2015282216052
2025-04-30,esvc,aws-esvc2-uswest2,netsec,sam-processing1,Karpenter_Disabled,22.0397072776061
2025-04-30,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,22.5584263726701
2025-04-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,22.7032866677062
2025-04-30,dev,dev1-uswest2,core002,sam-restricted9,Karpenter_Disabled,24.1299090841344
2025-04-30,esvc,aws-esvc1-useast2,controltelemetry,sam-processing2,Karpenter_Disabled,25.487522465469002
2025-04-30,prod,aws-prod16-eunorth1,ecom1,sam-restricted1,Karpenter_Disabled,25.8189841234019
2025-04-30,prod,aws-prod4-apsoutheast2,ecom1,sam-restricted1,Karpenter_Disabled,25.825172486056
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-stampy-webhook,Karpenter_Disabled,26.1321261410547
2025-04-30,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,26.1398847533905
2025-04-30,prod,aws-prod1-useast1,ecom1,sam-restricted1,Karpenter_Disabled,26.2057921691429
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-moncloud,Karpenter_Disabled,26.3477948640496
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-mars,Karpenter_Disabled,26.3943797604512
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-madkub,Karpenter_Disabled,26.394594162451302
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-pingmesh-agent,Karpenter_Disabled,26.394946653875202
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-kaas-webhook,Karpenter_Disabled,26.3956589045875
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-cipherforce,Karpenter_Disabled,26.395935083435102
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-external-dns,Karpenter_Disabled,26.3964220303506
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-vault-webhook,Karpenter_Disabled,26.4298215012501
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-stride,Karpenter_Disabled,26.456505465434002
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-knative,Karpenter_Disabled,26.5023329844758
2025-04-30,dev,fdev1-uswest2,foundation,sam-test-seccomp,Karpenter_Disabled,26.5234897377754
