report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-08-31,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,5.36921873609518
2025-08-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,8.4983439554859
2025-08-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,11.8910453702336
2025-08-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.1296467282765
2025-08-31,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,12.4686617606885
2025-08-31,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,12.5145695820284
2025-08-31,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,12.951569901687801
2025-08-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,13.0187934647604
2025-08-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,13.391657929636201
2025-08-31,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,13.6451705643575
2025-08-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,14.1599488518524
2025-08-31,esvc,aws-esvc1-useast2,security-preprod,sam-mgmt-truth1,Karpenter_Disabled,15.0012523655794
2025-08-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.8892306457684
2025-08-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,17.0984176794847
2025-08-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.1298676141773
2025-08-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,17.3883605435539
2025-08-31,esvc,aws-esvc2-uswest2,devx-s,sam-processing1,Karpenter_Disabled,17.9248988652337
2025-08-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,18.6324231808019
2025-08-31,stage,aws-stage1-useast2,tableau,sam-processing2,Karpenter_Disabled,19.3015124883415
2025-08-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,21.5552340347061
2025-08-31,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,21.5973922237126
2025-08-31,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,22.1737252217006
2025-08-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,22.2617012880069
