report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-12-31,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,6.9442318752037
2025-12-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.4260369827802
2025-12-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,12.4268859561159
2025-12-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,12.426997376296901
2025-12-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring9,Karpenter_Disabled,13.312986865508801
2025-12-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,13.4994899311543
2025-12-31,prod,aws-prod19-eusouth1,crypto,sam-mgmt-truth2,Karpenter_Disabled,13.7106176454639
2025-12-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,14.2020714829609
2025-12-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,15.0298487639556
2025-12-31,prod,aws-prod9-apnortheast1,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.155066608824601
2025-12-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,15.455186112462801
2025-12-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.389853252573
2025-12-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.4801289733124
2025-12-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,17.4566402674024
2025-12-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,18.1621772867174
2025-12-31,prod,aws-prod27-useast1,einstein,sam-restricted1,Karpenter_Disabled,18.587731617567
2025-12-31,prod,aws-prod24-apsouth2,einstein,sam-restricted1,Karpenter_Disabled,18.5929747985157
2025-12-31,prod,aws-prod3-eucentral1,einstein2,sam-restricted1,Karpenter_Disabled,18.601800916983102
2025-12-31,prod,aws-prod2-apsouth1,einstein2,sam-restricted1,Karpenter_Disabled,18.740009378236902
2025-12-31,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,19.6389538732275
2025-12-31,prod,aws-prod19-eusouth1,crypto,sam-hub1,Karpenter_Disabled,19.8347093433112
2025-12-31,prod,aws-prod27-useast1,einstein,sam-processing1,Karpenter_Disabled,20.3426331786289
2025-12-31,prod,aws-prod14-apnortheast2,crypto,sam-hub1,Karpenter_Disabled,21.850166941675
2025-12-31,prod,aws-prod24-apsouth2,crypto,sam-hub1,Karpenter_Disabled,21.8566233431717
2025-12-31,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,21.981731070152
2025-12-31,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,22.0128992274876
2025-12-31,prod,aws-prod20-ilcentral1,crypto,sam-hub1,Karpenter_Disabled,22.105104018995
2025-12-31,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,22.1061701359877
2025-12-31,prod,aws-prod18-mecentral1,crypto,sam-hub1,Karpenter_Disabled,22.1136350871893
2025-12-31,prod,aws-prod2-apsouth1,crypto,sam-hub1,Karpenter_Disabled,22.122577699536002
2025-12-31,prod,aws-prod9-apnortheast1,crypto,sam-hub1,Karpenter_Disabled,22.2758827379985
2025-12-31,prod,aws-prod8-cacentral1,crypto,sam-mgmt-truth2,Karpenter_Disabled,22.3088514593518
2025-12-31,stage,aws-stage1-useast2,einstein,sam-processing1,Karpenter_Disabled,22.4752956202881
2025-12-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,23.1177015815734
2025-12-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,23.2397609596716
2025-12-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,23.5443268027416
2025-12-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,23.824362980867
2025-12-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,23.8465768596342
2025-12-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,23.910798138440402
2025-12-31,prod,aws-prod5-uswest2,einstein2,sam-restricted1,Karpenter_Disabled,24.0473799259073
2025-12-31,prod,aws-prod21-useast2,einstein2,sam-restricted1,Karpenter_Disabled,24.112159917312702
2025-12-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,24.7014180800413
2025-12-31,prod,aws-prod21-useast2,edge,sam-processing1,Karpenter_Disabled,25.0109309678798
2025-12-31,stage,aws-stage1-useast2,tableau,sam-processing2,Karpenter_Disabled,25.187088360481802
2025-12-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,25.5458369018349
2025-12-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,25.6382760407519
2025-12-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,25.6396252097323
2025-12-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring9,Karpenter_Disabled,25.6400339308603
2025-12-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,25.6402129896401
2025-12-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring12,Karpenter_Disabled,25.6408996411351
2025-12-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,25.6812073295143
2025-12-31,esvc,aws-esvc1-useast2,security-preprod,sam-mgmt-truth1,Karpenter_Disabled,26.0834919024303
2025-12-31,prod,aws-prod10-apsoutheast1,crypto,sam-mgmt-truth2,Karpenter_Disabled,26.4678262851153
2025-12-31,prod,aws-prod12-euwest3,crypto,sam-mgmt-truth2,Karpenter_Disabled,26.4705166541429
2025-12-31,prod,aws-prod15-eucentral2,crypto,sam-mgmt-truth2,Karpenter_Disabled,26.4713300590559
2025-12-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring11,Karpenter_Disabled,26.475089744285302
2025-12-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,26.475352938213
2025-12-31,prod,aws-prod13-euwest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,26.4768518241851
2025-12-31,prod,aws-prod21-useast2,crypto,sam-mgmt-truth2,Karpenter_Disabled,26.599990326493902
2025-12-31,prod,aws-prod1-useast1,crypto,sam-mgmt-truth2,Karpenter_Disabled,26.6136467458203
2025-12-31,prod,aws-prod16-eunorth1,crypto,sam-mgmt-truth2,Karpenter_Disabled,26.615594844304102
2025-12-31,prod,aws-prod11-saeast1,crypto,sam-mgmt-truth2,Karpenter_Disabled,26.6166987509717
2025-12-31,esvc,aws-esvc3-uswest2,foundation,sam-processing1,Karpenter_Enabled,26.6474229276603
2025-12-31,prod,aws-prod0-uswest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,27.105540578576402
2025-12-31,dev,fdev1-uswest2,foundation,sam-processing4,Karpenter_Disabled,27.383735652221702
2025-12-31,esvc,aws-esvc2-uswest2,devx-s,sam-processing1,Karpenter_Enabled,27.443735017620902
2025-12-31,esvc,aws-esvc2-uswest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,27.6081651005395
2025-12-31,esvc,aws-esvc1-useast2,crypto,sam-mgmt-truth2,Karpenter_Disabled,27.6092673933085
2025-12-31,test,test1-uswest2,core4,sam-bigdata5,Karpenter_Disabled,27.6816094864433
2025-12-31,prod,aws-prod5-uswest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,27.7603776910147
2025-12-31,prod,aws-prod3-eucentral1,crypto,sam-mgmt-truth2,Karpenter_Disabled,27.7628363041981
2025-12-31,prod,aws-prod2-apsouth1,crypto,sam-mgmt-truth2,Karpenter_Disabled,27.7641338787021
2025-12-31,prod,aws-prod4-apsoutheast2,crypto,sam-mgmt-truth2,Karpenter_Disabled,27.7649650365
2025-12-31,prod,aws-prod22-apnortheast3,crypto,sam-mgmt-truth2,Karpenter_Disabled,27.847708005712
2025-12-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,27.8779466098171
2025-12-31,prod,aws-prod24-apsouth2,crypto,sam-mgmt-truth2,Karpenter_Disabled,28.498322190977202
2025-12-31,prod,aws-prod1-useast1,edge,sam-processing1,Karpenter_Disabled,28.7944893401664
2025-12-31,test,test1-uswest2,core4,sam-bigdata4,Karpenter_Disabled,29.11961395751
2025-12-31,test,perf1-useast2,core1,sam-bigdata6,Karpenter_Disabled,30.6072688334593
2025-12-31,prod,aws-prod4-apsoutheast2,diffeo,sam-processing1,Karpenter_Disabled,30.6863092612884
2025-12-31,prod,aws-prod3-eucentral1,edge,sam-processing1,Karpenter_Disabled,30.688647039780502
2025-12-31,prod,aws-prod12-euwest3,foundation,sam-log-mon2,Karpenter_Disabled,30.820159078760902
2025-12-31,prod,aws-prod10-apsoutheast1,foundation,sam-log-mon2,Karpenter_Disabled,30.8231512468336
2025-12-31,prod,aws-prod11-saeast1,foundation,sam-log-mon2,Karpenter_Disabled,30.8656080782729
2025-12-31,prod,aws-prod0-uswest2,core1,sam-restricted4,Karpenter_Disabled,31.4356439425896
2025-12-31,prod,aws-prod8-cacentral1,crypto,sam-hub1,Karpenter_Disabled,31.531234748658
2025-12-31,prod,aws-prod8-cacentral1,foundation,sam-log-mon2,Karpenter_Disabled,31.5731129974359
2025-12-31,prod,aws-prod22-apnortheast3,crypto,sam-hub1,Karpenter_Disabled,31.614899253991602
2025-12-31,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,31.826926642931202
2025-12-31,prod,aws-prod27-useast1,core1,sam-processing-sc3,Karpenter_Disabled,32.3661581544602
2025-12-31,prod,aws-prod24-apsouth2,core1,sam-restricted3,Karpenter_Disabled,32.5148376703336
2025-12-31,prod,aws-prod5-uswest2,monitoring-regional,sam-processing1,Karpenter_Disabled,32.537599844777404
2025-12-31,prod,aws-prod12-euwest3,edge,sam-processing1,Karpenter_Disabled,32.7317719922858
2025-12-31,prod,aws-prod2-apsouth1,core1,sam-restricted9,Karpenter_Disabled,32.7995623325053
2025-12-31,prod,aws-prod12-euwest3,core1,sam-restricted4,Karpenter_Disabled,33.1503557625069
2025-12-31,esvc,aws-esvc1-useast2,monitoring-s,sam-logging-monitoring2,Karpenter_Disabled,33.1915295649527
2025-12-31,prod,aws-prod1-useast1,einstein2,sam-restricted1,Karpenter_Disabled,33.354144649607704
