report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-07-31,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,5.40603294430869
2025-07-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,7.52226684308561
2025-07-31,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,10.2201345082231
2025-07-31,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,10.2383587965002
2025-07-31,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,10.3970714206905
2025-07-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.197335141686201
2025-07-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.254439492676301
2025-07-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.3854484701499
2025-07-31,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,12.785890592389501
2025-07-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.8026708880639
2025-07-31,prod,aws-prod0-uswest2,core1,sam-processing-sc1,Karpenter_Enabled,12.9569202078717
2025-07-31,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,13.3796825789003
2025-07-31,test,perf2-uswest2,foundation,sam-processing5,Karpenter_Disabled,13.518806135949001
2025-07-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,15.1557432051813
2025-07-31,dev,aws-dev4-uswest2,tableau,sam-processing1,Karpenter_Disabled,17.2514672509507
2025-07-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.3094615461248
2025-07-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.3978575856192
2025-07-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,17.417669799207502
2025-07-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.5172704832747
2025-07-31,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,17.581500784459
2025-07-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,17.718908599421802
2025-07-31,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,18.522576726710902
2025-07-31,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,19.5345508084127
2025-07-31,dev,dev1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,19.6023646508681
2025-07-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,20.0750698372144
2025-07-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,20.8733245035921
2025-07-31,dev,dev1-uswest2,core002,sam-restricted9,Karpenter_Disabled,20.9571107198748
2025-07-31,stage,aws-stage1-useast2,tableau,sam-processing2,Karpenter_Disabled,21.4887735382038
2025-07-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,21.5583897076395
2025-07-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,22.7048652678017
2025-07-31,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,23.645212888357502
2025-07-31,test,test1-uswest2,core4,sam-bigdata3,Karpenter_Disabled,24.015707045417702
2025-07-31,prod,aws-prod3-eucentral1,einstein2,sam-restricted1,Karpenter_Disabled,24.1945700319451
2025-07-31,prod,aws-prod2-apsouth1,einstein2,sam-restricted1,Karpenter_Disabled,24.199226101048502
2025-07-31,prod,aws-prod24-apsouth2,einstein,sam-restricted1,Karpenter_Disabled,24.3046146213401
2025-07-31,esvc,aws-esvc1-useast2,devx-prod,sam-processing2,Karpenter_Disabled,25.06494294917
2025-07-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,25.2729891069525
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-stampy-webhook,Karpenter_Disabled,25.517809174952
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-vault-webhook,Karpenter_Disabled,25.521785423571203
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-cipherforce,Karpenter_Disabled,25.5261497761498
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-pingmesh-agent,Karpenter_Disabled,25.5287240537241
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-hypercomputeapi,Karpenter_Disabled,25.5329510436654
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-mars,Karpenter_Disabled,25.545558608058602
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-fkp,Karpenter_Disabled,25.5467396360254
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-knative,Karpenter_Disabled,25.5942787371359
2025-07-31,test,perf2-uswest2,foundation,sam-processing4,Karpenter_Disabled,25.6240610927133
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-seccomp,Karpenter_Disabled,25.6848072562358
2025-07-31,test,perf2-uswest2,foundation,sam-processing3,Karpenter_Disabled,25.722921368252802
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-external-dns,Karpenter_Disabled,25.7259906099192
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-stride,Karpenter_Disabled,25.782552764695602
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-kaas-webhook,Karpenter_Disabled,25.8213958660387
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-netsec-fps,Karpenter_Disabled,26.061757951043703
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-madkub,Karpenter_Disabled,26.431567969068002
2025-07-31,prod,aws-prod4-apsoutheast2,ecom1,sam-restricted1,Karpenter_Disabled,26.7618989407242
2025-07-31,prod,aws-prod16-eunorth1,ecom1,sam-restricted1,Karpenter_Disabled,26.7882263489914
2025-07-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,26.8273552511511
2025-07-31,prod,aws-prod1-useast1,ecom1,sam-restricted1,Karpenter_Disabled,27.128207918238402
2025-07-31,test,perf2-uswest2,cdp1,sam-restricted1,Karpenter_Disabled,27.266403959378803
2025-07-31,stage,aws-stage1-useast2,einstein,sam-processing1,Karpenter_Disabled,27.4400175536609
2025-07-31,prod,aws-prod1-useast1,foundation,sam-logging-monitoring2,Karpenter_Disabled,27.6400966307599
2025-07-31,dev,dev1-uswest2,core002,sam-restricted12,Karpenter_Disabled,27.8196749944108
2025-07-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon6,Karpenter_Disabled,27.9790277099941
2025-07-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,27.979753964380702
2025-07-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,27.980765878826002
2025-07-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,27.9904522043295
2025-07-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,28.156749420933203
2025-07-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,28.1568075212841
2025-07-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,28.167662603515502
2025-07-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,28.2037550256804
2025-07-31,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,28.2414934071763
2025-07-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,28.314934888873502
2025-07-31,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring3,Karpenter_Disabled,28.3485338376445
2025-07-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,28.354382606304302
2025-07-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,28.3945753570814
2025-07-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon6,Karpenter_Disabled,28.3973269965218
2025-07-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,28.4907659175595
2025-07-31,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,28.4909228082508
2025-07-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,28.6199351019081
2025-07-31,prod,aws-prod3-eucentral1,core1,sam-hs-restricted1,Karpenter_Disabled,28.6366034038681
2025-07-31,prod,aws-prod21-useast2,edge,sam-processing1,Karpenter_Disabled,28.7733804626451
2025-07-31,test,test1-uswest2,apiq,sam-processing1,Karpenter_Enabled,28.870367124877
2025-07-31,prod,aws-prod0-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,28.9613690766693
2025-07-31,prod,aws-prod21-useast2,einstein2,sam-restricted1,Karpenter_Disabled,29.5938535222045
2025-07-31,dev,fdev1-uswest2,foundation,sam-test-moncloud,Karpenter_Disabled,29.8029492993778
2025-07-31,prod,aws-prod5-uswest2,einstein2,sam-restricted1,Karpenter_Disabled,29.8129310023049
2025-07-31,prod,aws-prod12-euwest3,core1,sam-restricted4,Karpenter_Disabled,30.7371581140834
