report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-06-30,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,4.81051019317989
2025-06-30,prod,aws-prod0-uswest2,core1,sam-processing-sc1,Karpenter_Disabled,6.96236884061082
2025-06-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,7.40763985464404
2025-06-30,dev,aws-dev4-uswest2,tableau,sam-processing1,Karpenter_Disabled,9.84530201062692
2025-06-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,11.8825405338549
2025-06-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,15.381141360625401
2025-06-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.1811653319197
2025-06-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.2871098424332
2025-06-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.3263599106412
2025-06-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,16.397980390131
2025-06-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,16.4352709703129
2025-06-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring2,Karpenter_Disabled,16.541117117808
2025-06-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,16.6553808733761
2025-06-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,16.7824267298685
2025-06-30,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,16.804100063343
2025-06-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,17.5894063657828
2025-06-30,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,17.921186843281802
2025-06-30,dev,dev1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,18.392330836873
2025-06-30,dev,dev1-uswest2,core002,sam-restricted9,Karpenter_Disabled,18.874219856174
2025-06-30,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,19.603736293916
2025-06-30,dev,dev1-uswest2,core002,sam-bigdata6,Karpenter_Disabled,20.118048287691202
2025-06-30,test,test1-uswest2,apiq,sam-processing1,Karpenter_Enabled,20.2362343428941
2025-06-30,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,21.5155797185899
2025-06-30,test,perf2-uswest2,foundation,sam-processing5,Karpenter_Disabled,22.1219509512342
2025-06-30,test,test1-uswest2,core3,sam-highscale-processing1,Karpenter_Enabled,22.1404948836633
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-seccomp,Karpenter_Disabled,22.4818666782952
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-pingmesh-agent,Karpenter_Disabled,22.800573434502002
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-stampy-webhook,Karpenter_Disabled,22.8026447758591
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-vault-webhook,Karpenter_Disabled,22.8027537938252
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-hypercomputeapi,Karpenter_Disabled,22.8029681958253
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-kaas-webhook,Karpenter_Disabled,22.80482150125
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-external-dns,Karpenter_Disabled,22.8071690214548
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-mars,Karpenter_Disabled,22.9520546252689
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-knative,Karpenter_Disabled,22.9829677597535
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-cipherforce,Karpenter_Disabled,22.985987557416102
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-madkub,Karpenter_Disabled,22.9880516309088
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-fkp,Karpenter_Disabled,23.0106583231583
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-stride,Karpenter_Disabled,23.0341131751846
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-netsec-fps,Karpenter_Disabled,23.336382202453702
2025-06-30,dev,fdev1-uswest2,foundation,sam-test-moncloud,Karpenter_Disabled,23.3670729866062
2025-06-30,test,perf2-uswest2,foundation,sam-processing3,Karpenter_Disabled,23.4482699296789
2025-06-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,24.0630174319855
2025-06-30,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,24.5452915213067
2025-06-30,test,perf2-uswest2,foundation,sam-processing4,Karpenter_Disabled,25.1026936644936
2025-06-30,prod,aws-prod1-useast1,ecom1,sam-restricted1,Karpenter_Disabled,25.255167652797002
2025-06-30,prod,aws-prod16-eunorth1,ecom1,sam-restricted1,Karpenter_Disabled,25.3579152830168
2025-06-30,prod,aws-prod4-apsoutheast2,ecom1,sam-restricted1,Karpenter_Disabled,25.3589720511691
2025-06-30,prod,aws-prod1-useast1,foundation,sam-logging-monitoring2,Karpenter_Disabled,25.6933003801814
2025-06-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,26.007509703896602
2025-06-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,26.1153563683314
2025-06-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,26.1212799413207
2025-06-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,26.1552771606257
2025-06-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,26.2034664572857
2025-06-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,26.299318470928903
2025-06-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,26.3107582473456
2025-06-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,26.338209464976998
2025-06-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,26.3455242394664
2025-06-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,26.3709461466515
2025-06-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon6,Karpenter_Disabled,26.439449103909602
2025-06-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,26.5059801911027
2025-06-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,26.5294380578793
2025-06-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,26.5799422095177
2025-06-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,26.6083357748239
2025-06-30,stage,aws-stage1-useast2,einstein,sam-processing1,Karpenter_Disabled,26.6128584741679
2025-06-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring3,Karpenter_Disabled,26.628780396167002
2025-06-30,dev,dev1-uswest2,core002,sam-highscale-processing1,Karpenter_Enabled,26.679409568066802
2025-06-30,esvc,aws-esvc1-useast2,controltelemetry,sam-processing2,Karpenter_Disabled,26.7390693873125
2025-06-30,prod,aws-prod0-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,27.2252894365816
2025-06-30,test,test1-uswest2,core4,sam-bigdata3,Karpenter_Disabled,27.3910595577262
