report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-05-31,test,aws-test2-useast2,crypto,sam-mgmt-truth1,Karpenter_Enabled,0.0
2025-05-31,dev,aws-dev4-uswest2,tableau,sam-processing1,Karpenter_Disabled,2.20486028134064
2025-05-31,dev,dev1-uswest2,core002,sam-processing00002,Karpenter_Enabled,3.92339018230928
2025-05-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,4.39592249912016
2025-05-31,stage,aws-stage1-useast2,core1,sam-processing-sc1,Karpenter_Enabled,6.44692300595735
2025-05-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,6.74001908012433
2025-05-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,10.5981685990701
2025-05-31,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,12.7832550069219
2025-05-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,12.9061188913465
2025-05-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,15.5166058958673
2025-05-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.3429979965023
2025-05-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.5135360629608
2025-05-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,16.538678023510702
2025-05-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,16.5632855437857
2025-05-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,16.8958433621589
2025-05-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,17.4954919617251
2025-05-31,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,18.4580399061032
2025-05-31,dev,dev1-uswest2,core002,sam-highscale-restricted1,Karpenter_Disabled,18.921706162903302
2025-05-31,test,test1-uswest2,core4,sam-bigdata2,Karpenter_Disabled,19.0589959715326
2025-05-31,test,test1-uswest2,core4,sam-bigdata1,Karpenter_Disabled,19.206545870918102
2025-05-31,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,19.2553142931664
2025-05-31,dev,dev1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,20.660069211565702
2025-05-31,esvc,aws-esvc3-uswest2,netsec,sam-processing1,Karpenter_Disabled,20.8339681521063
2025-05-31,prod,aws-prod4-apsoutheast2,diffeo,sam-processing1,Karpenter_Disabled,20.9560097985555
2025-05-31,dev,dev1-uswest2,core002,sam-restricted9,Karpenter_Disabled,21.3064172069453
2025-05-31,esvc,aws-esvc2-uswest2,netsec,sam-processing1,Karpenter_Disabled,21.6201611893995
2025-05-31,prod,aws-prod17-apsoutheast3,bigdata,sam-processing1,Karpenter_Disabled,22.7152206993138
2025-05-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,22.9380733176299
2025-05-31,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,23.090996453239402
2025-05-31,test,perf2-uswest2,foundation,sam-processing5,Karpenter_Disabled,23.643740188383
2025-05-31,test,perf2-uswest2,foundation,sam-processing3,Karpenter_Disabled,23.7986292807721
2025-05-31,test,perf2-uswest2,foundation,sam-processing4,Karpenter_Disabled,23.799494156637
2025-05-31,test,test1-uswest2,tableau,sam-processing2,Karpenter_Disabled,25.2025553811268
2025-05-31,prod,aws-prod4-apsoutheast2,ecom1,sam-restricted1,Karpenter_Disabled,25.3739347239686
2025-05-31,esvc,aws-esvc1-useast2,controltelemetry,sam-processing2,Karpenter_Disabled,25.5266699977535
2025-05-31,prod,aws-prod16-eunorth1,ecom1,sam-restricted1,Karpenter_Disabled,25.5459215018287
2025-05-31,prod,aws-prod1-useast1,ecom1,sam-restricted1,Karpenter_Disabled,25.7364836666631
2025-05-31,prod,aws-prod1-useast1,foundation,sam-logging-monitoring2,Karpenter_Disabled,26.0148533547143
2025-05-31,dev,fdev1-uswest2,foundation,sam-test-seccomp,Karpenter_Disabled,26.3922459154603
2025-05-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,26.468256389102002
2025-05-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,26.508277847498302
2025-05-31,dev,fdev1-uswest2,foundation,sam-test-vault-webhook,Karpenter_Disabled,26.525597418454502
