report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-11-30,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,6.15398067668308
2025-11-30,esvc,aws-esvc1-useast2,crypto,sam-mgmt-truth2,Karpenter_Disabled,13.103154268051801
2025-11-30,prod,aws-prod19-eusouth1,crypto,sam-mgmt-truth2,Karpenter_Disabled,13.106612852830601
2025-11-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,13.3192291179592
2025-11-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,13.4894020876764
2025-11-30,prod,aws-prod27-useast1,core1,sam-processing-sc1,Karpenter_Disabled,13.6441968359814
2025-11-30,esvc,aws-esvc3-uswest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,14.983422033202501
2025-11-30,esvc,aws-esvc2-uswest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,14.9861269273178
2025-11-30,prod,aws-prod5-uswest2,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.0486090130429
2025-11-30,prod,aws-prod20-ilcentral1,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.0997357079593
2025-11-30,prod,aws-prod2-apsouth1,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.100324780961701
2025-11-30,prod,aws-prod14-apnortheast2,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.1041868403997
2025-11-30,prod,aws-prod9-apnortheast1,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.1059217814343
2025-11-30,prod,aws-prod24-apsouth2,crypto,sam-mgmt-truth2,Karpenter_Disabled,15.8496175705791
2025-11-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.2893414216773
2025-11-30,dev,aws-dev4-uswest2,fire48,sam-processing1,Karpenter_Disabled,16.6308079352184
2025-11-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.890654700013602
2025-11-30,prod,aws-prod24-apsouth2,einstein,sam-restricted1,Karpenter_Disabled,18.5068248835885
2025-11-30,prod,aws-prod3-eucentral1,einstein2,sam-restricted1,Karpenter_Disabled,18.5216640382719
2025-11-30,prod,aws-prod2-apsouth1,einstein2,sam-restricted1,Karpenter_Disabled,18.6236873578878
2025-11-30,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,18.811155254293702
2025-11-30,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,18.8197826950703
2025-11-30,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,18.856204471050802
2025-11-30,esvc,aws-esvc1-useast2,crypto,sam-hub1,Karpenter_Disabled,18.9872406787671
2025-11-30,prod,aws-prod19-eusouth1,crypto,sam-hub1,Karpenter_Disabled,19.0236913864294
2025-11-30,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,19.055884449487902
