report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-10-31,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,6.63553846567602
2025-10-31,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,13.510381164976
2025-10-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,14.3413297001917
2025-10-31,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.1790976721559
2025-10-31,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.2864047290754
2025-10-31,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.380775580943702
2025-10-31,prod,aws-prod24-apsouth2,einstein,sam-restricted1,Karpenter_Disabled,18.4191916364168
2025-10-31,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,18.5220094004014
2025-10-31,dev,,,sam-v2-test2,Karpenter_Disabled,18.6360550432488
2025-10-31,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,18.7030692878426
2025-10-31,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,18.7126782975078
2025-10-31,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,18.7328929580734
2025-10-31,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,19.8714749806274
2025-10-31,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Enabled,20.3912277517807
2025-10-31,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,20.5646589364904
2025-10-31,prod,aws-prod20-ilcentral1,foundation,sam-log-mon2,Karpenter_Disabled,21.365779474308102
2025-10-31,prod,aws-prod22-apnortheast3,crypto,sam-mgmt-truth2,Karpenter_Disabled,21.4167447793608
2025-10-31,prod,aws-prod0-uswest2,core1,sam-hs-processing1,Karpenter_Disabled,21.577347060509602
2025-10-31,esvc,aws-esvc2-uswest2,devx-prod,sam-processing1,Karpenter_Disabled,22.2452539281804
2025-10-31,stage,aws-stage1-useast2,einstein,sam-processing1,Karpenter_Disabled,22.3379683839831
2025-10-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,23.2872190897662
2025-10-31,stage,aws-stage1-useast2,tableau,sam-processing2,Karpenter_Disabled,23.4845609797474
2025-10-31,prod,aws-prod21-useast2,einstein2,sam-restricted1,Karpenter_Disabled,23.7433100587585
2025-10-31,prod,aws-prod2-apsouth1,einstein2,sam-restricted1,Karpenter_Disabled,24.9792452447289
2025-10-31,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,25.02966099161
2025-10-31,prod,aws-prod3-eucentral1,einstein2,sam-restricted1,Karpenter_Disabled,25.0521490250477
2025-10-31,prod,aws-prod21-useast2,edge,sam-processing1,Karpenter_Disabled,25.0775598890974
2025-10-31,esvc,aws-esvc1-useast2,security-preprod,sam-mgmt-truth1,Karpenter_Disabled,25.4534980304453
