report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,5.71936758434121
2025-09-30,test,perf1-useast2,core1,sam-processing2,Karpenter_Enabled,7.84028143882243
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring9,Karpenter_Disabled,12.1344866071429
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,12.134885434751201
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,12.1352963725095
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,12.1513197157118
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.1937081767097
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,12.2260617149685
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,12.227452523900501
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring9,Karpenter_Disabled,12.2277563962555
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,12.2309193270074
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,12.2316578195003
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring11,Karpenter_Disabled,12.2358266033193
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,12.259624016978801
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,12.2604475071821
2025-09-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,12.2612370889654
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring12,Karpenter_Disabled,12.326567139793701
2025-09-30,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,12.4814012509584
2025-09-30,prod,aws-prod1-useast1,core1,sam-highscale-processing1,Karpenter_Disabled,12.6030569555205
2025-09-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.8735975340891
2025-09-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,13.0840719825873
2025-09-30,prod,aws-prod21-useast2,core1,sam-highscale-processing1,Karpenter_Disabled,13.1066990049023
2025-09-30,prod,aws-prod3-eucentral1,core1,sam-hs-processing1,Karpenter_Disabled,13.3590414015591
2025-09-30,test,perf1-useast2,core1,sam-processing3,Karpenter_Enabled,13.3709054465613
2025-09-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,14.164382709949601
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,17.2119935910209
2025-09-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon4,Karpenter_Disabled,18.7432420690266
2025-09-30,test,test1-uswest2,core4,sam-bigdata5,Karpenter_Disabled,19.0710211601364
2025-09-30,test,test1-uswest2,core4,sam-bigdata4,Karpenter_Disabled,19.0734549448756
2025-09-30,stage,aws-stage1-useast2,tableau,sam-processing2,Karpenter_Disabled,19.6578167134575
2025-09-30,prod,aws-prod22-apnortheast3,crypto,sam-mgmt-truth2,Karpenter_Disabled,20.0718874449702
2025-09-30,prod,aws-prod8-cacentral1,crypto,sam-mgmt-truth2,Karpenter_Disabled,20.6767509509091
2025-09-30,stage,aws-stage1-useast2,einstein,sam-processing1,Karpenter_Disabled,22.119571256881102
2025-09-30,prod,aws-prod0-uswest2,monitoring-regional,sam-log-mon1,Karpenter_Disabled,22.3449183636301
2025-09-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,22.6690344947519
2025-09-30,test,perf1-useast2,cdp1,sam-restricted1,Karpenter_Disabled,22.7744812391527
2025-09-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,22.9841050573186
2025-09-30,test,test1-uswest2,cdp001,sam-restricted1,Karpenter_Disabled,23.4497246480683
2025-09-30,prod,aws-prod2-apsouth1,einstein2,sam-restricted1,Karpenter_Disabled,23.6889449804735
2025-09-30,prod,aws-prod24-apsouth2,einstein,sam-restricted1,Karpenter_Disabled,23.9081294383322
2025-09-30,prod,aws-prod3-eucentral1,einstein2,sam-restricted1,Karpenter_Disabled,23.9989229802574
2025-09-30,stage,aws-stage1-useast2,core1,sam-processing2,Karpenter_Enabled,24.0990267663991
2025-09-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,24.5030591497617
2025-09-30,prod,aws-prod1-useast1,ecom1,sam-restricted1,Karpenter_Disabled,25.202062578586002
2025-09-30,test,test1-uswest2,core4,sam-bigdata6,Karpenter_Disabled,25.996878452235602
2025-09-30,prod,aws-prod4-apsoutheast2,ecom1,sam-restricted1,Karpenter_Disabled,26.144890078200802
2025-09-30,test,perf1-useast2,core1,sam-bigdata1,Karpenter_Disabled,26.2802427009728
2025-09-30,esvc,aws-esvc1-useast2,security-preprod,sam-mgmt-truth1,Karpenter_Disabled,26.893830905145702
2025-09-30,stage,aws-stage1-useast2,monitoring-regional,sam-log-mon2,Karpenter_Enabled,27.057929435517302
2025-09-30,prod,aws-prod1-useast1,foundation,sam-logging-monitoring2,Karpenter_Disabled,27.1059798817852
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,27.713354171992602
2025-09-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon6,Karpenter_Disabled,27.821755385902602
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,27.922551748046
2025-09-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon6,Karpenter_Disabled,27.929608035666
2025-09-30,dev,aws-dev2-uswest2,apiq,sam-restricted2,Karpenter_Disabled,28.2824669022712
2025-09-30,prod,aws-prod21-useast2,einstein2,sam-restricted1,Karpenter_Disabled,28.6642543939005
2025-09-30,prod,aws-prod16-eunorth1,ecom1,sam-restricted1,Karpenter_Disabled,28.714361701842
2025-09-30,test,test1-uswest2,core4,sam-bigdata3,Karpenter_Disabled,28.878077984658002
2025-09-30,prod,aws-prod21-useast2,edge,sam-processing1,Karpenter_Disabled,29.003776737874002
2025-09-30,esvc,aws-esvc1-useast2,devx-prod,sam-processing2,Karpenter_Disabled,29.0372180078737
2025-09-30,esvc,aws-esvc2-uswest2,devx-preprod,sam-processing2,Karpenter_Disabled,29.069229957315702
2025-09-30,prod,aws-prod18-mecentral1,gid,sam-restricted1,Karpenter_Disabled,29.093102617561
2025-09-30,prod,aws-prod5-uswest2,einstein2,sam-restricted1,Karpenter_Disabled,29.299937944999602
2025-09-30,prod,aws-prod3-eucentral1,foundation,sam-log-mon2,Karpenter_Disabled,29.4298322061866
2025-09-30,prod,aws-prod22-apnortheast3,crypto,sam-hub1,Karpenter_Disabled,29.4663807161062
2025-09-30,prod,aws-prod24-apsouth2,foundation,sam-log-mon2,Karpenter_Disabled,29.5340811816837
2025-09-30,prod,aws-prod2-apsouth1,core1,sam-restricted9,Karpenter_Disabled,29.542713035989
2025-09-30,prod,aws-prod10-apsoutheast1,foundation,sam-log-mon2,Karpenter_Disabled,29.5655633410026
2025-09-30,prod,aws-prod15-eucentral2,foundation,sam-log-mon2,Karpenter_Disabled,29.5890126426364
2025-09-30,prod,aws-prod11-saeast1,foundation,sam-log-mon2,Karpenter_Disabled,29.6526920565551
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon4,Karpenter_Disabled,29.6712657936121
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon5,Karpenter_Disabled,29.671631341653303
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,29.679939691835802
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon6,Karpenter_Disabled,29.712507359377902
2025-09-30,esvc,aws-esvc2-uswest2,monitoring-regional,sam-log-mon3,Karpenter_Disabled,30.0089062996274
