report_date,environment_type,falcon_instance,functional_domain,k8s_cluster,karpenter_status,cpu_packing_percent
2026-01-30,dev,fdev1-uswest2,foundation,sam-processing4,Karpenter_Disabled,5.99529251909312
2026-01-30,prod,aws-prod1-useast1,monitoring-regional,sam-processing1,Karpenter_Disabled,6.82292258270089
2026-01-30,stage,aws-stage1-useast2,core1,sam-processing3,Karpenter_Disabled,7.2900775157292
2026-01-30,prod,aws-prod0-uswest2,core1,sam-processing2,Karpenter_Disabled,8.83363447892808
2026-01-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon3,Karpenter_Disabled,12.6748309804297
2026-01-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon2,Karpenter_Disabled,12.676475033644
2026-01-30,prod,aws-prod3-eucentral1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,12.7611907038752
2026-01-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring9,Karpenter_Disabled,13.4289824323321
2026-01-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring11,Karpenter_Disabled,13.430183913403
2026-01-30,prod,aws-prod5-uswest2,monitoring-regional,sam-log-mon2,Karpenter_Disabled,13.4971348574129
2026-01-30,prod,aws-prod19-eusouth1,crypto,sam-mgmt-truth2,Karpenter_Disabled,14.0007272227258
2026-01-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring10,Karpenter_Disabled,14.3383900864562
2026-01-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,14.3586280120198
2026-01-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring4,Karpenter_Disabled,15.1983500628985
2026-01-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,15.205994400748201
2026-01-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,15.631085876951701
2026-01-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring9,Karpenter_Disabled,15.6352833648649
2026-01-30,prod,aws-prod9-apnortheast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.7606579285742
2026-01-30,prod,aws-prod1-useast1,monitoring-regional,sam-log-mon5,Karpenter_Disabled,16.9598392098873
2026-01-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring6,Karpenter_Disabled,17.674405722913402
2026-01-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring8,Karpenter_Disabled,17.677798189179
2026-01-30,esvc,aws-esvc1-useast2,monitoring,sam-logging-monitoring7,Karpenter_Disabled,18.3999349288441
2026-01-30,esvc,aws-esvc2-uswest2,monitoring,sam-logging-monitoring5,Karpenter_Disabled,18.427462543003802
2026-01-30,prod,aws-prod27-useast1,einstein,sam-restricted1,Karpenter_Disabled,18.8291232200258
2026-01-30,prod,aws-prod5-uswest2,core1,sam-highscale-processing1,Karpenter_Disabled,19.4073985717784
2026-01-30,prod,aws-prod24-apsouth2,einstein,sam-restricted1,Karpenter_Disabled,19.4835651453082
