incident_id,detected_date,severity,impact,repeat,incident_subject,environments,instances,prb_owner_original,prb_owner,detected_by_monitoring,customer_cases,instances_impacted,ttd_min,ttr_min,manager_name
86792148,1/5/26 5:21,Sev1,Performance Degradation,No,EKS cluster in prod3/sam,HYPERFORCE - AWS,DEU132,KRE-US,FKP,No,17,2,11,308,Leonard Gestrin
86935995,1/8/26 19:32,Sev1,Service Disruption,No,Raphty Outage Impacting C,HYPERFORCE,AWS-ESV,Ingress Gateway Control Plane,Ingress,Yes,0,1,40,152,Leonard Gestrin
85777722,12/6/25 22:43,Sev1,Service Disruption,No,swe46 Single Org activities,HYPERFORCE - AWS,SWE46,Message Queue,MQ,Yes,0,1,6,23,Amit Kumar
85307964,11/25/25 6:46,Sev2,Asynchronous processing degradation,No,JPN136 Message Queue Degradation,HYPERFORCE - AWS,JPN136,Message Queue,MQ,No,9,1,1866,2130,Amit Kumar
85425909,11/29/25 10:48,Sev2,Service Disruption,No,COREAPP_SERVICE,HYPERFORCE - AWS,SWE26,Ingress Gateway,Ingress,Yes,0,1,8,8,Leonard Gestrin
83033425,10/22/25 17:33,Sev2,Asynchronous processing degradation,Yes,(Warden AIOps) High DB CPU,HYPERFORCE - AWS,USA1,Message Queue,MQ,Yes,0,1,6,35,Amit Kumar
83320333,10/23/25 21:30,Sev2,Asynchronous processing degradation,Yes,ASYNC - MEMSTORE_FULLN,HYPERFORCE - AWS,USA672S,Message Queue,MQ,No,0,1,0,28,Amit Kumar
84115380,11/2/25 9:16,Sev2,Performance Degradation,No,usa302 Connection Pool Burst,HYPERFORCE - AWS,USA302,Message Queue,MQ,Yes,0,1,5,15,Amit Kumar
84361195,11/6/25 9:33,Sev2,Performance Degradation,No,USA372 and USA794 release,HYPERFORCE - AWS,USA372,Caching Services,Vegacache,Yes,0,2,11,11,Amit Kumar
84767348,11/13/25 22:13,Sev2,Service Degradation,No,deu14s Single App Server is,HYPERFORCE - AWS,DEU14S,Message Queue,MQ,Yes,0,1,5,5,Amit Kumar
84960265,11/18/25 3:50,Sev2,Performance Degradation,No,usa658s Single App Server is,HYPERFORCE - AWS,USA658S,Message Queue,MQ,Yes,0,1,2,6,Amit Kumar
84885857,11/16/25 9:01,Sev0,Feature disruption,No,SLO based search indexing delay,HYPERFORCE - AWS,USA454,Mesh Integrations,Mesh,No,23,180,75,272,Leonard Gestrin
84983802,11/18/25 18:02,Sev1,Feature disruption,No,CRM Search Availability degradation,HYPERFORCE - AWS,USA454,Mesh Integrations,Mesh,Yes,35,180,204,252,Leonard Gestrin
83164778,10/23/25 5:29,Sev2,Performance Degradation,No,GovCloud DNS issue affecting,HYPERFORCE - AWS,USA9010S,Ingress Gateway,Ingress,No,0,1,3374,3443,Leonard Gestrin
84455156,11/8/25 1:17,Sev2,Service Disruption,No,istio-proxy crashing,N/A,N/A,Mesh Availability And Scale,Mesh,No,0,0,60,60,Leonard Gestrin
81346120,9/25/25 11:00,Sev2,Service Disruption,No,No data alerts for firebom-sy,N/A,N/A,Mesh Control Plane,Mesh,Yes,0,0,15,15,Leonard Gestrin
79525567,8/20/25 12:15,Sev1,Feature degradation,No,Field Service impacted,SFDC-1P HYPERFORCE,USA242S,Caching Services,Vegacache,No,17,91,45,130,Amit Kumar
79755066,8/25/25 6:41,Sev1,Performance Degradation,No,Sherlock_APT Degradation,HYPERFORCE - AWS,JPN134,Caching Services,Vegacache,Yes,1,4,8,107,Amit Kumar
