Env,Account,EKS Cluster Name,Namespace,Pod,FunctionalDomain,ServiceGroup,ServiceName,ServiceInstance,Mesh @ Label,Mesh @ Annotation,Is SFProxy NS?,Is mesh-control-plane NS?,Using Mesh?
aag-stage1,SS_FD_TVM,tentacle1,stride-eks-components,metadata-concealer-6427f,foundation,stride,metadata-concealer,metadata-concealer1,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,madkub-webhook,clustercertcache-66db8b56fb-58nnm,foundation,pki,madkub-injection-webhook,,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,madkub-webhook,madkub-injector-webhook-deployment-687797dd59-dcltf,foundation,pki,madkub-injection-webhook,,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,collection-webhook,collection-injector-webhook-deployment-855db557f4-8k876,foundation,collection,collectioninjector,collectioninjector1,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,sfdc-system,kube-node-recycler-59ffc555fd-hbs7n,foundation,sam,clustermanagement,clustermanagement1,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,opa,opa-86875dffd6-6frs2,foundation,tvm,tentacle,tentacle1,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,stampy-webhook,stampy-webhook-synthetic-test-runner-69c8457bc9-lfbw6,foundation,stampy,stampy-webhook,,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,stampy-webhook,stampy-webhook-synthetic-test-target-7786fd5464-rqcjs,foundation,stampy,stampy-webhook,,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,stampy-webhook,zstampy-webhook-webhook-deployment-6b6fd9598-gtdr8,foundation,stampy,stampy-webhook,,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,madkub-injector-watchdog,madkub-injector-watchdog-dccb9f85c-24bkm,foundation,pki,madkub-watchdog,,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,tvm,tentacle-inventory-scanner-85b9d5b7f-2rmzk,foundation,tvm,tentacle,tentacle1,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,tvm,tentacle-resource-scanner-79c8c4d74f-67fkb,foundation,tvm,tentacle,tentacle1,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,tvm,tentacle-scanner-5d74cd5665-24xws,foundation,tvm,tentacle,tentacle1,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,dva-system,kube-state-metrics-0,foundation,collection,collection,collection1,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,dva-system,kube-state-metrics-1,foundation,collection,collection,collection1,null,null,FALSE,FALSE,FALSE
aag-stage1,SS_FD_TVM,tentacle1,dva-system,kube-state-metrics-2,foundation,collection,collection,collection1,null,null,FALSE,FALSE,FALSE
