,fi,fd,k8s_cluster,label_p_servicename
,aag-stage1,airlock,airlockhi-eks-1,airlock-high-eks
,aag-stage1,airlock,airlockhi-eks-1,clustermanagement
,aag-stage1,airlock,airlockhi-eks-1,collection
,aag-stage1,airlock,airlockhi-eks-1,collectioninjector
,aag-stage1,airlock,airlockhi-eks-1,madkub-injection-webhook
,aag-stage1,airlock,airlockhi-eks-1,madkub-watchdog
,aag-stage1,airlock,airlockhi-eks-1,metadata-concealer
,aag-stage1,airlock,airlockhi-eks-1,stampy-webhook
,aag-stage1,airlock,fit1,clustermanagement
,aag-stage1,airlock,fit1,collection
,aag-stage1,airlock,fit1,collectioninjector
,aag-stage1,airlock,fit1,fit-controller-service
,aag-stage1,airlock,fit1,fit-test-twister
,aag-stage1,airlock,fit1,integration-test-service
,aag-stage1,airlock,fit1,madkub-injection-webhook
,aag-stage1,airlock,fit1,madkub-watchdog
,aag-stage1,airlock,fit1,metadata-concealer
,aag-stage1,airlock,fit1,stampy-webhook
,aag-stage1,core1,k8s,ajnakafka
,aag-stage1,core1,k8s,ajnakmf
,aag-stage1,core1,k8s,ajnaloadmgr
,aag-stage1,core1,k8s,ajnatopicapi
,aag-stage1,core1,k8s,clustermanagement
,aag-stage1,core1,k8s,collection
,aag-stage1,core1,k8s,collectioninjector
,aag-stage1,core1,k8s,madkub-injection-webhook
,aag-stage1,core1,k8s,madkub-watchdog
,aag-stage1,core1,k8s,metadata-concealer
,aag-stage1,core1,k8s,stampy-webhook
,aag-stage1,core1,sam-processing1,argo-rollout
,aag-stage1,core1,sam-processing1,authzwebhook
,aag-stage1,core1,sam-processing1,caas
,aag-stage1,core1,sam-processing1,caaspc
,aag-stage1,core1,sam-processing1,caasvb
,aag-stage1,core1,sam-processing1,cbatch
,aag-stage1,core1,sam-processing1,clustermanagement
,aag-stage1,core1,sam-processing1,collection
,aag-stage1,core1,sam-processing1,collectioninjector
,aag-stage1,core1,sam-processing1,collectioninjectortest
,aag-stage1,core1,sam-processing1,coreapp
,aag-stage1,core1,sam-processing1,eaas
,aag-stage1,core1,sam-processing1,eanalytics-batch
,aag-stage1,core1,sam-processing1,eanalytics-cassandra
,aag-stage1,core1,sam-processing1,eanalytics-ed
,aag-stage1,core1,sam-processing1,eanalytics-lowlatency
,aag-stage1,core1,sam-processing1,eanalytics-redis
,aag-stage1,core1,sam-processing1,fit-controller-service
,aag-stage1,core1,sam-processing1,fit-test-twister
,aag-stage1,core1,sam-processing1,inbound-mta
,aag-stage1,core1,sam-processing1,ingressassistant
,aag-stage1,core1,sam-processing1,ingressgateway
,aag-stage1,core1,sam-processing1,integration-test-service
,aag-stage1,core1,sam-processing1,istio-copilot
,aag-stage1,core1,sam-processing1,istio-metrics-service
,aag-stage1,core1,sam-processing1,istio-operator
,aag-stage1,core1,sam-processing1,istio-ordering
,aag-stage1,core1,sam-processing1,istio-route-update-service
,aag-stage1,core1,sam-processing1,istio-shipping
,aag-stage1,core1,sam-processing1,istiod
,aag-stage1,core1,sam-processing1,kubesyntheticscaler
,aag-stage1,core1,sam-processing1,madkub-injection-webhook
,aag-stage1,core1,sam-processing1,madkub-watchdog
,aag-stage1,core1,sam-processing1,mediaservicefd
,aag-stage1,core1,sam-processing1,mesh-operator
,aag-stage1,core1,sam-processing1,metadata-concealer
,aag-stage1,core1,sam-processing1,pbsmatch
,aag-stage1,core1,sam-processing1,qpid
,aag-stage1,core1,sam-processing1,sam
,aag-stage1,core1,sam-processing1,sequencer
,aag-stage1,core1,sam-processing1,solr-service
,aag-stage1,core1,sam-processing1,spo
,aag-stage1,core1,sam-processing1,stampy-webhook
,aag-stage1,core1,sam-restricted1,authzwebhook
,aag-stage1,core1,sam-restricted1,clustermanagement
,aag-stage1,core1,sam-restricted1,collection
,aag-stage1,core1,sam-restricted1,collectioninjector
,aag-stage1,core1,sam-restricted1,collectioninjectortest
,aag-stage1,core1,sam-restricted1,gridforce
,aag-stage1,core1,sam-restricted1,hbase
,aag-stage1,core1,sam-restricted1,istio-operator
,aag-stage1,core1,sam-restricted1,istio-shipping
,aag-stage1,core1,sam-restricted1,kubesyntheticscaler
,aag-stage1,core1,sam-restricted1,madkub-injection-webhook
,aag-stage1,core1,sam-restricted1,madkub-watchdog
,aag-stage1,core1,sam-restricted1,metadata-concealer
,aag-stage1,core1,sam-restricted1,sam
,aag-stage1,core1,sam-restricted1,spo
,aag-stage1,core1,sam-restricted1,stampy-webhook
,aag-stage1,core1,sam-restricted2,authzwebhook
,aag-stage1,core1,sam-restricted2,clustermanagement
,aag-stage1,core1,sam-restricted2,collection
,aag-stage1,core1,sam-restricted2,collectioninjector
,aag-stage1,core1,sam-restricted2,collectioninjectortest
,aag-stage1,core1,sam-restricted2,hbase
,aag-stage1,core1,sam-restricted2,istio-operator
,aag-stage1,core1,sam-restricted2,istio-shipping
,aag-stage1,core1,sam-restricted2,kubesyntheticscaler
,aag-stage1,core1,sam-restricted2,madkub-injection-webhook
,aag-stage1,core1,sam-restricted2,madkub-watchdog
,aag-stage1,core1,sam-restricted2,metadata-concealer
,aag-stage1,core1,sam-restricted2,sam
,aag-stage1,core1,sam-restricted2,spo
,aag-stage1,core1,sam-restricted2,stampy-webhook
,aag-stage1,core1,sam-restricted4,authzwebhook
,aag-stage1,core1,sam-restricted4,clustermanagement
,aag-stage1,core1,sam-restricted4,collection
,aag-stage1,core1,sam-restricted4,collectioninjector
,aag-stage1,core1,sam-restricted4,collectioninjectortest
,aag-stage1,core1,sam-restricted4,kubesyntheticscaler
,aag-stage1,core1,sam-restricted4,madkub-injection-webhook
,aag-stage1,core1,sam-restricted4,madkub-watchdog
,aag-stage1,core1,sam-restricted4,metadata-concealer
,aag-stage1,core1,sam-restricted4,sam
,aag-stage1,core1,sam-restricted4,stampy-webhook
,aag-stage1,core1,sam-restricted5,authzwebhook
,aag-stage1,core1,sam-restricted5,clustermanagement
,aag-stage1,core1,sam-restricted5,collection
,aag-stage1,core1,sam-restricted5,collectioninjector
,aag-stage1,core1,sam-restricted5,collectioninjectortest
,aag-stage1,core1,sam-restricted5,kubesyntheticscaler
,aag-stage1,core1,sam-restricted5,madkub-injection-webhook
,aag-stage1,core1,sam-restricted5,madkub-watchdog
,aag-stage1,core1,sam-restricted5,metadata-concealer
,aag-stage1,core1,sam-restricted5,sam
,aag-stage1,core1,sam-restricted5,stampy-webhook
,aag-stage1,core1,sdb-prod,collection
,aag-stage1,core1,sdb-prod,collectioninjector
,aag-stage1,core1,sdb-prod,madkub-injection-webhook
,aag-stage1,core1,sdb-prod,madkub-watchdog
,aag-stage1,core1,sdb-prod,metadata-concealer
,aag-stage1,core1,sdb-prod,sdb
,aag-stage1,core1,sdb-prod,sdbarchivalworker
,aag-stage1,core1,sdb-prod,sdbstore
,aag-stage1,core1,sdb-prod,sdbzk
,aag-stage1,core1,sdb-prod,stampy-webhook
,aag-stage1,core1,sdb-restore,collection
,aag-stage1,core1,sdb-restore,collectioninjector
,aag-stage1,core1,sdb-restore,madkub-injection-webhook
,aag-stage1,core1,sdb-restore,madkub-watchdog
,aag-stage1,core1,sdb-restore,metadata-concealer
,aag-stage1,core1,sdb-restore,sdbarchivalworker
,aag-stage1,core1,sdb-restore,sdbstore
,aag-stage1,core1,sdb-restore,sdbzk
,aag-stage1,core1,sdb-restore,stampy-webhook
,aag-stage1,crypto,fit1,clustermanagement
,aag-stage1,crypto,fit1,collection
,aag-stage1,crypto,fit1,collectioninjector
,aag-stage1,crypto,fit1,fit-controller-service
,aag-stage1,crypto,fit1,fit-test-twister
,aag-stage1,crypto,fit1,integration-test-service
,aag-stage1,crypto,fit1,madkub-injection-webhook
,aag-stage1,crypto,fit1,madkub-watchdog
,aag-stage1,crypto,fit1,metadata-concealer
,aag-stage1,crypto,fit1,stampy-webhook
,aag-stage1,crypto,kms-services,clustermanagement
,aag-stage1,crypto,kms-services,collection
,aag-stage1,crypto,kms-services,collectioninjector
,aag-stage1,crypto,kms-services,kmsinfra
,aag-stage1,crypto,kms-services,madkub-injection-webhook
,aag-stage1,crypto,kms-services,madkub-watchdog
,aag-stage1,crypto,kms-services,metadata-concealer
,aag-stage1,crypto,kms-services,smsapi
,aag-stage1,crypto,kms-services,smscanary
,aag-stage1,crypto,kms-services,smszk
,aag-stage1,crypto,kms-services,stampy-webhook
,aag-stage1,deploy,amibake1,sfcd-awsbake
,aag-stage1,deploy,artifact-mgmt1,clustermanagement
,aag-stage1,deploy,artifact-mgmt1,collection
,aag-stage1,deploy,artifact-mgmt1,collectioninjector
,aag-stage1,deploy,artifact-mgmt1,ecr-perms
,aag-stage1,deploy,artifact-mgmt1,fcp-unzip
,aag-stage1,deploy,artifact-mgmt1,helm-extractor
,aag-stage1,deploy,artifact-mgmt1,madkub-injection-webhook
,aag-stage1,deploy,artifact-mgmt1,madkub-watchdog
,aag-stage1,deploy,artifact-mgmt1,metadata-concealer
,aag-stage1,deploy,artifact-mgmt1,stampy-webhook
,aag-stage1,deploy,artifact-mgmt1,stargate
,aag-stage1,deploy,deploy-spin1,clustermanagement
,aag-stage1,deploy,deploy-spin1,collection
,aag-stage1,deploy,deploy-spin1,collectioninjector
,aag-stage1,deploy,deploy-spin1,madkub-injection-webhook
,aag-stage1,deploy,deploy-spin1,madkub-watchdog
,aag-stage1,deploy,deploy-spin1,metadata-concealer
,aag-stage1,deploy,deploy-spin1,sfcd-cs-funnel-metrics
,aag-stage1,deploy,deploy-spin1,sfcdconfigservice
,aag-stage1,deploy,deploy-spin1,spinnaker
,aag-stage1,deploy,deploy-spin1,stampy-webhook
,aag-stage1,deploy,fit1,clustermanagement
,aag-stage1,deploy,fit1,collection
,aag-stage1,deploy,fit1,collectioninjector
,aag-stage1,deploy,fit1,fit-controller-service
,aag-stage1,deploy,fit1,fit-test-twister
,aag-stage1,deploy,fit1,integration-test-service
,aag-stage1,deploy,fit1,madkub-injection-webhook
,aag-stage1,deploy,fit1,madkub-watchdog
,aag-stage1,deploy,fit1,metadata-concealer
,aag-stage1,deploy,fit1,stampy-webhook
,aag-stage1,deploy,sfcdplatform1,clustermanagement
,aag-stage1,deploy,sfcdplatform1,collection
,aag-stage1,deploy,sfcdplatform1,collectioninjector
,aag-stage1,deploy,sfcdplatform1,madkub-injection-webhook
,aag-stage1,deploy,sfcdplatform1,madkub-watchdog
,aag-stage1,deploy,sfcdplatform1,metadata-concealer
,aag-stage1,deploy,sfcdplatform1,sfcdplatform
,aag-stage1,deploy,sfcdplatform1,stampy-webhook
,aag-stage1,deploy,wdpaagstage1ds1,clustermanagement
,aag-stage1,deploy,wdpaagstage1ds1,collection
,aag-stage1,deploy,wdpaagstage1ds1,collectioninjector
