fi,fd,k8s_cluster,label_p_servicename,customerType,migrationStage
aag-stage1,airlock,airlockhi-eks-1,airlock-high-eks,BlackJack,4
aag-stage1,airlock,airlockhi-eks-1,clustermanagement,BlackJack,4
aag-stage1,airlock,airlockhi-eks-1,collection,BlackJack,4
aag-stage1,airlock,airlockhi-eks-1,collectioninjector,BlackJack,4
aag-stage1,airlock,airlockhi-eks-1,madkub-injection-webhook,BlackJack,4
aag-stage1,airlock,airlockhi-eks-1,madkub-watchdog,BlackJack,4
aag-stage1,airlock,airlockhi-eks-1,metadata-concealer,BlackJack,4
aag-stage1,airlock,airlockhi-eks-1,stampy-webhook,BlackJack,4
aag-stage1,airlock,fit1,clustermanagement,BlackJack,1
aag-stage1,airlock,fit1,collection,BlackJack,1
aag-stage1,airlock,fit1,collectioninjector,BlackJack,1
aag-stage1,airlock,fit1,fit-controller-service,BlackJack,1
aag-stage1,airlock,fit1,fit-test-twister,BlackJack,1
aag-stage1,airlock,fit1,integration-test-service,BlackJack,1
aag-stage1,airlock,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,airlock,fit1,madkub-watchdog,BlackJack,1
aag-stage1,airlock,fit1,metadata-concealer,BlackJack,1
aag-stage1,airlock,fit1,stampy-webhook,BlackJack,1
aag-stage1,core1,k8s,ajnakafka,BlackJack,1
aag-stage1,core1,k8s,ajnakmf,BlackJack,1
aag-stage1,core1,k8s,ajnaloadmgr,BlackJack,1
aag-stage1,core1,k8s,ajnatopicapi,BlackJack,1
aag-stage1,core1,k8s,clustermanagement,BlackJack,1
aag-stage1,core1,k8s,collection,BlackJack,1
aag-stage1,core1,k8s,collectioninjector,BlackJack,1
aag-stage1,core1,k8s,madkub-injection-webhook,BlackJack,1
aag-stage1,core1,k8s,madkub-watchdog,BlackJack,1
aag-stage1,core1,k8s,metadata-concealer,BlackJack,1
aag-stage1,core1,k8s,stampy-webhook,BlackJack,1
aag-stage1,core1,sam-processing1,argo-rollout,BlackJack,1
aag-stage1,core1,sam-processing1,authzwebhook,BlackJack,1
aag-stage1,core1,sam-processing1,caas,BlackJack,1
aag-stage1,core1,sam-processing1,caaspc,BlackJack,1
aag-stage1,core1,sam-processing1,caasvb,BlackJack,1
aag-stage1,core1,sam-processing1,cbatch,BlackJack,1
aag-stage1,core1,sam-processing1,clustermanagement,BlackJack,1
aag-stage1,core1,sam-processing1,collection,BlackJack,1
aag-stage1,core1,sam-processing1,collectioninjector,BlackJack,1
aag-stage1,core1,sam-processing1,collectioninjectortest,BlackJack,1
aag-stage1,core1,sam-processing1,coreapp,BlackJack,1
aag-stage1,core1,sam-processing1,eaas,BlackJack,1
aag-stage1,core1,sam-processing1,eanalytics-batch,BlackJack,1
aag-stage1,core1,sam-processing1,eanalytics-cassandra,BlackJack,1
aag-stage1,core1,sam-processing1,eanalytics-ed,BlackJack,1
aag-stage1,core1,sam-processing1,eanalytics-lowlatency,BlackJack,1
aag-stage1,core1,sam-processing1,eanalytics-redis,BlackJack,1
aag-stage1,core1,sam-processing1,fit-controller-service,BlackJack,1
