Env,    Account    ,    EKS Cluster Name,    Namespace    ,    Pod    ,    FunctionalDomain    ,    ServiceGroup    ,    ServiceName    ,    ServiceInstance    ,    Mesh @ Label     ,    Mesh @ Annotation    ,    Is SFProxy NS?    ,    Is mesh-control-plane NS?    ,    Using Mesh?
"aag-stage1","SS_FD_SOT","soterfalcon1","sfdc-system","kube-node-recycler-85bc6bdf4b-ftljg","foundation","sam","clustermanagement","clustermanagement1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","madkub-injector-watchdog","madkub-injector-watchdog-5b7dcdbf46-7gz5l","foundation","pki","madkub-watchdog",,"null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","sds","soter-svc-5679dd46c9-cd6qj","foundation","soter","soterfalcon","soterfalcon1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","kube-system","aws-load-balancer-controller-6597878f44-9wj2d","foundation","soter","soterfalcon","soterfalcon1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","kube-system","cluster-autoscaler-cb69fcc6d-9fdk6","foundation","soter","soterfalcon","soterfalcon1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","kube-system","ebs-csi-controller-ff5d45648-cj8m9","foundation","soter","soterfalcon","soterfalcon1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","kube-system","ebs-csi-node-52m62","foundation","soter","soterfalcon","soterfalcon1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","kube-system","snapshot-controller-5fbc4dc864-8fvfx","foundation","soter","soterfalcon","soterfalcon1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","kube-system","snapshot-validation-68768b9956-5wkrh","foundation","soter","soterfalcon","soterfalcon1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","stride-eks-components","metadata-concealer-2r9nz","foundation","stride","metadata-concealer","metadata-concealer1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","stampy-webhook","stampy-webhook-synthetic-test-runner-64f9cdb497-hrfk8","foundation","stampy","stampy-webhook",,"null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","stampy-webhook","stampy-webhook-synthetic-test-target-6d4cc766d6-cgdkn","foundation","stampy","stampy-webhook",,"null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","stampy-webhook","zstampy-webhook-webhook-deployment-846f97776d-6hbx9","foundation","stampy","stampy-webhook",,"null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","opa","opa-54558c4cbd-fgvmj","foundation","soter","soterfalcon","soterfalcon1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","madkub-webhook","madkub-injector-webhook-deployment-6cd898978b-67v7m","foundation","pki","madkub-injection-webhook",,"null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","dva-system","kube-state-metrics-0","foundation","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","dva-system","kube-state-metrics-1","foundation","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","dva-system","kube-state-metrics-2","foundation","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","dva-system","collectd-6f26l","foundation","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","dva-system","metrics-server-6d6b9cc4c7-487qr","foundation","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","dva-system","sfdc-cluster-logging-ds-7ggf6","foundation","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","dva-system","sfdc-cluster-metrics-deploy-5f89f7d59-cbkbm","foundation","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","dva-system","sfdc-cluster-metrics-ds-bgh5s","foundation","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_FD_SOT","soterfalcon1","collection-webhook","collection-injector-webhook-deployment-86b5f88fb8-56jxz","foundation","collection","collectioninjector","collectioninjector1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","sfdc-system","kube-node-recycler-6f68b49955-trktw","pcs","sam","clustermanagement","clustermanagement1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","madkub-injector-watchdog","madkub-injector-watchdog-69c799c85f-9srt8","pcs","pki","madkub-watchdog",,"null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","kube-system","cluster-autoscaler-8d9b88c4-2mj7c","pcs","pcs","pcs","pcs1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","kube-system","ebs-csi-controller-5576c67bfd-2p7f7","pcs","pcs","pcs","pcs1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","kube-system","ebs-csi-node-5qblz","pcs","pcs","pcs","pcs1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","stride-eks-components","metadata-concealer-lkz6z","pcs","stride","metadata-concealer","metadata-concealer1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","stampy-webhook","stampy-webhook-synthetic-test-runner-5dbf479867-vwvb4","pcs","stampy","stampy-webhook",,"null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","stampy-webhook","stampy-webhook-synthetic-test-target-6b6b57c9cb-mr2h9","pcs","stampy","stampy-webhook",,"null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","stampy-webhook","zstampy-webhook-webhook-deployment-9d5cbdf5d-gjrwr","pcs","stampy","stampy-webhook",,"null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","madkub-webhook","madkub-injector-webhook-deployment-8494464fdd-57l5g","pcs","pki","madkub-injection-webhook",,"null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","dva-system","kube-state-metrics-0","pcs","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","dva-system","kube-state-metrics-1","pcs","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","dva-system","kube-state-metrics-2","pcs","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","dva-system","collectd-2g876","pcs","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","dva-system","metrics-server-96b49f65c-5nwc7","pcs","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","dva-system","sfdc-cluster-logging-ds-8fvn5","pcs","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","dva-system","sfdc-cluster-metrics-deploy-7c875d4bb9-px95w","pcs","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","dva-system","sfdc-cluster-metrics-ds-c4npn","pcs","collection","collection","collection1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","collection-webhook","collection-injector-webhook-deployment-849c6cbf69-cbkxt","pcs","collection","collectioninjector","collectioninjector1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","pcs","pcs-arc-75d4cbdb4-tvwbc","pcs","pcs","pcs-arc","pcs-arc1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","pcs","pcs-gumberoo-b4f89cbc-55xbg","pcs","pcs","pcs-gumberoo","pcs-gumberoo1","null","null",false,false,false
"aag-stage1","SS_PC_PCS","pcs-services1","pcs","pcs-hogs-59894d56dd-t5scv","pcs","pcs","pcs-hogs","pcs-hogs1","null","null",false,false,false
