servicename,bom_prod_adoption,bom_nonprod_adoption,bom_prod_adoption_percent,bom_nonprod_adoption_percent,bom_prod_fkp,bom_prod_total,bom_nonprod_fkp,bom_nonprod_total
abs-graphql,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
access-management-azure-ad-oidc-wrapper,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
access-management-bcrypt-as-a-service,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
access-management-comm-2-hf-poc-falcon,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
ace,100.0% (2/2),100.0% (1/1),100.0,100.0,2,2,1,1
aceml-job-scheduler,100.0% (2/2),100.0% (3/3),100.0,100.0,2,2,3,3
aceml-runner,100.0% (2/2),100.0% (3/3),100.0,100.0,2,2,3,3
aceml-scheduler,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
acm-acm-api-experience-hub-api-db-migrations,100.0% (3/3),100.0% (3/3),100.0,100.0,3,3,3,3
acm-acm-api-experience-hub-api-service,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
acm-acm-api-experience-hub-ui,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
acm-acm-community-bridge-service,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
acp-observability-client,100.0% (2/2),100.0% (1/1),100.0,100.0,2,2,1,1
acp-observability-service,100.0% (3/3),100.0% (1/1),100.0,100.0,3,3,1,1
acp360analytics,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
actions-and-insights,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
actualdowntime-framework,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
addons-test-five,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
addons-test-four,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
addons-test-one,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
addons-test-three,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
addons-test-two,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
adframework-cujimpact,100.0% (2/2),100.0% (1/1),100.0,100.0,2,2,1,1
admin-ui-rcgtpm,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
adstudio-ad-audiences-fe,50.0% (2/4),50.0% (2/4),50.0,50.0,2,4,2,4
adstudio-campaign-service,50.0% (2/4),50.0% (2/4),50.0,50.0,2,4,2,4
adstudio-control-box,50.0% (2/4),50.0% (2/4),50.0,50.0,2,4,2,4
adstudio-eks,0.0% (0/3),0.0% (0/2),0.0,0.0,0,3,0,2
adstudio-goodbye-service,0.0% (0/2),33.3% (1/3),0.0,33.33333333333333,0,2,1,3
adstudio-istio,0.0% (0/3),0.0% (0/2),0.0,0.0,0,3,0,2
adstudio-istio-ingress-gateway,0.0% (0/3),0.0% (0/2),0.0,0.0,0,3,0,2
adstudio-journey-builder-ads,50.0% (2/4),50.0% (2/4),50.0,50.0,2,4,2,4
adstudio-journey-builder-ads-fe,100.0% (2/2),100.0% (2/2),100.0,100.0,2,2,2,2
adstudio-lead-ingestion,0.0% (0/3),0.0% (0/2),0.0,0.0,0,3,0,2
adstudio-settingspath-injector,0.0% (0/3),0.0% (0/2),0.0,0.0,0,3,0,2
affogato,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-doc-metadata-generator,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
agent-protection,0.0% (0/0),100.0% (3/3),0.0,100.0,0,0,3,3
agent-protection-dx-dev,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
agent-svc-api,100.0% (2/2),100.0% (4/4),100.0,100.0,2,2,4,4
agent-svc-gsm,100.0% (9/9),100.0% (4/4),100.0,100.0,9,9,4,4
agent-svc-messaging,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
ai-alerts-webservice,100.0% (2/2),100.0% (3/3),100.0,100.0,2,2,3,3
ai-metadata-service,0.0% (0/43),0.0% (0/6),0.0,0.0,0,43,0,6
ai-svc-prompt-engine,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
aiappdevq3,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
aip-metrics-service,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
airfilter,0.0% (0/2),0.0% (0/3),0.0,0.0,0,2,0,3
airlock-transfer-low-eks,0.0% (0/2),0.0% (0/1),0.0,0.0,0,2,0,1
airtrust,0.0% (0/2),0.0% (0/3),0.0,0.0,0,2,0,3
ajna-self-service,0.0% (0/192),0.0% (0/57),0.0,0.0,0,192,0,57
ajnaendpoint,0.0% (0/79),3.7% (1/27),0.0,3.7037037037037033,0,79,1,27
ajnakafka,0.0% (0/194),1.4% (1/72),0.0,1.3888888888888888,0,194,1,72
ajnakmf,0.0% (0/194),1.4% (1/72),0.0,1.3888888888888888,0,194,1,72
ajnalionsgate,0.0% (0/183),1.6% (1/62),0.0,1.6129032258064515,0,183,1,62
ajnaloadmgr,0.0% (0/194),1.4% (1/72),0.0,1.3888888888888888,0,194,1,72
ajnamirus,0.0% (0/30),5.9% (1/17),0.0,5.88235294117647,0,30,1,17
ajnaoperator,0.0% (0/154),3.6% (2/56),0.0,3.571428571428571,0,154,2,56
ajnatopicapi,0.0% (0/94),4.2% (1/24),0.0,4.166666666666666,0,94,1,24
ajnatopicdeployer,0.0% (0/194),1.4% (1/72),0.0,1.3888888888888888,0,194,1,72
ajnawrangler,0.0% (0/194),1.4% (1/69),0.0,1.4492753623188406,0,194,1,69
ajnazac,0.0% (0/82),0.0% (0/57),0.0,0.0,0,82,0,57
alert-cache,0.0% (0/0),100.0% (3/3),0.0,100.0,0,0,3,3
alert-webservice,100.0% (1/1),100.0% (3/3),100.0,100.0,1,1,3,3
alm-doce-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
alm-home,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
alm-orchestrator-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
alm-request-hub,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
alm-vcs,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
alm-vcs-hub,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
amc-agent-reg-facade,100.0% (4/4),100.0% (4/4),100.0,100.0,4,4,4,4
amc-atlas,100.0% (4/4),100.0% (4/4),100.0,100.0,4,4,4,4
amc-automation,100.0% (4/4),100.0% (4/4),100.0,100.0,4,4,4,4
amc-configuration-resolver,100.0% (4/4),100.0% (4/4),100.0,100.0,4,4,4,4
amc-decorator,100.0% (4/4),100.0% (4/4),100.0,100.0,4,4,4,4
amc-deployer,100.0% (4/4),100.0% (4/4),100.0,100.0,4,4,4,4
amc-quotas,100.0% (4/4),100.0% (4/4),100.0,100.0,4,4,4,4
amc-support-x-api-service,100.0% (4/4),100.0% (4/4),100.0,100.0,4,4,4,4
amc-test-helper,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
amc-ui-rest-facade,100.0% (3/3),100.0% (3/3),100.0,100.0,3,3,3,3
amf-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
amg-api,42.9% (3/7),27.3% (3/11),42.857142857142854,27.27272727272727,3,7,3,11
amg-data,42.9% (3/7),27.3% (3/11),42.857142857142854,27.27272727272727,3,7,3,11
amg-governance,42.9% (3/7),27.3% (3/11),42.857142857142854,27.27272727272727,3,7,3,11
amg-infra,20.0% (1/5),11.1% (1/9),20.0,11.11111111111111,1,5,1,9
amg-ingress-gateway,0.0% (0/4),0.0% (0/8),0.0,0.0,0,4,0,8
amg-istio,0.0% (0/4),0.0% (0/8),0.0,0.0,0,4,0,8
amg-s2a-api,42.9% (3/7),30.0% (3/10),42.857142857142854,30.0,3,7,3,10
amg-topo-api,42.9% (3/7),27.3% (3/11),42.857142857142854,27.27272727272727,3,7,3,11
amg-topo-tools,42.9% (3/7),27.3% (3/11),42.857142857142854,27.27272727272727,3,7,3,11
amg-ui,0.0% (0/4),0.0% (0/8),0.0,0.0,0,4,0,8
amg-versionvector-api,42.9% (3/7),27.3% (3/11),42.857142857142854,27.27272727272727,3,7,3,11
amg-workflow-api,42.9% (3/7),30.0% (3/10),42.857142857142854,30.0,3,7,3,10
ami-cleaner,0.0% (0/4),0.0% (0/5),0.0,0.0,0,4,0,5
ami-perms,0.0% (0/4),0.0% (0/5),0.0,0.0,0,4,0,5
ami-replicator,0.0% (0/6),0.0% (0/4),0.0,0.0,0,6,0,4
ammar-tide-test,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
ang-catalog-jobs-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
ang-catalog-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
ang-governance-console-ui,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
ang-governance-profile-management-service,100.0% (3/3),100.0% (5/5),100.0,100.0,3,3,5,5
ang-governance-report-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
ang-governance-validation-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
ang-governance-xapi-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
ang-publication-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
anypoint-admin-ops-proxy-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
anypoint-cli-backend-service,100.0% (3/3),100.0% (5/5),100.0,100.0,3,3,5,5
anypoint-flash-api-db-migrations,100.0% (1/1),100.0% (2/2),100.0,100.0,1,1,2,2
anypoint-flash-api-service,100.0% (1/1),100.0% (3/3),100.0,100.0,1,1,3,3
anypoint-flash-mule-message-processor-service,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
anypoint-flash-notification-processor-service,100.0% (1/1),100.0% (3/3),100.0,100.0,1,1,3,3
anypoint-flash-platform-messages-service,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
anypoint-mq-admin-service,100.0% (4/4),100.0% (4/4),100.0,100.0,4,4,4,4
anypoint-mq-msg-service,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
anypoint-mq-stats-service,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
anypoint-mq-ui,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
anypoint-operator,100.0% (200/200),100.0% (57/57),100.0,100.0,200,200,57,57
api-catalog-backend-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
api-designer-dc-projects-service,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
api-designer-dc-ui,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
api-designer-dc-xapi-service,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
api-designer-ui,100.0% (3/3),100.0% (4/4),100.0,100.0,3,3,4,4
api-designer-xapi,100.0% (3/3),100.0% (5/5),100.0,100.0,3,3,5,5
api-fetcher,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
api-functional-monitoring-bat-analytics-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-functional-monitoring-bat-asset-provider-artifacts-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-functional-monitoring-bat-asset-provider-results-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-functional-monitoring-bat-cli-xapi-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-functional-monitoring-bat-execution-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-functional-monitoring-bat-scheduler-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-functional-monitoring-bat-ui,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-functional-monitoring-bat-worker-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-functional-monitoring-bat-xapi-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-manager-asset-publication-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-manager-contract-caching-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-manager-metering-pump-job,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-manager-platform-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-manager-platform-ui,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-manager-policies-runtime-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-manager-proxies-xapi-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-manager-proxy-builder-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-observability-ui,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-observability-xapi-service,100.0% (4/4),100.0% (5/5),100.0,100.0,4,4,5,5
api-parser-service,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
api-query-deploy-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
api-query-federation-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
api-query-gateway-sync,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
api-query-performance-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
api-query-ui,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
api-query-virtualization-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
api-query-xapi-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
api-service,100.0% (24/24),100.0% (6/6),100.0,100.0,24,24,6,6
apiq-api-gateway,100.0% (3/3),100.0% (2/2),100.0,100.0,3,3,2,2
apiq-apiv1,100.0% (3/3),100.0% (2/2),100.0,100.0,3,3,2,2
apiq-apiv2,100.0% (3/3),100.0% (2/2),100.0,100.0,3,3,2,2
apiq-artemis,100.0% (3/3),100.0% (2/2),100.0,100.0,3,3,2,2
apiq-batch-api,100.0% (3/3),100.0% (2/2),100.0,100.0,3,3,2,2
