servicename,bom_prod_adoption,bom_nonprod_adoption,bom_prod_adoption_percent,bom_nonprod_adoption_percent,bom_prod_fkp,bom_prod_total,bom_nonprod_fkp,bom_nonprod_total
No service on cluster,0.0% (0/77),0.0% (0/73),0.0,0.0,0,77,0,73
a4d-fedx,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
acdc,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
ace-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
actual-downtime-test,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
ad-creation,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
ad-framework-automation,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
ad-incident-correlation,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
addons-eval-gov-gap,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
addons-eval-gov-iso,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
addons-metadata-service,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
addons-uplift-rds,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
adframework,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
adframewrok-availability,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
adstudio-sc-terminator,0.0% (0/0),0.0% (0/2),0.0,0.0,0,0,0,2
afiniti-fedx-new,0.0% (0/0),100.0% (2/2),0.0,100.0,0,0,2,2
afiniti-team,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-datagpt-docloader,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-datagpt-interface,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-datagpt-utils,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-doc-download-scheduler,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-doc-downloader,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-doc-embedding-generator,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-doc-retention-enforcer,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-milvus,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
afm-resource-provisioner,0.0% (0/0),100.0% (1/1),0.0,100.0,0,0,1,1
