Initiative,Estimates,Status,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Jan,Total FY27 Savings,Difference FY27,Feb,Mar,April,May,June,July,August,September,October,Annual Savings
Improve Bin Packing with Karpenter, Original Estimate ,On Track,," $ 20,000.00 "," $ 154,817.65 "," $ 154,817.65 "," $ 154,817.65 "," $ 290,283.10 ","$328,987.51"," $ 387,044.13 "," $ 387,044.13 "," $ 387,044.13 "," $ 387,044.13 "," $ 387,044.13 "," $ 3,038,944.21 ",,"$406,396.13","$406,396.13","$406,396.13","$406,396.13",,,,,," $ 4,664,528.74 "
, Revised Estimate ,,,,,,,,,,,,,, $ -   ," $ 3,038,944.21 ",,,,,,,,,,
, Actuals ,,," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 994,228.68 "," $ (994,228.68)"," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 "," $ 90,384.43 ",,,,,," $ 1,084,613.11 "
"
Rightsizing of HCP AddOns- Platform", Original Estimate ,Delayed,," $ 5,000.00 "," $ 5,000.00 "," $ 63,170.83 "," $ 70,810.48 "," $ 73,170.83 "," $ 73,170.83 "," $ 305,972.58 "," $ 305,972.58 "," $ 305,972.58 "," $ 316,171.67 "," $ 316,171.67 "," $ 1,840,584.06 ",," $ 292,655.46 "," $ 316,171.67 "," $ 308,332.93 "," $ 316,171.67 "," $ 308,332.93 "," $ 316,171.67 ",,,," $ 3,698,420.37 "
, Revised Estimate ,,, $ -   , $ -   ,,,,,,,,,, $ -   ," $ 1,840,584.06 ",,,,,,,,,,
, Actuals ,,, $ -   , $ -   ,,,,,,,,,, $ -   , $ -   ,,,,,,,,,, $ -   
"
Proactive Container Optimization HRP", Original Estimate ,On Track,,,"$21,791.65","$22,518.03","$21,791.65","$22,518.03","$81,064.92","$78,449.93","$81,064.92","$156,899.85","$162,129.85","$162,129.85"," $ 810,358.69 ",,"$146,439.86","$162,129.85","$135,108.21","$139,611.81","$135,108.21","$139,611.81","$139,611.81","$78,449.93","$81,064.92"," $ 1,967,495.10 "
, Revised Estimate ,,,,,,,,,,,,,, $ -   ," $ 810,358.69 ",,,,,,,,,,
, Actuals ,,,,,,,,,,,,,, $ -   , $ -   ,,,,,,,,,,
Proactive Container Optimization Tenant, Original Estimate ,Not Started,,,,,,,"$56,327.97","$54,510.94","$56,327.97","$124,596.43","$128,749.65","$128,749.65"," $ 549,262.60 ",,"$116,290.00","$128,749.65","$124,596.43","$128,749.65","$124,596.43","$128,749.65","$72,421.68","$70,085.49","$72,421.68"," $ 1,515,923.25 "
, Revised Estimate ,,,,,,,,,,,,,, $ -   ," $ 549,262.60 ",,,,,,,,,,
, Actuals ,,,,,,,,,,,,,, $ -   , $ -   ,,,,,,,,,,
IG Graviton Migration, Original Estimate ,Not Started,,,,,,," $ 19,000.00 "," $ 19,000.00 "," $ 19,000.00 "," $ 19,000.00 "," $ 19,000.00 "," $ 19,000.00 "," $ 114,000.00 ",,"$19,000.00","$19,000.00","$19,000.00","$19,000.00","$19,000.00","$19,000.00",,,," $ 228,000.00 "
, Revised Estimate ,,,,,,,,,,,,,, $ -   ," $ 114,000.00 ",,,,,,,,,,
, Actuals ,,,,,,,,,,,,,, $ -   , $ -   ,,,,,,,,,,
IG - Shared Migration Ingress, Original Estimate ,Not Started,,,,,,," $ 19,662.80 "," $ 19,662.80 "," $ 19,662.80 "," $ 19,662.80 "," $ 19,662.80 "," $ 19,662.80 "," $ 117,976.78 ",,"$19,662.80","$19,662.80","$19,662.80","$19,662.80","$19,662.80","$19,662.80",,,," $ 235,953.55 "
, Revised Estimate ,,,,,,,,,,,,,, $ -   ," $ 117,976.78 ",,,,,,,,,,
, Actuals ,,,,,,,,,,,,,, $ -   , $ -   ,,,,,,,,,,
Vegacache Graviton Migration, Original Estimate ,Not Started,,,,,,," $ 100,000.00 "," $ 100,000.00 "," $ 100,000.00 "," $ 100,000.00 "," $ 100,000.00 "," $ 100,000.00 "," $ 600,000.00 ",,"$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00",,,," $ 1,200,000.00 "
, Revised Estimate ,,,,,,,,,,,,,, $ -   ," $ 600,000.00 ",,,,,,,,,,
, Actuals ,,,,,,,,,,,,,, $ -   , $ -   ,,,,,,,,,,
Sam_processing-1 Right-Sizing, Original Estimate ,On Track,,," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 70,934.00 "," $ 709,340.00 ",,,,,,,,,,,
, Revised Estimate ,,,,,,,,,,,,,, $ -   ,,,,,,,,,,,
, Actuals ,,,,,,,,,,,,,, $ -   ,,,,,,,,,,,
Platform,,,,,,,,6.03%,,,36.65%,,,37.49%,,,,,,,,,,,,
Karpenter,,,,,"$174,817.65",,,"$774,736.05",,,"$1,877,811.82",,,"$3,038,944.21",,,,,,,,,,,,
,,,,,5.75%,,,25.49%,,,61.79%,,,100.00%,,,,,,,,,,,,
Targeted Overall Savings,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,
Cost Baseline = January 2026 Runrate,,"$14,539,402","$14,539,402","$14,539,402","$14,539,402","$14,539,402","$14,539,402","$14,539,402","$14,539,402","$14,539,402","$14,539,402","$14,539,402","$14,539,402","$14,539,402",,,,,,,,,,,,
Actual Cost,,"$14,539,402",,,,,,,,,,,,,,,,,,,,,,,,
Number of Vcpu,,3785358.74,,,,,,,,,,,,,,,,,,,,,,,,
% Cost Reduction Achieved,,0.00%,,#REF!,100.00%,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,
Unit Cost ($),,$3.84,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Unit Cost Change Achieved,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
