servicename,total_count,on_fkp,percent_on_fkp
safe-monitor,95,24,25.3
integration-test-service,30,14,46.7
fit-controller-service,28,14,50.0
fit-test-twister,28,14,50.0
kube-pod-recycler,26,24,92.3
r53proxy,26,0,0.0
sam,24,24,100.0
spo,24,24,100.0
fit-validator,24,12,50.0
istio-operator,23,23,100.0
istio-shipping,23,23,100.0
argo-rollout,18,18,100.0
mesh-operator,17,17,100.0
istiod,17,17,100.0
istio-ordering,17,17,100.0
istio-copilot,17,17,100.0
istio-metrics-service,17,17,100.0
ingressassistant,15,15,100.0
ingressgateway,15,15,100.0
ajnaloadmgr,7,0,0.0
ajnatopicdeployer,7,0,0.0
ajnakmf,7,0,0.0
ajnawrangler,7,0,0.0
ajnakafka,7,0,0.0
traffic-policy-operator,6,6,100.0
anypoint-operator,6,6,100.0
osquery-agent,6,0,0.0
uap-heartbeat-service,6,6,100.0
istio-route-update-service,4,4,100.0
ajna-self-service,4,0,0.0
fs-flowsnake,4,4,100.0
flowsnake-impersonation-proxy,4,4,100.0
cdp-data-processing-controller,3,0,0.0
hbase,3,3,100.0
ajnatopicapi,3,0,0.0
quantumk,3,1,33.3
ajnalionsgate,3,0,0.0
cdp-inference-engine,3,0,0.0
rediscluster-manager,2,2,100.0
zero-object-service,2,2,100.0
cdp-data-transformation-service,2,0,0.0
p13n-attribution-engine,2,0,0.0
argo-workflows,2,2,100.0
temporalfrontend,2,2,100.0
sdbcloudstore,2,2,100.0
temporalui,2,2,100.0
cdp-istio,2,0,0.0
gca,2,2,100.0
cdp-data-ingestion-service,2,0,0.0
temporalmatching,2,2,100.0
cdp-realtime-mgmt-service,2,0,0.0
sdbstore,2,2,100.0
temporalworker,2,2,100.0
sfdw-entitlement-usage-service,2,0,0.0
cdp-internal-ingress-gateway,2,0,0.0
vegacache,2,2,100.0
tentacle,2,1,50.0
sdb,2,2,100.0
flowsnake-sparkui-proxy,2,2,100.0
cdp-query-service,2,0,0.0
cdp-metadata-service,2,0,0.0
cdp-insights-engine,2,0,0.0
raphty,2,1,50.0
funnelevents,2,0,0.0
cdp-data-service,2,0,0.0
funnellogs,2,0,0.0
ajnaendpoint,2,0,0.0
sdbzk,2,2,100.0
cdp-control-box,2,1,50.0
cantor,2,2,100.0
sdbselfhealing,2,2,100.0
temporalhistory,2,2,100.0
maiev-receiver,2,2,100.0
jit,2,1,50.0
sdbarchivalworker,2,2,100.0
cdp-segmentation-service,2,0,0.0
dp-master,2,2,100.0
sai-gateway,2,1,50.0
funnel,2,0,0.0
cdp-data-prep,2,0,0.0
ms-sre-hf-lab,2,2,100.0
eanalytics-cassandra,1,1,100.0
ccp-esproxy,1,1,100.0
scrt2-iamessage,1,1,100.0
scrt2-embeddedservice,1,1,100.0
mce-api-gateway,1,0,0.0
workload-identity,1,1,100.0
anypoint-flash-api-service,1,1,100.0
scrt2-singleton,1,1,100.0
ccp-server,1,1,100.0
psp-index-manager,1,0,0.0
ump-controller,1,0,0.0
e360-api-service,1,1,100.0
exchange-search-service,1,1,100.0
api-manager-platform-service,1,1,100.0
scrt2-persist,1,1,100.0
beacons-control-box,1,0,0.0
gov-capacity-manager,1,1,100.0
baas,1,0,0.0
ek-harmonization-service,1,0,0.0
fit-results-publisher,1,0,0.0
mce-hermes-service,1,0,0.0
p13n-process-object-service,1,0,0.0
clm-pdfgen-service,1,1,100.0
bdmpresto,1,1,100.0
scrt1zk,1,1,100.0
fawkes-api,1,1,100.0
ang-governance-report-service,1,1,100.0
fwe-bundler-data-adapter,1,1,100.0
einstein-transcribe,1,1,100.0
sdb-dbaas-broker,1,1,100.0
api-manager-policies-runtime-service,1,1,100.0
scrt2-admin,1,1,100.0
bundler-adapter-fedx,1,1,100.0
cdp-keda,1,0,0.0
gridforce-orca,1,1,100.0
exchange-ui,1,1,100.0
hawking-oauth2,1,0,0.0
cdp-beacon-ingress-gateway,1,0,0.0
anypoint-mq-admin-service,1,1,100.0
pkiinfra,1,0,0.0
copilot-p13n,1,1,100.0
anypoint-flash-notification-processor-service,1,1,100.0
fawkes-mq,1,1,100.0
eanalytics-lowlatency,1,1,100.0
fwe-o2-sb-optimization,1,1,100.0
sfs-eso-orchestrator,1,1,100.0
unstructured-realtime,1,0,0.0
scrt2-commongateway,1,1,100.0
cdp-activation-service,1,0,0.0
pbsmatch,1,1,100.0
cdp-query-federator,1,0,0.0
ang-catalog-service,1,1,100.0
dnr-k2s,1,0,0.0
cdp-mgmt-cmdgateway,1,0,0.0
apik-fedx,1,1,100.0
fmapigw,1,1,100.0
cdp-partner-activation-service,1,0,0.0
cce-byoc-poc-predictor,1,1,100.0
maps,1,1,100.0
hawking-compute-eks,1,0,0.0
hawking-ml-console,1,1,100.0
scalecenter,1,1,100.0
exchange-graph-node-service,1,1,100.0
dnr-partitioner,1,1,100.0
cdp-profile-engine,1,0,0.0
ums-http-blackhole,1,1,100.0
cdp-geo-provisioning-service,1,0,0.0
gridforce,1,1,100.0
hawking-istiod,1,0,0.0
ms-op-common-enrichment-service,1,1,100.0
scrt1lapp,1,1,100.0
seas-zk,1,1,100.0
exchange-publication-service,1,1,100.0
eanalytics-ed,1,1,100.0
ai-metadata-service,1,0,0.0
cdp-data-extractor-events,1,0,0.0
mllake,1,1,100.0
audit-log-ingest-service,1,1,100.0
mce-control-pod,1,0,0.0
private-linker-agent,1,1,100.0
dapp,1,1,100.0
exchange-custom-assets-facade-service,1,1,100.0
api-functional-monitoring-bat-execution-service,1,1,100.0
amg-topo-api,1,1,100.0
stele,1,1,100.0
dnr-search-troll,1,1,100.0
vaultlite,1,1,100.0
ace,1,1,100.0
exchange-asset-reviews-service,1,1,100.0
exchange-api-metadata-service,1,1,100.0
jarvisstatusreporter,1,1,100.0
fawkes-workflowui,1,1,100.0
qpid,1,1,100.0
splunkmadeira,1,0,0.0
certificateservices,1,0,0.0
tiim,1,0,0.0
