servicename,bom_prod_fkp,bom_prod_total,bom_prod_adoption_percent,bom_nonprod_fkp,bom_nonprod_total,bom_nonprod_adoption_percent,bom_prod_adoption,bom_nonprod_adoption
sdbstore,0,10,0.0,0,9,0.0,0/10 (0.0%),0/9 (0.0%)
sam,0,38,0.0,0,63,0.0,0/38 (0.0%),0/63 (0.0%)
sdbzk,0,10,0.0,0,9,0.0,0/10 (0.0%),0/9 (0.0%)
sdbarchivalworker,0,10,0.0,0,8,0.0,0/10 (0.0%),0/8 (0.0%)
sdb,0,49,0.0,0,53,0.0,0/49 (0.0%),0/53 (0.0%)
istio-shipping,0,46,0.0,0,72,0.0,0/46 (0.0%),0/72 (0.0%)
istio-operator,0,36,0.0,0,58,0.0,0/36 (0.0%),0/58 (0.0%)
istiod,0,36,0.0,0,58,0.0,0/36 (0.0%),0/58 (0.0%)
sdbselfhealing,0,10,0.0,0,7,0.0,0/10 (0.0%),0/7 (0.0%)
sdbcloudstore,0,6,0.0,0,7,0.0,0/6 (0.0%),0/7 (0.0%)
mesh-operator,0,36,0.0,0,56,0.0,0/36 (0.0%),0/56 (0.0%)
istio-copilot,0,36,0.0,0,58,0.0,0/36 (0.0%),0/58 (0.0%)
fit-controller-service,0,30,0.0,0,61,0.0,0/30 (0.0%),0/61 (0.0%)
louper-c,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
integration-test-service,0,30,0.0,0,61,0.0,0/30 (0.0%),0/61 (0.0%)
argo-rollout,0,23,0.0,0,43,0.0,0/23 (0.0%),0/43 (0.0%)
istio-ordering,0,30,0.0,0,54,0.0,0/30 (0.0%),0/54 (0.0%)
fit-validator,0,30,0.0,0,61,0.0,0/30 (0.0%),0/61 (0.0%)
ace,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
fit-test-twister,0,30,0.0,0,61,0.0,0/30 (0.0%),0/61 (0.0%)
steadybit-ext-aws,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
skywalker-reporter,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
steadybit-agent,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
istio-route-update-service,0,5,0.0,0,10,0.0,0/5 (0.0%),0/10 (0.0%)
istio-metrics-service,0,20,0.0,0,40,0.0,0/20 (0.0%),0/40 (0.0%)
hbase,0,6,0.0,0,9,0.0,0/6 (0.0%),0/9 (0.0%)
patching-bootloader-presigner,0,0,0,0,6,0.0,N/A,0/6 (0.0%)
onyx-engine,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
fmtetl,0,7,0.0,0,12,0.0,0/7 (0.0%),0/12 (0.0%)
temporalfrontend,0,2,0.0,0,5,0.0,0/2 (0.0%),0/5 (0.0%)
fmapids,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
ingressgateway,0,45,0.0,0,142,0.0,0/45 (0.0%),0/142 (0.0%)
safe-monitor,0,1,0.0,0,5,0.0,0/1 (0.0%),0/5 (0.0%)
onyx-agent,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
temporalworker,0,2,0.0,0,5,0.0,0/2 (0.0%),0/5 (0.0%)
temporalhistory,0,2,0.0,0,5,0.0,0/2 (0.0%),0/5 (0.0%)
temporalmatching,0,2,0.0,0,5,0.0,0/2 (0.0%),0/5 (0.0%)
ingressassistant,0,19,0.0,0,37,0.0,0/19 (0.0%),0/37 (0.0%)
onyx-engine-control-pod,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
private-linker-agent,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
skywalker,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
temporalui,0,2,0.0,0,5,0.0,0/2 (0.0%),0/5 (0.0%)
fmt-tooling,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
fmapigw,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
op-common-config-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ang-governance-validation-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-dependency-resolver-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ang-governance-xapi-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-functional-monitoring-bat-worker-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-graph-node-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
cp-metrics-reporting-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
design-center-projects-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-alf-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-asset-portals-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-mq-admin-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-contract-caching-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-metering-pump-job,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-mq-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-observability-xapi-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
service-mesh-xapi-service,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
audit-log-ingest-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
deploy-webserver-anypoint,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
audit-log-query-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
mocking-backend-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ang-catalog-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-policies-runtime-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
traffic-policy-operator,0,7,0.0,0,14,0.0,0/7 (0.0%),0/14 (0.0%)
api-manager-proxies-xapi-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amf-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-functional-monitoring-bat-analytics-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
cfm-configuration-manager-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-adam-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-flash-notification-processor-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-platform-alerts,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ang-governance-console-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
project-view-producer-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-asset-manager-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-functional-monitoring-bat-asset-provider-results-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ang-governance-report-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-asset-reviews-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
mulesoft-auth-server-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-platform-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
audit-log-deleter,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-file-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-secrets-manager-operator,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-functional-monitoring-bat-scheduler-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-asset-publication-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-cli-backend-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-functional-monitoring-bat-execution-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-functional-monitoring-bat-asset-provider-artifacts-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-search-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-mq-stats-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-op-common-metadata-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ang-publication-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-flash-api-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-publication-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-asset-type-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
audit-log-consumer-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sagas-server-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-auth-proxy-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sre-feature-flag-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-api-metadata-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-flash-api-db-migrations,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
mulesoft-anypoint-admin-console,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-proxy-builder-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
mulesoft-anypoint-signin,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
design-center-git-http-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-maven-facade-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-platform-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-xapi-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
mulesoft-authentication-server,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-mpki-server,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-observability-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-custom-assets-facade-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-secrets-manager-vault,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-operator,0,7,0.0,0,14,0.0,0/7 (0.0%),0/14 (0.0%)
ang-catalog-jobs-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
uap-heartbeat-service,0,6,0.0,0,14,0.0,0/6 (0.0%),0/14 (0.0%)
exchange-rest-connect-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
exchange-customization-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-op-common-enrichment-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-secrets-manager-provider,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
argo-workflows,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
cloudcps,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
smszk,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
smscanary,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
smsapi,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
gridforce,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
trino-gateway,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
bdmpresto,0,3,0.0,0,5,0.0,0/3 (0.0%),0/5 (0.0%)
maiev-receiver,0,3,0.0,0,5,0.0,0/3 (0.0%),0/5 (0.0%)
sdb-trace-analytics,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
sdb-healthreports,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
fawkes-workflowui,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
sdb-file-notification,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
cantor,0,3,0.0,0,5,0.0,0/3 (0.0%),0/5 (0.0%)
sdb-lens,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
bdmpresto-hive-metastore,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
fawkes-mongo,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
fawkes-platform,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
fawkes-mq,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
fawkes-ui,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
fawkes-api,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
bdmpresto-superset,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
prom-alert-enrichment-service,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
seas-solr,0,9,0.0,0,6,0.0,0/9 (0.0%),0/6 (0.0%)
wardenwebhook,0,4,0.0,0,7,0.0,0/4 (0.0%),0/7 (0.0%)
seas-query-service,0,9,0.0,0,6,0.0,0/9 (0.0%),0/6 (0.0%)
seas-zk,0,9,0.0,0,6,0.0,0/9 (0.0%),0/6 (0.0%)
seas-control-plane,0,9,0.0,0,6,0.0,0/9 (0.0%),0/6 (0.0%)
hawking-app-deployment,0,16,0.0,0,24,0.0,0/16 (0.0%),0/24 (0.0%)
ccp-jobstate,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
automl-scoring-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
hawking-feast-core,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
interactive-data-science,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
ccp-submitter,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
egpt-svc-llm-proxy,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
egpt-svc-feedback,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
graph-execution-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
