servicename,bom_prod_fkp,bom_prod_total,bom_prod_adoption_percent,bom_nonprod_fkp,bom_nonprod_total,bom_nonprod_adoption_percent,bom_prod_adoption,bom_nonprod_adoption
istio-components,0,36,0.0,0,58,0.0,0/36 (0.0%),0/58 (0.0%)
servicemesh,0,36,0.0,0,58,0.0,0/36 (0.0%),0/58 (0.0%)
istio-namespaces,0,36,0.0,0,58,0.0,0/36 (0.0%),0/58 (0.0%)
istio-mesh-config,0,20,0.0,0,40,0.0,0/20 (0.0%),0/40 (0.0%)
fit-operations,0,30,0.0,0,61,0.0,0/30 (0.0%),0/61 (0.0%)
ingressconfig,0,19,0.0,0,37,0.0,0/19 (0.0%),0/37 (0.0%)
fmrds,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
temporalresourcemanager,0,2,0.0,0,5,0.0,0/2 (0.0%),0/5 (0.0%)
rabbitmq-external-sfmp,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
design-center-projects-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amc-atlas,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
project-view-topics-creator-job,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-metrics-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-secrets-manager-api,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
afm-service-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-platform-db-migrations,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ang-catalog-sg-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-metering-api,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
visualizer-experience-api,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-metering-sequoia-processor,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-activities-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-contract-caching-db-migrations,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
b2b-solution-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-logs-kafka-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
b2b-solution-tracking-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-log-aggregator-server,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sagas-messaging-nats,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-secrets-manager-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
rtf-tf-management-db-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amc-automation,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-traces-stream-processor-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-traces-kafka-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
rtf-cloud-recurring-jobs,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-op-druid-events-store,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-designer-xapi,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
security-fabric-edge-server-ser,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-metering-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-log-aggregator-monitor,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-activities-kafka-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-traces-processor,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-icons,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
rtf-runtime-registry,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
acm-acm-api-experience-hub-api-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-logs-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
