month,month_name,falcon_instance,functional_domain,environment,cluster,avg_cpu,node_count,avg_pod_count,efficiency_indicator
2025-04,April,aws-prod0-uswest2,core1,prod,sam-processing1,75.0,1418,54.03,Moderately Efficient
2025-04,April,aws-prod1-useast1,core1,prod,sam-processing1,81.72,6350,57.44,Efficient
2025-04,April,aws-prod1-useast1,core1,prod,sam-processing2,76.17,1992,33.6,Moderately Efficient
2025-04,April,aws-prod10-apsoutheast1,core1,prod,sam-processing1,72.15,396,64.04,Moderately Efficient
2025-04,April,aws-prod11-saeast1,core1,prod,sam-processing1,80.05,1698,54.93,Efficient
2025-04,April,aws-prod12-euwest3,core1,prod,sam-processing1,80.54,3537,48.26,Efficient
2025-04,April,aws-prod13-euwest2,core1,prod,sam-processing1,81.61,3176,52.32,Efficient
2025-04,April,aws-prod13-euwest2,core1,prod,sam-processing2,51.28,240,32.03,Moderately Efficient
2025-04,April,aws-prod14-apnortheast2,core1,prod,sam-processing1,66.54,506,63.46,Moderately Efficient
2025-04,April,aws-prod15-eucentral2,core1,prod,sam-processing1,68.09,1095,60.17,Moderately Efficient
2025-04,April,aws-prod16-eunorth1,core1,prod,sam-processing1,82.81,3981,50.53,Efficient
2025-04,April,aws-prod16-eunorth1,core1,prod,sam-processing2,36.35,217,29.55,Inefficient
2025-04,April,aws-prod17-apsoutheast3,core1,prod,sam-processing1,64.62,444,67.11,Moderately Efficient
2025-04,April,aws-prod18-mecentral1,core1,prod,sam-processing1,67.45,280,72.88,Moderately Efficient
2025-04,April,aws-prod19-eusouth1,core1,prod,sam-processing1,80.16,2132,52.07,Efficient
2025-04,April,aws-prod2-apsouth1,core1,prod,sam-processing1,78.27,3518,61.37,Moderately Efficient
2025-04,April,aws-prod2-apsouth1,core1,prod,sam-processing2,69.34,5284,33.27,Moderately Efficient
2025-04,April,aws-prod20-ilcentral1,core1,prod,sam-processing1,76.55,72,75.04,Moderately Efficient
2025-04,April,aws-prod21-useast2,core1,prod,sam-processing1,81.92,5807,53.84,Efficient
2025-04,April,aws-prod21-useast2,core1,prod,sam-processing2,72.53,3873,31.61,Moderately Efficient
2025-04,April,aws-prod22-apnortheast3,core1,prod,sam-processing-sc1,43.48,180,34.19,Inefficient
2025-04,April,aws-prod22-apnortheast3,core1,prod,sam-processing-sc2,41.15,118,34.54,Inefficient
2025-04,April,aws-prod22-apnortheast3,core1,prod,sam-processing-sc3,38.04,131,33.31,Inefficient
2025-04,April,aws-prod22-apnortheast3,core1,prod,sam-processing-sc5,39.64,145,33.69,Inefficient
2025-04,April,aws-prod22-apnortheast3,core1,prod,sam-processing1,82.63,61,103.16,Efficient
2025-04,April,aws-prod24-apsouth2,core1,prod,sam-processing-sc1,43.19,242,40.37,Inefficient
2025-04,April,aws-prod24-apsouth2,core1,prod,sam-processing-sc3,37.35,108,39.21,Inefficient
2025-04,April,aws-prod24-apsouth2,core1,prod,sam-processing1,82.53,68,663.15,Efficient
2025-04,April,aws-prod3-eucentral1,core1,prod,sam-processing1,80.97,4483,50.06,Efficient
2025-04,April,aws-prod3-eucentral1,core1,prod,sam-processing2,45.9,755,29.8,Inefficient
2025-04,April,aws-prod4-apsoutheast2,core1,prod,sam-processing1,84.19,2140,54.51,Efficient
2025-04,April,aws-prod8-cacentral1,core1,prod,sam-processing1,82.06,1772,54.71,Efficient
2025-04,April,aws-prod9-apnortheast1,core1,prod,sam-processing1,83.8,2883,47.2,Efficient
2025-04,April,aws-stage1-useast2,core1,staging,sam-processing-sc1,21.56,337,39.51,Inefficient
2025-04,April,aws-stage1-useast2,core1,staging,sam-processing1,72.06,395,181.56,Moderately Efficient
2025-04,April,aws-stage1-useast2,core1,staging,sam-processing2,22.2,184,45.31,Inefficient
2025-04,April,dev1-uswest2,core002,dev,sam-bigdata1,67.13,88,99.58,Inefficient
2025-04,April,dev1-uswest2,core002,dev,sam-bigdata2,63.1,85,95.37,Inefficient
2025-04,April,dev1-uswest2,core002,dev,sam-bigdata3,37.0,42,107.85,Inefficient
2025-04,April,dev1-uswest2,core002,dev,sam-processing-sc1,39.77,391,59.65,Inefficient
2025-04,April,dev1-uswest2,core002,dev,sam-processing00001,71.72,3234,92.3,Moderately Efficient
2025-04,April,dev1-uswest2,core002,dev,sam-processing00002,28.7,486,60.89,Inefficient
2025-04,April,perf1-useast2,core1,perf,sam-bigdata1,27.17,77,49.42,Inefficient
2025-04,April,perf1-useast2,core1,perf,sam-processing-sc1,54.14,250,66.88,Inefficient
2025-04,April,perf1-useast2,core1,perf,sam-processing1,58.84,9618,63.01,Inefficient
2025-04,April,perf1-useast2,core1,perf,sam-processing2,51.05,253,68.48,Inefficient
2025-04,April,perf1-useast2,core1,perf,sam-processing3,53.91,252,67.79,Inefficient
2025-04,April,test1-uswest2,core3,test,sam-processing-sc1,74.35,266,63.05,Moderately Efficient
2025-04,April,test1-uswest2,core3,test,sam-processing00001,71.16,5208,76.2,Moderately Efficient
2025-04,April,test1-uswest2,core4,test,sam-processing-sc1,63.14,512,47.65,Inefficient
2025-04,April,test1-uswest2,core4,test,sam-processing1,78.02,4831,107.33,Moderately Efficient
2025-04,April,test1-uswest2,core4,test,sam-processing2,71.28,253,90.5,Moderately Efficient
2025-04,April,test1-uswest2,core4,test,sam-processing3,72.92,4134,43.71,Moderately Efficient
2025-05,May,aws-prod0-uswest2,core1,prod,sam-processing1,73.03,808,63.93,Moderately Efficient
2025-05,May,aws-prod1-useast1,core1,prod,sam-processing1,80.06,8159,55.66,Efficient
2025-05,May,aws-prod1-useast1,core1,prod,sam-processing2,75.53,2676,32.95,Moderately Efficient
2025-05,May,aws-prod10-apsoutheast1,core1,prod,sam-processing1,72.25,452,68.39,Moderately Efficient
2025-05,May,aws-prod11-saeast1,core1,prod,sam-processing1,78.22,2348,52.64,Moderately Efficient
2025-05,May,aws-prod12-euwest3,core1,prod,sam-processing1,80.43,4059,46.88,Efficient
2025-05,May,aws-prod13-euwest2,core1,prod,sam-processing1,80.4,4885,50.35,Efficient
2025-05,May,aws-prod13-euwest2,core1,prod,sam-processing2,47.02,669,32.42,Inefficient
2025-05,May,aws-prod14-apnortheast2,core1,prod,sam-processing1,59.66,754,58.55,Moderately Efficient
2025-05,May,aws-prod15-eucentral2,core1,prod,sam-processing1,65.16,1483,56.79,Moderately Efficient
2025-05,May,aws-prod16-eunorth1,core1,prod,sam-processing1,81.98,5888,47.8,Efficient
2025-05,May,aws-prod16-eunorth1,core1,prod,sam-processing2,37.01,652,30.72,Inefficient
2025-05,May,aws-prod17-apsoutheast3,core1,prod,sam-processing1,57.51,791,63.0,Moderately Efficient
2025-05,May,aws-prod18-mecentral1,core1,prod,sam-processing1,60.05,624,70.27,Moderately Efficient
2025-05,May,aws-prod19-eusouth1,core1,prod,sam-processing1,81.61,2227,50.73,Efficient
2025-05,May,aws-prod2-apsouth1,core1,prod,sam-processing1,75.24,4414,60.41,Moderately Efficient
