servicename,total_count,on_fkp,percent_on_fkp
safe-monitor,599,250,41.7
kube-pod-recycler,304,253,83.2
sam,258,258,100.0
istio-shipping,251,251,100.0
argo-rollout,244,242,99.2
istio-operator,235,235,100.0
fit-controller-service,190,101,53.2
integration-test-service,187,95,50.8
fit-test-twister,184,95,51.6
kaaskeywatcher,147,57,38.8
istiod,144,144,100.0
spo,140,140,100.0
fit-validator,129,79,61.2
istio-ordering,128,128,100.0
istio-metrics-service,126,126,100.0
mesh-operator,124,124,100.0
istio-copilot,124,124,100.0
ingressgateway,122,121,99.2
kaaswebhook,121,57,47.1
ingressassistant,119,119,100.0
ajnakafka,65,3,4.6
ajnakmf,65,3,4.6
ajnawrangler,65,3,4.6
ajnazac,64,3,4.7
ajnaloadmgr,64,3,4.7
hbase,61,15,24.6
anypoint-operator,60,60,100.0
traffic-policy-operator,60,60,100.0
wardenwebhook,46,46,100.0
flowsnake-impersonation-proxy,43,21,48.8
ajnaoperator,41,0,0.0
sdbstore,40,40,100.0
sdbzk,40,40,100.0
ajna-self-service,39,0,0.0
ajnalionsgate,36,0,0.0
sdb,33,33,100.0
sdbselfhealing,33,33,100.0
uap-heartbeat-service,32,32,100.0
sdbarchivalworker,30,30,100.0
fs-flowsnake,30,18,60.0
steadybit-agent,30,29,96.7
steadybit-ext-container,29,28,96.6
steadybit-ext-host,29,28,96.6
steadybit-ext-http,29,28,96.6
steadybit-ext-kubernetes,29,28,96.6
steadybit-canary-ordering,28,27,96.4
steadybit-canary-shipping,28,27,96.4
oob-telemetry-collector,27,3,11.1
ajnaendpoint,27,3,11.1
grls-operator,26,26,100.0
sdbcloudstore,26,26,100.0
cdp-data-processing-controller,26,2,7.7
hyperforce-service-protection,26,26,100.0
ajnatopicdeployer,25,3,12.0
flowsnake-spark-operator,23,1,4.3
innerloop-controller,23,23,100.0
gridforce-orca,22,14,63.6
funnellogs,21,13,61.9
funnelevents,21,13,61.9
rediscluster-manager,21,21,100.0
ajnatopicapi,21,2,9.5
funnel,21,13,61.9
cdp-inference-engine,20,0,0.0
vegacache,20,20,100.0
sfcd-argo-workflows,19,18,94.7
cdp-istio,18,0,0.0
cdp-internal-ingress-gateway,18,0,0.0
quantumk,18,9,50.0
vault-accelerator,17,9,52.9
cdp-data-service,16,0,0.0
cdp-metadata-service,16,0,0.0
cdp-insights-engine,16,0,0.0
patching-bootloader-presigner,16,16,100.0
komputegroup,16,16,100.0
cdp-data-prep,16,0,0.0
kaasslavekdc,16,0,0.0
temporalhistory,15,15,100.0
temporalui,15,15,100.0
cdp-query-service,15,1,6.7
temporalworker,15,15,100.0
temporalfrontend,15,15,100.0
temporalmatching,15,15,100.0
cdp-realtime-mgmt-service,14,0,0.0
cdp-activation-service,14,0,0.0
c4ssh,14,6,42.9
fit-results-publisher,13,1,7.7
cdp-segmentation-service,13,0,0.0
network-access-controller,13,4,30.8
cdp-profile-engine,13,0,0.0
performance,13,13,100.0
zero-object-service,12,12,100.0
psp-index-manager,12,0,0.0
cdp-envoy-metrics-scraper,12,0,0.0
cdp-data-transformation-service,12,0,0.0
waas-rate-limiter,12,8,66.7
ura,12,9,75.0
waas-redis,12,8,66.7
ump-controller,12,2,16.7
cloudwatchexporter,12,1,8.3
argo-workflows,12,12,100.0
ek-harmonization-service,12,1,8.3
kubernetesiesta,12,7,58.3
fit-org-service,12,2,16.7
fit-gdot-service,11,9,81.8
p13n-attribution-engine,11,0,0.0
ajnamirus,11,1,9.1
cdp-data-ingestion-service,11,0,0.0
cdp-gdpr-service,11,2,18.2
cdp-data-extractor-events,11,0,0.0
fps-argo-workflows,10,10,100.0
sdpl-rollouts-demo,10,10,100.0
flowsnake-history-server,10,10,100.0
workload-identity,10,10,100.0
pkicontroller,10,9,90.0
cdp-control-box,10,3,30.0
sfdw-entitlement-usage-service,10,0,0.0
smsapi,10,10,100.0
tentacle,10,10,100.0
fps-ui,10,10,100.0
quantumks2s,10,8,80.0
smscanary,9,9,100.0
skywalker,9,9,100.0
smszk,9,9,100.0
l7waf-reporter,9,9,100.0
cdp-data-connectors-jobs,9,0,0.0
kwaf-driver,9,9,100.0
waas-logstash,9,9,100.0
waas-events-fetcher,9,9,100.0
policy-distribution,9,9,100.0
waas-validation-controller,9,9,100.0
sequencer,9,9,100.0
secdsk8s,9,9,100.0
cdp-hyperdb,9,0,0.0
kmsdb-backup-validation,9,9,100.0
terraform,9,0,0.0
raphty,9,9,100.0
waas-gui,9,9,100.0
waas-profiles-crud,9,9,100.0
waas-elasticsearch,9,9,100.0
fps-atlas,9,9,100.0
edge,9,0,0.0
cdp-realtime-service,9,0,0.0
waas-controller,9,9,100.0
registry,9,0,0.0
cdp-authentication-service,9,2,22.2
cdp-billing-service,8,1,12.5
onyx-agent,8,8,100.0
seciamsvc,8,8,100.0
moncloud-events,8,8,100.0
matlockauthrad,8,8,100.0
kaasmasterkdc,8,0,0.0
qpid,8,8,100.0
kaaskeymaker,8,0,0.0
praui,8,6,75.0
cdp-partner-activation-service,8,2,25.0
cdp-admin-service,8,1,12.5
tiim,8,0,0.0
dp-master,8,8,100.0
strauz,8,8,100.0
defender,8,0,0.0
coreapp,8,8,100.0
bharosa,8,8,100.0
edc-model-builder,8,0,0.0
cloudcps,8,8,100.0
flowsnake-sparkui-proxy,8,8,100.0
retail-cloud-search-zk,7,7,100.0
e360-metadata-service,7,7,100.0
cdp-settingspath-injector,7,0,0.0
einstein-ai-gateway,7,7,100.0
retail-cloud-tools,7,7,100.0
cdp-istio-ingress-gateway,7,0,0.0
data-resilience,7,7,100.0
cdp-actions-service,7,1,14.3
cdp-pra-istio-ingress-gateway,7,0,0.0
cdp-scheduler-service,7,0,0.0
cdp-infra,7,0,0.0
safe-daemonset,7,7,100.0
eanalytics,7,0,0.0
e360-tracking-service,7,7,100.0
stargate,7,0,0.0
fwe-platform-ft,7,7,100.0
cdp-geo-provisioning-service,7,1,14.3
cdp-mgmt-cmdgateway,7,0,0.0
e360-queue-manager-service,7,7,100.0
eanalytics-buzzard,7,0,0.0
e360-whatsapp,7,7,100.0
cdp-mgmt-jit-ui,7,0,0.0
dc-graph-execution-service,7,7,100.0
elements,7,0,0.0
e360-whatsapp-receiver,7,7,100.0
hawking-istio-igw,7,0,0.0
cdp-data-sync-service,7,0,0.0
cdp-data-extractor-crm-service,7,0,0.0
cdp-keda,7,0,0.0
hawking-istio-operator,7,0,0.0
cdp-data-connectors,7,0,0.0
e360-worker,7,7,100.0
cdp-eks,7,0,0.0
cdp-dpc-eks,7,0,0.0
hawking-istiod,7,0,0.0
credential-service,7,0,0.0
cdp-iceberg-explorer,7,0,0.0
e360-api-service,7,7,100.0
sdpl-validation,7,5,71.4
sdb-tenant-router,7,7,100.0
entities-predictor,6,6,100.0
api-service,6,6,100.0
chronicle-loki,6,6,100.0
cdp-beacon-ingress-gateway,6,0,0.0
l7waf-testapp,6,6,100.0
p13n-process-object-service,6,0,0.0
perfometr,6,6,100.0
einstein-watcher,6,6,100.0
vaultlite,6,6,100.0
sdb-dbaas-broker,6,6,100.0
intent-predictor,6,6,100.0
amg-topo-tools,6,3,50.0
hawking-compute-eks,6,0,0.0
seas-zk,6,6,100.0
egpt-svc-feedback,6,6,100.0
ccp-tracker,6,6,100.0
retail-cloud-promotion,6,6,100.0
managed-runtime-backend,6,6,100.0
e360-sms-service,6,6,100.0
triton,6,6,100.0
gridforce,6,3,50.0
chronicle-server,6,6,100.0
prediction,6,6,100.0
mllake,6,6,100.0
einstein-transcribe,6,6,100.0
eflow-scheduler,6,6,100.0
eflow-orchestration,6,6,100.0
hawking-ai-observability,6,6,100.0
cdp-data-extractor-dispatcher,6,0,0.0
smartagent-predictor,6,6,100.0
hawking-app-deployment,6,6,100.0
ccp-eventprocessor,6,6,100.0
cdp-airflow-service,6,0,0.0
output-connector,6,6,100.0
hawking-compute-proxy,6,0,0.0
eflow-flow-history,6,6,100.0
p13n-decisioning-pipeline,6,0,0.0
retail-cloud-pos-vitals-client,6,6,100.0
seas-query-service,6,6,100.0
seas-solr,6,6,100.0
bifrost,6,6,100.0
bot-svc-llmagent,6,6,100.0
mvs,6,6,100.0
retail-cloud-search-solr,6,6,100.0
modelstore,6,6,100.0
auth-service,6,6,100.0
copilot-p13n,6,4,66.7
cdp-beacon-metrics-scraper,6,0,0.0
ois,6,6,100.0
cdp-beacon-istio,6,0,0.0
tenant-registration-operator,6,6,100.0
ccp-server,6,6,100.0
data-prism,6,6,100.0
data-cloud-segment-gen-ai,6,6,100.0
graph-execution-service,6,6,100.0
automl-scoring-service,6,6,100.0
normalization,6,6,100.0
hawking-oauth2,6,0,0.0
wc-processor,6,6,100.0
retail-cloud-feed,6,6,100.0
retail-cloud-cms-frontend,6,6,100.0
retail-cloud-pos,6,6,100.0
fmapigw,6,6,100.0
ccp-jobstate,6,6,100.0
cdp-data-capture-eks,6,0,0.0
ccp-submitter,6,6,100.0
pcs-hogs,6,0,0.0
semantic-analytics-agent,6,6,100.0
seas-control-plane,6,6,100.0
pradsm,6,6,100.0
container-replicator,6,0,0.0
bot-svc-llm,6,6,100.0
cce-byoc-poc-predictor,6,6,100.0
k2kkeybroker,6,6,100.0
ai-metadata-service,6,0,0.0
ccp-esproxy,6,6,100.0
ml-res-evaluator,6,6,100.0
chronicle-alertmanager,6,6,100.0
beacons-control-box,6,0,0.0
provisioning-service,6,6,100.0
wc-adapter,6,6,100.0
hawking-ml-console,6,6,100.0
polarity-predictor,6,6,100.0
interactive-data-science,6,6,100.0
arm-adam-service,5,5,100.0
tabcld-dataserver,5,5,100.0
tabcld-backgrounder-system-thumbnails,5,5,100.0
sdbperftools-hf,5,5,100.0
exchange-graph-node-service,5,5,100.0
api-designer-xapi,5,5,100.0
ms-mpki-server,5,5,100.0
argus-opentsdb-write,5,5,100.0
cdp-byoc,5,4,80.0
tabcld-backgrounder-extract-refresh,5,5,100.0
api-manager-proxy-builder-service,5,5,100.0
cdp-multiorg-service,5,0,0.0
amg-s2a-api,5,2,40.0
tabcld-vizdata-service-http,5,5,100.0
acm-acm-api-experience-hub-ui,5,5,100.0
cdp-policy-engine,5,0,0.0
amg-topo-api,5,2,40.0
tabcld-dataprofiling,5,5,100.0
deploy-webserver-anypoint,5,5,100.0
dapp,5,5,100.0
amg-api,5,2,40.0
tabcld-floweditor,5,5,100.0
retail-cloud-sb-integration,5,5,100.0
tabcld-workbook-persistence-service,5,5,100.0
amg-versionvector-api,5,2,40.0
visualizer-experience-api,5,5,100.0
oob-collector,5,0,0.0
edc-director,5,0,0.0
p13n-recommendation-engine,5,0,0.0
scrt2-tenyx-telephony-event-manager-service,5,5,100.0
semantic-query-preparer,5,5,100.0
arm-alf-service,5,5,100.0
ang-catalog-service,5,5,100.0
platform-radio,5,5,100.0
usms-inbound-smpp-dr,5,5,100.0
tabcld-flow-minerva,5,5,100.0
access-management-bcrypt-as-a-service,5,5,100.0
tabcld-vizdata-service-haproxy,5,5,100.0
tabcld-user-interaction-service,5,5,100.0
sagas-server-service,5,5,100.0
tabcld-backgrounder-flow,5,5,100.0
chronicle-zk,5,5,100.0
tabcld-launchdarkly-relay-proxy-offline,5,5,100.0
seas-console,5,5,100.0
knative-serving,5,5,100.0
api-functional-monitoring-bat-asset-provider-results-service,5,5,100.0
api-functional-monitoring-bat-xapi-service,5,5,100.0
ang-governance-xapi-service,5,5,100.0
eaas,5,5,100.0
semantic-query-manager,5,5,100.0
chronicle-argus-adapter,5,5,100.0
tabcld-edgepoolregistry,5,5,100.0
tabcld-content-exploration,5,5,100.0
sam-fedx-service,5,5,100.0
tabcld-flowprovider,5,5,100.0
eventbusruntime,5,5,100.0
data-cloud-cdp-fabric-access,5,0,0.0
e360-sms-send-service,5,5,100.0
splunkmadeira,5,1,20.0
mulesoft-anypoint-signin,5,5,100.0
mocking-backend-service,5,5,100.0
cdp-data-collaboration,5,0,0.0
ms-secrets-manager-provider,5,5,100.0
ms-metrics-processor,5,5,100.0
e360-push-event-processor,5,5,100.0
mulesoft-auth-server-ui,5,5,100.0
service-mesh-xapi-service,5,5,100.0
tabcld-vizqlserver,5,5,100.0
tabcld-backgrounder-subscription,5,5,100.0
temporal-sample-worker-go,5,5,100.0
api-observability-xapi-service,5,5,100.0
retail-cloud-pos-vitals,5,5,100.0
tabcld-vizdata-service,5,5,100.0
maiev-receiver,5,5,100.0
ang-catalog-jobs-service,5,5,100.0
scrt2-stream-processor,5,5,100.0
ms-secrets-manager-operator,5,5,100.0
unstructured-realtime,5,0,0.0
mule-dx-ms-integration-ai-service,5,5,100.0
tabcld-recommendations-service,5,5,100.0
api-manager-asset-publication-service,5,5,100.0
tabcld-minerva,5,5,100.0
prism-nl2sql,5,5,100.0
cdp-math,5,1,20.0
inbound-mta,5,5,100.0
tabcld-worker,5,5,100.0
chronicle-cloudwatch-exporter,5,5,100.0
retail-cloud-integration,5,5,100.0
tabcld-postgres-collector,5,5,100.0
audit-log-deleter,5,5,100.0
ang-governance-console-ui,5,5,100.0
chronicle-oracle-exporter,5,5,100.0
tabcld-hyper,5,5,100.0
retail-cloud-cms-backend,5,5,100.0
hawking-feast-core,5,5,100.0
ms-op-druid-operator,5,5,100.0
exchange-rest-connect-service,5,5,100.0
tua-insights-service,5,5,100.0
cantor,5,5,100.0
arm-platform-alerts,5,5,100.0
scrt2-tenyx-voice-agent-service,5,5,100.0
e360-consent,5,5,100.0
anypoint-cli-backend-service,5,5,100.0
mule-dx-xapi-ai-service,5,5,100.0
tabcld-backgrounder-dda,5,5,100.0
amg-governance,5,2,40.0
chronicle-orchestrator,5,5,100.0
evf-service,5,5,100.0
thb-transcript-handler,5,5,100.0
fpaas,5,5,100.0
tabcld-publishedconnection,5,5,100.0
chronicle-grafana,5,5,100.0
cdp-catalog,5,0,0.0
tabcld-backgrounder-scheduler,5,5,100.0
tabcld-credentials-service,5,5,100.0
tabcld-collections-service,5,5,100.0
tabcld-content-draft-metadata-service,5,5,100.0
cdp-query-federator,5,0,0.0
tabcld-scheduling-service,5,5,100.0
tabcld-backgrounder-system-no-dep,5,5,100.0
ms-secrets-manager-vault,5,5,100.0
ms-op-druid-events-zk,5,5,100.0
semantic-engine-gateway,5,5,100.0
mulesoft-authentication-server,5,5,100.0
mulesoft-anypoint-admin-console,5,5,100.0
audit-log-ingest-service,5,5,100.0
object-store-stats-service,5,5,100.0
amg-data,5,2,40.0
thb-voice-event-relay,5,5,100.0
hawking-feast-serving,5,5,100.0
design-center-git-http-service,5,5,100.0
edc-inference,5,0,0.0
