servicename,total_count,on_fkp,percent_on_fkp
sam,689,689,100.0
istio-operator,685,685,100.0
istio-shipping,684,684,100.0
argo-rollout,632,632,100.0
integration-test-service,611,294,48.1
fit-controller-service,538,294,54.6
fit-test-twister,536,294,54.9
istio-ordering,382,382,100.0
ingressgateway,372,372,100.0
istio-metrics-service,371,371,100.0
istiod,371,371,100.0
istio-copilot,370,370,100.0
mesh-operator,370,370,100.0
ingressassistant,369,369,100.0
kaaskeywatcher,360,185,51.4
kaaswebhook,302,185,61.3
fit-validator,261,174,66.7
safe-monitor,211,103,48.8
traffic-policy-operator,207,207,100.0
anypoint-operator,206,206,100.0
cdp-data-processing-controller,184,0,0.0
ajnaloadmgr,181,0,0.0
ajnakmf,181,0,0.0
ajnawrangler,181,0,0.0
ajnakafka,181,0,0.0
cdp-inference-engine,170,0,0.0
cdp-data-prep,152,0,0.0
sdb,152,152,100.0
sdbstore,152,152,100.0
sdbzk,152,152,100.0
sdbselfhealing,151,151,100.0
sdbarchivalworker,148,148,100.0
cdp-metadata-service,147,0,0.0
sdbcloudstore,144,144,100.0
wardenwebhook,138,138,100.0
cdp-data-service,138,0,0.0
cdp-insights-engine,133,0,0.0
cdp-profile-engine,131,0,0.0
patching-bootloader-presigner,128,128,100.0
cdp-data-extractor-events,126,0,0.0
ajna-self-service,123,0,0.0
cdp-data-transformation-service,118,0,0.0
cdp-activation-service,112,0,0.0
sfdw-entitlement-usage-service,111,0,0.0
flowsnake-impersonation-proxy,106,50,47.2
hbase,102,29,28.4
p13n-attribution-engine,96,0,0.0
cdp-data-connectors-jobs,93,0,0.0
fs-flowsnake,91,47,51.6
ajnalionsgate,90,0,0.0
ajnatopicapi,89,0,0.0
ajnatopicdeployer,86,0,0.0
zero-object-service,80,80,100.0
cdp-istio,78,0,0.0
cdp-internal-ingress-gateway,78,0,0.0
cdp-gdpr-service,76,0,0.0
cdp-query-service,76,0,0.0
cdp-data-ingestion-service,75,0,0.0
ajnaendpoint,72,0,0.0
cdp-segmentation-service,70,0,0.0
cdp-realtime-mgmt-service,68,0,0.0
edc-model-builder,67,0,0.0
cdp-envoy-metrics-scraper,66,0,0.0
temporalhistory,65,65,100.0
temporalui,65,65,100.0
temporalfrontend,65,65,100.0
temporalworker,65,65,100.0
temporalmatching,65,65,100.0
kube-pod-recycler,63,63,100.0
vault-policy-manager,63,25,39.7
rediscluster-manager,59,59,100.0
vegacache,58,58,100.0
flowsnake-spark-operator,58,2,3.4
uap-heartbeat-service,57,57,100.0
waas-rate-limiter,54,46,85.2
kaasslavekdc,54,0,0.0
waas-redis,54,46,85.2
gridforce-orca,53,33,62.3
funnellogs,53,27,50.9
funnelevents,53,27,50.9
funnel,53,27,50.9
vault-accelerator,51,26,51.0
ura,50,26,52.0
c4ssh,49,15,30.6
waas-validation-controller,47,47,100.0
psp-index-manager,47,0,0.0
waas-profiles-crud,46,46,100.0
waas-events-fetcher,46,46,100.0
waas-controller,46,46,100.0
waas-elasticsearch,46,46,100.0
waas-gui,46,46,100.0
pkiinfra,46,0,0.0
waas-logstash,46,46,100.0
l7waf-reporter,45,45,100.0
