servicename,total_instance_count,total_on_fkp,nonprod_instance_count,nonprod_migration,prod_instance_count,prod_migration
a11y-agent,1,1,1,1,0,0
abs-graphql,1,1,1,1,0,0
access-management-azure-ad-oidc-wrapper,6,6,3,3,3,3
access-management-bcrypt-as-a-service,11,11,5,5,6,6
access-management-comm-2-hf-poc-falcon,1,1,1,1,0,0
ace,3,3,1,1,2,2
ace-podtap,2,2,1,1,1,1
aceml-job-scheduler,5,5,2,2,3,3
aceml-runner,5,5,2,2,3,3
aceml-scheduler,1,1,1,1,0,0
acm-acm-api-experience-hub-api-service,5,5,2,2,3,3
acm-acm-api-experience-hub-ui,11,11,5,5,6,6
acm-acm-community-bridge-service,6,6,3,3,3,3
acp-agenticops-mcp-servers,1,1,1,1,0,0
acp-observability-client,3,3,1,1,2,2
acp-observability-service,4,4,1,1,3,3
acp360analytics,1,1,1,1,0,0
actions-and-insights,1,1,1,1,0,0
actualdowntime-framework,1,1,1,1,0,0
addon-test-service,1,1,1,1,0,0
addons-test,1,1,1,1,0,0
addons-test-five,1,1,1,1,0,0
addons-test-four,1,1,1,1,0,0
addons-test-induks,1,1,1,1,0,0
addons-test-one,1,1,1,1,0,0
addons-test-seven,1,1,1,1,0,0
addons-test-six,1,1,1,1,0,0
addons-test-three,1,1,1,1,0,0
addons-test-two,1,1,1,1,0,0
adframework-cujimpact,3,3,1,1,2,2
admin-ui-rcgtpm,2,2,2,2,0,0
ads-admin-service,1,1,1,1,0,0
ads-authentication-service,1,1,1,1,0,0
ads-canary-service,1,1,1,1,0,0
ads-connection-service,1,1,1,1,0,0
ads-hyper-service,1,1,1,1,0,0
ads-ingest-service,1,1,1,1,0,0
ads-metadata-service,1,1,1,1,0,0
ads-minerva-service,1,1,1,1,0,0
ads-notification-service,1,1,1,1,0,0
adstudio-ad-audiences-fe,7,3,4,2,3,1
adstudio-campaign-service,7,3,4,2,3,1
adstudio-control-box,6,2,4,2,2,0
adstudio-eks,4,0,2,0,2,0
adstudio-goodbye-service,5,1,3,1,2,0
adstudio-istio,4,0,2,0,2,0
adstudio-istio-ingress-gateway,4,0,2,0,2,0
adstudio-journey-builder-ads,7,3,4,2,3,1
adstudio-journey-builder-ads-fe,3,3,2,2,1,1
adstudio-lead-ingestion,4,0,2,0,2,0
adstudio-settingspath-injector,4,0,2,0,2,0
