servicename,total_instance_count,total_on_fkp,nonprod_instance_count,nonprod_migration,prod_instance_count,prod_migration
access-management-azure-ad-oidc-wrapper,1,1,1,1,0,0
ace,2,2,1,1,1,1
acm-acm-api-experience-hub-api-service,1,1,1,1,0,0
acm-acm-api-experience-hub-ui,1,1,1,1,0,0
acm-acm-community-bridge-service,1,1,1,1,0,0
addons-eval-gov-iso,1,1,1,1,0,0
agent-svc-reasoner,1,1,1,1,0,0
ai-metadata-service,4,0,1,0,3,0
ajna-self-service,16,0,6,0,10,0
ajnaendpoint,9,0,3,0,6,0
ajnakafka,28,0,8,0,20,0
ajnakmf,28,0,8,0,20,0
ajnalionsgate,9,0,3,0,6,0
ajnaloadmgr,28,0,8,0,20,0
ajnamirus,3,0,1,0,2,0
ajnatopicapi,15,0,3,0,12,0
ajnatopicdeployer,22,0,8,0,14,0
ajnawrangler,28,0,8,0,20,0
amc-agent-reg-facade,1,1,1,1,0,0
amc-atlas,1,1,1,1,0,0
amc-automation,1,1,1,1,0,0
amc-configuration-resolver,1,1,1,1,0,0
amc-decorator,1,1,1,1,0,0
amc-deployer,1,1,1,1,0,0
amc-quotas,1,1,1,1,0,0
amc-support-x-api-service,1,1,1,1,0,0
amc-test-helper,1,1,1,1,0,0
amf-service,1,1,1,1,0,0
amg-topo-api,3,3,1,1,2,2
amg-topo-tools,3,3,1,1,2,2
ang-catalog-jobs-service,1,1,1,1,0,0
ang-catalog-service,1,1,1,1,0,0
ang-governance-console-ui,1,1,1,1,0,0
ang-governance-report-service,1,1,1,1,0,0
ang-governance-validation-service,1,1,1,1,0,0
ang-governance-xapi-service,1,1,1,1,0,0
ang-publication-service,1,1,1,1,0,0
anypoint-cli-backend-service,1,1,1,1,0,0
anypoint-flash-api-service,1,1,1,1,0,0
anypoint-flash-notification-processor-service,1,1,1,1,0,0
anypoint-mq-admin-service,1,1,1,1,0,0
anypoint-mq-msg-service,1,1,1,1,0,0
anypoint-mq-stats-service,1,1,1,1,0,0
anypoint-mq-ui,1,1,1,1,0,0
anypoint-operator,22,22,7,7,15,15
api-functional-monitoring-bat-analytics-service,1,1,1,1,0,0
api-functional-monitoring-bat-asset-provider-artifacts-service,1,1,1,1,0,0
api-functional-monitoring-bat-asset-provider-results-service,1,1,1,1,0,0
api-functional-monitoring-bat-cli-xapi-service,1,1,1,1,0,0
api-functional-monitoring-bat-execution-service,1,1,1,1,0,0
api-functional-monitoring-bat-scheduler-service,1,1,1,1,0,0
api-functional-monitoring-bat-ui,1,1,1,1,0,0
api-functional-monitoring-bat-worker-service,1,1,1,1,0,0
api-functional-monitoring-bat-xapi-service,1,1,1,1,0,0
api-manager-asset-publication-service,1,1,1,1,0,0
api-manager-contract-caching-service,1,1,1,1,0,0
api-manager-metering-pump-job,1,1,1,1,0,0
api-manager-platform-service,1,1,1,1,0,0
api-manager-platform-ui,1,1,1,1,0,0
api-manager-policies-runtime-service,1,1,1,1,0,0
api-manager-proxies-xapi-service,1,1,1,1,0,0
api-manager-proxy-builder-service,1,1,1,1,0,0
api-observability-ui,1,1,1,1,0,0
api-observability-xapi-service,1,1,1,1,0,0
api-service,4,4,1,1,3,3
apik-fedx,1,1,1,1,0,0
apm-java-scone-app,1,1,1,1,0,0
argo-rollout,61,61,20,20,41,41
argo-workflows,4,4,2,2,2,2
arm-adam-service,1,1,1,1,0,0
arm-alf-service,1,1,1,1,0,0
arm-application-mgr-service,1,1,1,1,0,0
arm-jafar-service,1,1,1,1,0,0
arm-mcm2-service,1,1,1,1,0,0
arm-ms-atlas-service,1,1,1,1,0,0
arm-ms-mcm-service,1,1,1,1,0,0
arm-platform-alerts,1,1,1,1,0,0
arm-standalone-manager-service,1,1,1,1,0,0
arm-ui,1,1,1,1,0,0
audit-log-consumer-service,1,1,1,1,0,0
audit-log-deleter,1,1,1,1,0,0
audit-log-ingest-service,1,1,1,1,0,0
audit-log-query-service,1,1,1,1,0,0
auth-service,4,4,1,1,3,3
automl-scoring-service,1,1,1,1,0,0
baas,3,0,1,0,2,0
backup-worker,1,1,1,1,0,0
bar-backup-service,1,1,1,1,0,0
batch-ingestion-service,2,2,1,1,1,1
bdmpresto,3,3,1,1,2,2
bdmpresto-hive-metastore,3,3,1,1,2,2
bdmpresto-superset,3,3,1,1,2,2
beacons-control-box,4,0,1,0,3,0
bharosa,2,2,1,1,1,1
bot-svc-agg,4,4,1,1,3,3
bot-svc-agg-retry,4,4,1,1,3,3
bot-svc-api,4,4,1,1,3,3
bot-svc-auth,4,4,1,1,3,3
bot-svc-engine,4,4,1,1,3,3
bot-svc-eventlogs,4,4,1,1,3,3
bot-svc-eventlogs-retry,4,4,1,1,3,3
bot-svc-llm,4,4,1,1,3,3
bot-svc-llmagent,4,4,1,1,3,3
bot-svc-ratelimit,4,4,1,1,3,3
bot-svc-worker,4,4,1,1,3,3
bundler-adapter-fedx,5,5,1,1,4,4
bundler-avp-engine-fedx,5,5,1,1,4,4
bundler-clustering-fedx,5,5,1,1,4,4
bundler-manager-fedx,5,5,1,1,4,4
c2c-hf,3,3,1,1,2,2
caas,3,3,1,1,2,2
caasla,5,5,1,1,4,4
caaspc,4,4,1,1,3,3
caasvb,5,5,1,1,4,4
cafe,3,3,1,1,2,2
cantor,8,8,2,2,6,6
cce-byoc-poc-predictor,1,1,1,1,0,0
ccp-esproxy,4,4,1,1,3,3
ccp-eventprocessor,4,4,1,1,3,3
ccp-jobstate,4,4,1,1,3,3
ccp-server,4,4,1,1,3,3
ccp-submitter,4,4,1,1,3,3
ccp-tracker,4,4,1,1,3,3
cdp-actions-service,4,0,1,0,3,0
cdp-activation-service,4,0,1,0,3,0
cdp-admin-service,4,0,1,0,3,0
cdp-airflow-service,4,0,1,0,3,0
cdp-authentication-service,4,0,1,0,3,0
cdp-beacon-ingress-gateway,4,0,1,0,3,0
cdp-beacon-istio,4,0,1,0,3,0
cdp-beacon-metrics-scraper,4,0,1,0,3,0
cdp-billing-service,4,0,1,0,3,0
cdp-control-box,4,0,1,0,3,0
cdp-data-capture-eks,4,0,1,0,3,0
cdp-data-connectors,4,0,1,0,3,0
cdp-data-connectors-jobs,3,0,1,0,2,0
cdp-data-extractor-crm-service,4,0,1,0,3,0
cdp-data-extractor-dispatcher,4,0,1,0,3,0
cdp-data-extractor-events,4,0,1,0,3,0
