Org Leader,Parent Cloud,Cloud,Team Name,Service Name,"non-FKP Instance Count 
 Commercial",Commercial ETA,non-FKP Instance Count Gia2h,Gia2h ETA,non-FKP Instance Count Blackjack,BlackJack ETA,Decommission ETA,Feature Dependencies,Comments
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Team Rogue Squadron,adstudio-ad-audiences-fe,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Team Rogue Squadron,adstudio-campaign-service,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Night Watch,adstudio-control-box,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Night Watch,adstudio-eks,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Team Rogue Squadron,adstudio-goodbye-service,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Night Watch,adstudio-istio,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Night Watch,adstudio-istio-ingress-gateway,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Team Rogue Squadron,adstudio-journey-builder-ads,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Team Rogue Squadron,adstudio-lead-ingestion,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Muralidhar Krishnaprasad,D360,"D360 Data, Audiences & Identity",MC - Advertising Studio - Night Watch,adstudio-settingspath-injector,2,FY27Q3,0,N/A,0,N/A,N/A,,1/29: Team is moving timeline from FY26 Q4 to FY27 Q3 (Sept 1). This is due to work to continue supporting existing infra and customer contracts in Ad Studio.
Meir Amiel,Service,Service Cloud Thunderbird,ThunderBird - Native Voice - Team-3,afv-kamailio-ops,12,FY27Q2,0,N/A,0,N/A,N/A,,
Meir Amiel,Service,Service Cloud Thunderbird,ThunderBird - Native Voice - Team-3,afv-siprelay,12,FY27Q2,0,N/A,0,N/A,N/A,,
Meir Amiel,Service,Service Cloud Thunderbird,ThunderBird - Native Voice - Team-3,afv-siprelay-lb,12,FY27Q2,0,N/A,0,N/A,N/A,,
Meir Amiel,Service,Service Cloud Thunderbird,ThunderBird - Native Voice - Team-3,afv-wss-echo,12,FY27Q2,0,N/A,0,N/A,N/A,,
Muralidhar Krishnaprasad,AI Cloud,Agentforce Foundations,Einstein Metadata Management,ai-metadata-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,Dependency on CDP,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,AirFilter,airfilter,2,FY27Q2,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Airlock,airlock-high-eks,0,N/A,0,N/A,1,FY27Q3,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Airlock,airlock-transfer-low-eks,2,FY27Q2,0,N/A,0,N/A,N/A,,
Darryn Dieken,Reliable AI-Driven Developer eXperience (RADX),Developer Productivity Experience,Artifact Authenticity,airtrust,2,FY27Q2,0,N/A,0,N/A,N/A,,
Darryn Dieken,Big Data & Observability,Ajna,Ajna - Wrangler,ajna-self-service,167,FY27Q2,11,FY27Q2,0,N/A,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - XP,ajnaendpoint,79,FY27Q2,9,FY27Q2,1,FY27Q3,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - Core,ajnakafka,193,FY27Q2,25,FY27Q2,5,FY27Q3,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - INI (Integrations and Infra),ajnakmf,193,FY27Q2,25,FY27Q2,5,FY27Q3,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - Core,ajnalionsgate,190,FY27Q2,11,FY27Q2,0,N/A,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - INI (Integrations and Infra),ajnaloadmgr,193,FY27Q2,25,FY27Q2,5,FY27Q3,N/A,"Disruption Control, Self-Service Nodepools",
Darryn Dieken,Big Data & Observability,Ajna,Ajna - Mirus,ajnamirus,26,FY27Q2,2,FY27Q2,2,FY27Q3,N/A,"Disruption Control, Self-Service Nodepools",
