Service Name,Non-FKP Instance Count,Commercial ETA,GIA ETA,BlackJack ETA,Requirements
cloudmap-api,2 | |,To Be Decomissioned,N/A,N/A,None
containersec-console,1 | |,To Be Decomissioned,N/A,N/A,None
containersec-eks,1 | |,To Be Decomissioned,N/A,N/A,None
defender,1 | |,To Be Decomissioned,N/A,N/A,None
dnr-airflow,| | 1,N/A,N/A,FY27Q1,None
dnr-connector,| 2 | 1,N/A,Need More Info,FY27Q1,None
dnr-k2s,| | 1,N/A,N/A,FY27Q1,None
dnr-molokai,| | 1,N/A,N/A,FY27Q1,None
dnr-orion,| | 1,N/A,N/A,FY27Q1,None
dnr-prism,| 1 | 1,N/A,Need More Info,N/A,None
dnr-streamingsearch,| | 1,N/A,N/A,FY27Q1,None
eureka,2 | |,To Be Decomissioned,N/A,N/A,None
kraken,2 | 2 |,To Be Decomissioned,To Be Decomissioned,N/A,None
midgard,2 | |,Need More Info,N/A,N/A,None
osquery-agent,| 1 |,N/A,To Be Decomissioned,N/A,None
sai-gateway,0 | 2 | 1,N/A,FY26Q4,FY27Q1,None
tentacle,0 | 2 | 1,N/A,FY26Q4,FY27Q1,None
tvm-db-automation,2 | 2 |,Need More Info,Need More Info,N/A,None
airfilter,2 | |,Need More Info,N/A,N/A,None
airlock-high-eks,| | 1,N/A,N/A,Need More Info,None
airlock-transfer-low-eks,2 | |,Need More Info,N/A,N/A,None
airtrust,2 | |,Need More Info,N/A,N/A,None
ajna-self-service,120 | 8 |,FY27Q2,FY27Q1,N/A,"Disruption Control, Self-Service Nodepools"
ajnaendpoint,78 | 7 | 1,FY27Q2,FY27Q1,FY27Q2,"Disruption Control, Self-Service Nodepools"
ajnakafka,191 | 22 | 5,FY27Q2,FY27Q1,FY27Q2,"Disruption Control, Self-Service Nodepools"
ajnakmf,191 | 22 | 5,FY27Q2,FY27Q1,FY27Q2,"Disruption Control, Self-Service Nodepools"
ajnalionsgate,108 | 7 |,FY27Q2,FY27Q1,N/A,"Disruption Control, Self-Service Nodepools"
ajnaloadmgr,191 | 22 | 5,FY27Q2,FY27Q1,FY27Q2,"Disruption Control, Self-Service Nodepools"
ajnamirus,26 | 2 | 2,FY27Q2,FY27Q1,FY27Q2,"Disruption Control, Self-Service Nodepools"
ajnaoperator,36 | |,FY27Q2,N/A,N/A,"Disruption Control, Self-Service Nodepools"
ajnatopicapi,90 | 12 | 1,FY27Q2,FY27Q1,FY27Q2,"Disruption Control, Self-Service Nodepools"
ajnatopicdeployer,150 | 20 |,FY27Q2,FY27Q1,N/A,"Disruption Control, Self-Service Nodepools"
ajnawrangler,191 | 22 |,FY27Q2,FY27Q1,N/A,"Disruption Control, Self-Service Nodepools"
ajnazac,186 | |,FY27Q2,N/A,N/A,"Disruption Control, Self-Service Nodepools"
amg-api,2 | |,Need More Info,N/A,N/A,None
amg-data,2 | |,Need More Info,N/A,N/A,None
amg-governance,2 | |,Need More Info,N/A,N/A,None
amg-infra,2 | |,Need More Info,N/A,N/A,None
amg-ingress-gateway,2 | |,Need More Info,N/A,N/A,None
amg-istio,2 | |,Need More Info,N/A,N/A,None
amg-s2a-api,2 | |,Need More Info,N/A,N/A,None
amg-topo-api,2 | 0 |,Need More Info,N/A,N/A,None
amg-topo-tools,2 | 0 |,Need More Info,N/A,N/A,None
amg-ui,2 | |,Need More Info,N/A,N/A,None
amg-versionvector-api,2 | |,Need More Info,N/A,N/A,None
amg-workflow-api,2 | |,Need More Info,N/A,N/A,None
ami-cleaner,2 | |,FY26Q4,N/A,N/A,None
ami-perms,2 | |,FY26Q4,N/A,Need More Info,None
ami-replicator,3 | |,FY26Q4,N/A,Need More Info,None
argus,3 | |,FY27Q2,N/A,N/A,None
armada2-api,2 | |,Need More Info,N/A,N/A,None
armada2-servicecrd,2 | |,Need More Info,N/A,N/A,None
baas,4 | 2 |,Need More Info,Need More Info,N/A,None
cloudwatchexporter,26 | 2 | 1,FY27Q1,FY26Q4,Need More Info,None
container-lifecycle-service,1 | |,FY26Q4,N/A,N/A,None
container-replicator,2 | |,FY26Q4,N/A,N/A,None
docker-sigs-replicator,2 | |,FY26Q4,N/A,N/A,None
dpxbot,2 | |,Need More Info,N/A,N/A,None
ecr-perms,2 | | 1,FY26Q4,N/A,,None
fcp-archive-replicator,2 | |,FY26Q4,N/A,N/A,None
fcp-unzip,1 | | 1,FY26Q4,N/A,,None
fdxui,1 | |,Need More Info,N/A,N/A,None
firefly,1 | |,Need More Info,N/A,N/A,None
firefly-changemgmt,1 | |,Need More Info,N/A,N/A,None
firefly-intake,1 | |,Need More Info,N/A,N/A,None
firefly-istio,1 | |,Need More Info,N/A,N/A,None
firefly-istio-operator,1 | |,Need More Info,N/A,N/A,None
firefly-package,1 | |,Need More Info,N/A,N/A,None
firefly-promotion,1 | |,Need More Info,N/A,N/A,None
firefly-pullrequest,1 | |,Need More Info,N/A,N/A,None
fit-api,1 | |,FY27Q1,N/A,N/A,None
fit-controller-service,246 | 23 | 11,FY27Q1,FY27Q1,FY27Q1,None
cdp-internal-ingress-gateway,80 | 6 |,To Be Decomissioned,To Be Decomissioned,N/A,None
fit-operations,1 | |,FY27Q1,N/A,N/A,None
fit-org-service,26 | |,FY27Q1,N/A,N/A,None
fit-results-publisher,27 | 2 | 1,FY27Q1,FY27Q1,FY27Q1,None
fit-test-twister,244 | 23 | 11,FY27Q1,FY27Q1,FY27Q1,None
fit-validator,143 | 8 |,FY27Q1,FY27Q1,N/A,None
flowsnake-impersonation-proxy,56 | 0 |,FY26Q4,N/A,N/A,None
flowsnake-spark-operator,56 | |,FY26Q4,N/A,N/A,None
fre,2 | |,Need More Info,N/A,N/A,None
fs-flowsnake,54 | 0 |,FY26Q4,N/A,N/A,None
fs-moana,24 | |,FY26Q4,N/A,N/A,None
fsre-eks-svc,2 | |,To Be Decomissioned,N/A,N/A,None
ftg-test-recommender,1 | |,Need More Info,N/A,N/A,None
funnel,26 | 4 | 1,FY27Q1,FY26Q4,Need More Info,None
funnel-rl,6 | |,FY27Q1,N/A,N/A,None
funnelevents,25 | 4 |,FY27Q1,FY26Q4,N/A,None
funnellogs,25 | 4 | 1,FY27Q1,FY26Q4,Need More Info,None
gridforce,25 | 0 | 0,FY27Q2,N/A,N/A,Multi-Account
hbase,73 | 0 | 0,FY27Q2,N/A,N/A,Multi-Account
